action,batch,corrected_action,narration_text,reasoning,round,scenario,status_main,status_secondary,timestamp_sec,video_uid
Essential Operation,1,,#C C trims the hedge wall,Core task involving high hand activity with tools.,r001,Gardening,Gold,,400.2518692852933,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Locomotion,1,Essential Operation,#C C plucks the hedge wall,Body moving through space while performing a task that involves movement and likely physical engagement with the hedge.,r001,Gardening,Bad,,481.8675892852933,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Stationary,1,,#C C holds the branches,The action of holding branches indicates a static posture with minimal movement.,r001,Gardening,Gold,,670.290317613672,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C trims the hedge,Core task involving repetitive hand movements.,r001,Gardening,Gold,,821.8935782616542,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C plucks the bush,Core manual task involving high hand activity.,r001,Gardening,Gold,,833.2034582616541,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Object Transfer,1,,#C C throws the hedge shear on the ground,"[CtxFixed] The action of throwing the hedge shear on the ground is a deliberate placement of the object onto the ground, which fits the criteria for Object Transfer.",r001,Gardening,Gold,,960.9595882616542,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Search,1,,#C C touches the shrubs,"Implies a visual or tactile inspection, likely with head and hand movement.",r001,Gardening,,Skip,1586.470477247718,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C removes branches,Core manual task involving high hand activity.,r001,Gardening,Gold,,1623.896657247718,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C prunes with hedge shears,Core task involving high hand activity.,r001,Gardening,Gold,,1640.3894971449215,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C prunes the shrub,Core task involving high hand activity.,r001,Gardening,Gold,,1933.4913468066525,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Object Transfer,1,,#C C picks another hedge shear,Logistics action of picking up an object.,r001,Gardening,Gold,,1984.0715768066525,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Object Transfer,1,,#C C places down the hedge shear,Logistics step of placing down an object.,r001,Gardening,Gold,,2020.4160268066523,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Object Transfer,1,,#C C places hedge shear on the shrub,Logistics of placing an object on a surface.,r001,Gardening,Gold,,2212.174626158594,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C removes the grass with the hand,Core manual task involving high hand activity.,r001,Gardening,Gold,,2247.7658061585944,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C removes the pieces of shrub,Core task involving high hand activity.,r001,Gardening,Gold,,2279.918716158594,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C cuts the grass with a hedge shear,"Core task involving repetitive cutting motion, high hand activity.",r001,Gardening,Gold,,2315.581016158594,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Stationary,1,Object Transfer,#C C leans the the rake on the shrub,"The action involves placing the rake, which is a low-energy, static interaction.",r001,Gardening,Bad,,2376.4589961585943,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Essential Operation,1,,#C C penetrates in the shrub,Core task involving high hand activity.,r001,Gardening,,Skip,3100.769625829818,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Object Transfer,1,,#C C drops gardening shear,"[CtxFixed] The action of dropping the gardening shear appears to be a deliberate placement of the object onto a surface, which fits the criteria for 'Object Transfer'.",r001,Gardening,Gold,,3128.215965829818,06456897-960d-4d0c-8ce2-cd50a5a57bc3
Stationary,1,,#C C stares a fridge,"Low body/hand motion, likely just looking.",r001,Cleaning,Gold,,1104.4539719333334,08f5fcdf-c038-4e1f-a1e9-b5939900feba
Essential Operation,1,,#C C pours salt on the food,Core task involving manual operation with hands.,r001,Cleaning,Gold,,1135.2079019333332,08f5fcdf-c038-4e1f-a1e9-b5939900feba
Stationary,1,,#C C stares at the television,"Low body/hand motion, likely idle state.",r001,Cleaning,Gold,,1218.1728919333334,08f5fcdf-c038-4e1f-a1e9-b5939900feba
Search,1,Essential Operation,#C C turns the monitor,Head and hand movement for visual search or monitoring.,r001,Cooking,Bad,,74.58794526666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#c c dials the scale,"Low body/hand motion, likely involves fine motor control with one hand.",r001,Cooking,Gold,,593.7018952666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,Essential Operation,#c c turns a light on,Turning on a light involves an action to manipulate an object (the light switch).,r001,Cooking,Bad,,659.9784452666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#c c picks a blender jug,Logistics step involving picking up an object.,r001,Cooking,Gold,,677.5258052666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Locomotion,1,,#C C turns around a kitchen room,"Movement through space, likely involves walking or turning which generates body acceleration.",r001,Cooking,Gold,,839.9588752666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C places tin on a kitchen counter,Logistics step involving picking up and placing an object.,r001,Cooking,Gold,,846.5134352666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C lifts a pan,Logistics step involving lifting an object.,r001,Cooking,Gold,,860.5955252666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,Essential Operation,#C C adjusts cookers knob,Adjusting a knob involves minimal body movement and is a fine motor task.,r001,Cooking,Bad,,901.4867452666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C placed a pan on a cooker,Logistics step involving the placement of an object.,r001,Cooking,Gold,,996.5080752666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C taps a pan with spoon,Core task involving high hand activity.,r001,Cooking,Gold,,1026.3650252666666,0fe191ef-c28a-422c-aede-46f8aa8532a6
Locomotion,1,,#C C stairs #unsure with spoon,"[CtxFixed] The action involves moving up the stairs while holding a spoon, which indicates movement and thus falls under the Locomotion category.",r001,Cooking,,Skip,1075.9135352666665,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks the scraper,"Logistics action, picking up an object.",r001,Cooking,Gold,,1119.3517942879969,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#C C holds the scraper,"Low body/hand motion, holding an object.",r001,Cooking,Gold,,1200.4359342879966,0fe191ef-c28a-422c-aede-46f8aa8532a6
Locomotion,1,,#C C walks across the kitchen,"Movement through space, high body acceleration.",r001,Cooking,Gold,,1381.8603742879966,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C washes the blender cover,Core manual task involving hand activity.,r001,Cooking,Gold,,1443.2174042879965,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the blender blade in the utensils rack,Logistics step involving placing an object.,r001,Cooking,Gold,,1478.8462742879965,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks up the blender blade from the utensils rack,Logistics/Setup step involving picking up an object.,r001,Cooking,Gold,,1494.9720942879967,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks up the nylon paper,"Logistics step, picking up an object.",r001,Cooking,Gold,,1543.0391142879969,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the silicone spatula spoon on the nylon paper,Logistics step involving placing an object.,r001,Cooking,Gold,,1615.2974789546631,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the blender jar on the kitchen counter,Logistics step involving placing an object.,r001,Cooking,Gold,,1623.283358954663,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts #unsure in the tin,"Logistics step, putting an item into another container.",r001,Cooking,Gold,,1864.0008752666663,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C scrubs #unsure in the jar with the spoon.,Core task involving high hand activity.,r001,Cooking,Gold,,1933.8762352666663,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks #unsure on the counter top.,Logistics step of picking up an object.,r001,Cooking,Gold,,1957.2732152666665,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks the spoon from the smaller jar.,Logistics step involving picking up an object.,r001,Cooking,Gold,,1971.6487252666664,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#C C wipes her hands with a towel on the cabinet.,"Low body/hand motion, hands are being wiped but no significant movement.",r001,Cooking,,Skip,2013.3371152666664,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the jar on the counter top.,Logistics/Setup step involving placing an object.,r001,Cooking,Gold,,2035.1501852666663,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the jar on the blender.,Logistics step involving moving an object from one place to another.,r001,Cooking,Gold,,2056.0334452666666,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#C C taps the spoon on the jar.,"Low body/hand motion, tapping is a minor action.",r001,Cooking,,Skip,2110.8283452666665,0fe191ef-c28a-422c-aede-46f8aa8532a6
Locomotion,1,,#C C moves around the microwave.,"Body moving through space, likely involves walking or moving around.",r001,Cooking,Gold,,2172.297205266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks the blender jug lid from the table,Logistics/Setup step involving picking up an object.,r001,Cooking,Gold,,2201.850705266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#C C turns the cooker off,"Minimal motion involved, likely just a quick turn of a knob or switch.",r001,Cooking,,Skip,2280.830055266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C drops the plastic on the table,"Action involves placing an object down, which is a logistics step.",r001,Cooking,Gold,,2345.159095266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C takes the blender jug,"Logistics/Setup step, picking up an object.",r001,Cooking,Gold,,2363.287035266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the blender jug on the blender,Logistics step involving the placement of an object.,r001,Cooking,Gold,,2368.4711552666668,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C places jar on blender,Logistics step involving placing an object.,r001,Cooking,Gold,,2481.346205266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C turns on blender,Turning on the blender is a core task involving a manual operation.,r001,Cooking,Gold,,2483.2324252666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C wipes peanut with a spatula,Core manual task involving high hand activity.,r001,Cooking,Gold,,2569.2227052666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts jug on blender,Logistics step involving placing an object.,r001,Cooking,Gold,,2586.142855266666,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C dips brush in oil,Core task involving manual activity with the hand.,r001,Cooking,Gold,,2655.040305266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C lifts jug,"The action involves picking up an object, which is a logistics step.",r001,Cooking,Gold,,2675.491145266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks a ladle,Logistics step of picking up an object.,r001,Cooking,Gold,,2690.525505266666,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C places cup on the counter top,Logistics/Setup step involving placing an object.,r001,Cooking,Gold,,2749.447895266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts jug blender on the sink,Logistics step involving the placement of an object.,r001,Cooking,Gold,,2871.9221952666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks up the papers from the table,Logistics action involving picking up objects.,r001,Cooking,Gold,,3066.440225266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks up the paper from under the table,Logistics step involving picking up an object.,r001,Cooking,Gold,,3086.003175266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C picks up the spoon from the drawer,Logistics/Setup step involving picking up an object.,r001,Cooking,Gold,,3123.834945266666,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C shakes the frying pans on the cooker,High hand activity involved in the cooking process.,r001,Cooking,Gold,,3138.8184552666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the pancake inside the frying pan,Logistics step involving picking up and placing the pancake.,r001,Cooking,Gold,,3145.448375266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C puts the spoon inside frying pan,Logistics step of placing an object.,r001,Cooking,Gold,,3147.7537052666667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C operates the computer on the table,Core manual task involving interaction with a device.,r001,Cooking,Gold,,3175.976925266667,0fe191ef-c28a-422c-aede-46f8aa8532a6
Stationary,1,,#C C covers the table with the table,Covering the table is a setup/logistics step that involves minimal movement after the action is complete.,r001,Cooking,,Skip,3222.2250719333333,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C hits egg on a pan,Core task involving high hand activity.,r001,Cooking,Gold,,3270.369111933333,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C drops kitchen brush in a tin,"[CtxFixed] The action of dropping the kitchen brush into a tin is a deliberate placement of the object, which fits the criteria for 'Object Transfer'.",r001,Cooking,Gold,,3350.1385019333334,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C cracks the egg on pan,Core task involving high hand activity.,r001,Cooking,Gold,,3369.0148419333336,0fe191ef-c28a-422c-aede-46f8aa8532a6
Essential Operation,1,,#C C washes the tin,Core task involving manual operation with high hand activity.,r001,Cooking,Gold,,3417.9473719333337,0fe191ef-c28a-422c-aede-46f8aa8532a6
Object Transfer,1,,#C C moves lampshade from the bedside table,Logistics step involving moving an object.,r001,Cleaning,Gold,,165.15284859999997,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C moves a can to the bed,Moving an object from one location to another.,r001,Cleaning,Gold,,175.77051859999997,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,Object Transfer,#C C throws #Unsure on the bed,Body movement through space to perform the action (throwing).,r001,Cleaning,Bad,,190.9152086,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C picks flower pot on the window sill,Logistics step involving picking up an object.,r001,Cleaning,Gold,,218.2853686,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C throws photo frame on the bed,"[CtxFixed] The action involves moving an object (photo frame) from one location (window sill) to another (bed), which fits the definition of Object Transfer.",r001,Cleaning,Gold,,226.7642386,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,Essential Operation,#C C unrolls the serviette,"The action involves picking up and unfolding an object, which is a logistics step.",r001,Cleaning,Bad,,261.6098786,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C picks #Unsure from the bed side table,"Logistics step, picking up an item.",r001,Cleaning,Gold,,306.7498923647172,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C picks #Unsure from the bed,Logistics step involving picking up an object.,r001,Cleaning,Gold,,313.5705323647172,10019839-9ded-439f-a573-5ccacd7d829d
Essential Operation,1,,#C C wipes the bedframe table,Core manual task involving high hand activity.,r001,Cleaning,Gold,,414.0592323647172,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C places flower pots on the window sill,Logistics step involving picking up and placing objects.,r001,Cleaning,Gold,,488.9254223647172,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C places photo frame on the window sill,"Logistics step of placing an object, short bursts of hand acceleration.",r001,Cleaning,Gold,,525.3686923647172,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C moves photo frame on the window sill,Logistics step involving moving an object.,r001,Cleaning,Gold,,531.5442956980506,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C place candle on the card holder,Logistics step involving picking up and placing an object.,r001,Cleaning,Gold,,552.5473021677084,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C moves photo frames on the window sill,Logistics step involving moving objects.,r001,Cleaning,Gold,,577.2734621677084,10019839-9ded-439f-a573-5ccacd7d829d
Stationary,1,,#C C touches the table,"Low body/hand motion, likely inspecting or feeling the surface.",r001,Cleaning,Gold,,611.2890421677084,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C places the bottles on the floor,Logistics step involving picking up and placing down objects.,r001,Cleaning,Gold,,646.0266421677084,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,Essential Operation,#C C vacuum cleans the floor,"Body moving through space while performing a cleaning task, likely involves significant body acceleration.",r001,Cleaning,Bad,,690.7624021677084,10019839-9ded-439f-a573-5ccacd7d829d
Object Transfer,1,,#C C places the wires on the bedside table,Logistics step involving picking up and placing an object.,r001,Cleaning,Gold,,815.7698121677083,10019839-9ded-439f-a573-5ccacd7d829d
Essential Operation,1,,#C C joins pipe to the vacuum cleaner,Connecting the pipe to the vacuum cleaner is a core manual task involving high hand activity.,r001,Cleaning,Gold,,897.1720039799025,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,Object Transfer,#C C moves the vacuum cleaner,Body moving through space with a tool (vacuum cleaner).,r001,Cleaning,Bad,,1039.7563339799026,10019839-9ded-439f-a573-5ccacd7d829d
Stationary,1,,#C C touches the vacuum cleaner,"Low body/hand motion, likely inspecting the vacuum cleaner.",r001,Cleaning,Gold,,1085.9636473132357,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,,#O Man X walks on the floor,"Body moving through space, involves walking.",r001,Cleaning,Gold,,1098.782695266667,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,Object Transfer,#C C slides table on the floor,"Movement of the table through space, indicating significant body motion.",r001,Cleaning,Bad,,1256.8629852666666,10019839-9ded-439f-a573-5ccacd7d829d
Locomotion,1,Object Transfer,#C C lifts the cleaning pipe,"Body movement involved in lifting an object, which can involve significant body acceleration.",r001,Cleaning,Bad,,1345.6734152666666,10019839-9ded-439f-a573-5ccacd7d829d
Essential Operation,1,,#C C hammers the screwdriver with his gloved right hand. #Unsure,"[CtxFixed] The current action involves using the hammer to drive the screwdriver, which is a part of the essential operation of assembling or repairing the bike.",r001,Mechanical Repair,Gold,,93.37772,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C drops the iron rod on the workbench with his gloved right hand,"[CtxFixed] The action of dropping the iron rod onto the workbench is a deliberate placement, indicating that the subject is intentionally moving the object to a specific location.",r001,Mechanical Repair,Gold,,181.21954,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C passes the piece of tissue paper from his gloved right hand to his gloved left hand.,"The action involves passing an object between hands, which is a logistics step.",r001,Mechanical Repair,Gold,,207.77371,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Essential Operation,1,,#C C fits the washer around the bike steering rod with his gloved right hand.,Core manual task involving fine hand movements.,r001,Mechanical Repair,Gold,,234.90555,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C picks the tissue paper on the tool bench with his gloved right hand,Logistics action involving picking up an object.,r001,Mechanical Repair,Gold,,292.43531,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Locomotion,1,,#C C walks toward the workbench.,"Body moving through space, indicative of walking.",r001,Mechanical Repair,Gold,,306.97035,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Essential Operation,1,,#C C applies grease on the washer with his gloved right hand.,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,339.38044,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C scoops grease from the container with his gloved right hand,Logistics step involving picking up the grease.,r001,Mechanical Repair,Gold,,368.88518,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Essential Operation,1,,#C C mixes the grease with the brush in his gloved right hand. #unsure,Core manual task involving high hand activity.,r001,Mechanical Repair,Gold,,374.37258,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Stationary,1,,#C C holds the hydraulic suspension with his gloved left hand.,"Low body/hand motion, holding in place.",r001,Mechanical Repair,Gold,,602.8478366666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Stationary,1,,#C C holds the hydraulic suspension with gloved hands,"Low body/hand motion, holding an object.",r001,Mechanical Repair,Gold,,604.9462666666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C picks a washer nut with his gloved right hand on the workbench.,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,659.4122966666666,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C moves a washer nut on the workbench with his gloved right hand,Logistics/moving an object on a surface.,r001,Mechanical Repair,Gold,,661.3631166666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Stationary,1,,#C C holds the caliper around the washer nut in his right gloved hand.,"Low body/hand motion, holding position.",r001,Mechanical Repair,Gold,,691.6589866666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Stationary,1,,#C C holds the caliper with gloved hands,"Low energy activity, holding an object without movement.",r001,Mechanical Repair,Gold,,704.4346766666666,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Essential Operation,1,,#C C adjusts the front fender with his left hand.,Core manual task involving precise hand movements.,r001,Mechanical Repair,Gold,,814.1729466666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C picks a washer in the carton on the workbench with his gloved left hand,"The action involves picking up an object, which is a logistics step.",r001,Mechanical Repair,Gold,,873.1535266666667,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Object Transfer,1,,#C C takes off the glove on his left hand with his right hand.,"The action involves taking off a glove, which is a logistics step.",r001,Mechanical Repair,Gold,,927.6272166666666,11f51f72-c0bd-4631-aabb-6ecbe17d95c9
Essential Operation,1,,#C C pours seeds on the chop board,Core task involving manual operation with high hand activity.,r001,Cooking,Gold,,89.8477286,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C picks knife from the table,"Logistics/Setup step, involves picking up an object.",r001,Cooking,Gold,,106.8927086,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C puts the chop boad on the table,Logistics/Setup step involving moving an object.,r001,Cooking,Gold,,195.3116386,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C inserts the tin on the drawer,"Logistics/Setup step, moving an object to a specific location.",r001,Cooking,Gold,,271.58032731263705,12bf3659-40c4-4094-a4d3-507ec04bc512
Stationary,1,,#C C pulls back bot hands,"Pulling back both hands suggests a pause or preparation, indicating low body/hand motion.",r001,Cooking,,Skip,272.29446731263704,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C puts the food on the fridge,Logistics step involving picking up and placing an object.,r001,Cooking,Gold,,282.36385731263704,12bf3659-40c4-4094-a4d3-507ec04bc512
Search,1,Stationary,#C C looks at the broccoli,"Head movement (visual inspection), hands mostly still.",r001,Cooking,Bad,,302.6359073126371,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C pulls the paper,"Logistics step, likely picking up or moving an object.",r001,Cooking,,Skip,330.57445731263704,12bf3659-40c4-4094-a4d3-507ec04bc512
Essential Operation,1,,#C C cuts the fish fillet with a knife,Core task involving precise hand movements.,r001,Cooking,Gold,,375.85765731263706,12bf3659-40c4-4094-a4d3-507ec04bc512
Stationary,1,,# C C moves both hands,"Low body/hand motion, could imply a pause or stationary action.",r001,Cooking,Gold,,454.613867312637,12bf3659-40c4-4094-a4d3-507ec04bc512
Stationary,1,,#C C lifts both hands,"Lifting hands without moving through space or performing a task indicates a pause or preparation, which is low energy.",r001,Cooking,Gold,,498.998717312637,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C lifts the bowl,"Lifting an object, short burst of hand acceleration.",r001,Cooking,Gold,,558.823097613672,12bf3659-40c4-4094-a4d3-507ec04bc512
Essential Operation,1,,#C C pushes the fish fillet,Core task involving high hand activity.,r001,Cooking,Gold,,571.871367613672,12bf3659-40c4-4094-a4d3-507ec04bc512
Essential Operation,1,,#C C pours the fish fillet on the bowl,Core task involving manual manipulation with high hand activity.,r001,Cooking,Gold,,573.9991876136719,12bf3659-40c4-4094-a4d3-507ec04bc512
Essential Operation,1,,#C C stirs the fish fillet together with egg,Core task involving high hand activity.,r001,Cooking,Gold,,618.1988776136719,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C lifts the fish fillet with a fork,Logistics step involving picking up an object.,r001,Cooking,Gold,,632.530897613672,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C drops the fish fillet on the bowl with egg,Refined via regex fallback,r001,Cooking,Gold,,652.891667613672,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C picks fish fillet with a fork,Logistics step involving picking up an object.,r001,Cooking,Gold,,697.8149176136719,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C puts the fish fillet on a bowl with #Unsure,Logistics step involving picking up and placing an object.,r001,Cooking,Gold,,697.997347613672,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C Places the fish fillet on the paper,Logistics step involving picking up and placing an object.,r001,Cooking,Gold,,738.6395276136719,12bf3659-40c4-4094-a4d3-507ec04bc512
Object Transfer,1,,#C C drops the bowl on the sink,Refined via regex fallback,r001,Cooking,Gold,,767.645957613672,12bf3659-40c4-4094-a4d3-507ec04bc512
