global_rank,video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,annotation_id,annotator,created_at,updated_at,lead_time,verdict,task_id,project,inner_id,corrected_action,secondary_action
248,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1396.4375753695222,#O Woman Y puts card down,Playing Instrument,Stationary,"The action of putting a card down is a brief, stationary motion.",silver,4,r002,woman y puts card down,25,yes,historical_bad,no,4,6,0.6667,25,1,2026-03-02T23:34:46.008130Z,2026-03-02T23:34:46.008144Z,3.432,Bad,1025,2,25,Object Transfer,
5815,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1463.4917953695222,#O Woman Y arranges cards,Playing Instrument,Stationary,The action described involves arranging cards which is a low energy activity with minimal movement.,silver,4,r002,woman y arranges cards,5,no,,no,1,1,1.0,26,1,2026-03-02T23:34:51.018379Z,2026-03-02T23:34:51.018398Z,3.839,Bad,1026,2,26,Object Transfer,
2558,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1606.4145987028555,#O Woman Y moves hands,Playing Instrument,Essential Operation,Core task involving high hand activity.,silver,4,r002,woman y moves hands,7,yes,watchlist_verb,yes,0,0,0.0,27,1,2026-03-02T23:35:03.510563Z,2026-03-02T23:35:03.510579Z,11.289,Bad,1027,2,27,Stationary,
3491,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1657.068408834375,#O lady Y takes cards,Playing Instrument,Object Transfer,Logistics/Setup step (taking cards).,silver,4,r002,lady y takes cards,6,no,,no,0,0,0.0,28,1,2026-03-02T23:35:09.287211Z,2026-03-02T23:35:09.287224Z,4.643,Gold,1028,2,28,,
3490,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1661.503408834375,#O lady Y puts cards on the table,Playing Instrument,Object Transfer,"Logistics step, placing cards on the table.",silver,4,r002,lady y puts cards on table,6,no,,no,0,0,0.0,29,1,2026-03-02T23:35:16.394436Z,2026-03-02T23:35:16.394451Z,2.194,Gold,1029,2,29,,
3213,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1672.642678834375,#O lady Y holds cards,Playing Instrument,Stationary,"The action of holding cards indicates a low energy, stationary state.",silver,4,r002,lady y holds cards,6,yes,watchlist_verb,yes,0,0,0.0,30,1,2026-03-02T23:35:19.463102Z,2026-03-02T23:35:19.463118Z,1.779,Gold,1030,2,30,,
900,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1738.818438834375,#C C takes a box,Playing Instrument,Object Transfer,Logistics/Setup step (taking an object).,silver,4,r002,takes box,13,no,,no,0,0,0.0,31,1,2026-03-02T23:35:23.786526Z,2026-03-02T23:35:23.786543Z,2.354,Gold,1031,2,31,,
46,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1828.999228834375,#C C plays cards,Playing Instrument,Stationary,"Low body/hand motion, primarily involves holding and manipulating cards.",silver,4,r002,plays cards,59,yes,historical_bad,no,4,6,0.6667,32,1,2026-03-02T23:35:33.787965Z,2026-03-02T23:35:33.787982Z,8.819,Bad,1032,2,32,Essential Operation,
3489,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1851.946618834375,#O lady Y arranges cards,Playing Instrument,Stationary,The action describes a setup or organizational task that likely involves minimal movement.,silver,4,r002,lady y arranges cards,6,no,,no,1,1,1.0,33,1,2026-03-02T23:35:42.535952Z,2026-03-02T23:35:42.535962Z,7.818,Bad,1033,2,33,Object Transfer,
10362,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1865.737938834375,#O lady Y shuffles cards,Playing Instrument,Stationary,"The action described ('shuffling cards') is a manual task but is listed in a context that doesn't involve locomotion or significant body movement, indicating a stationary activity.",silver,4,r002,lady y shuffles cards,3,no,,no,0,0,0.0,34,1,2026-03-02T23:35:47.561596Z,2026-03-02T23:35:47.561604Z,4.142,Bad,1034,2,34,Object Transfer,
10799,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,1965.6039899235584,#O man Y turns a card,Playing Instrument,Stationary,"The action described does not involve significant body or hand movement, implying a low-energy state.",silver,4,r002,man y turns card,3,no,,no,0,0,0.0,35,1,2026-03-02T23:35:51.776244Z,2026-03-02T23:35:51.776255Z,3.278,Bad,1035,2,35,Object Transfer,
363,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2022.8473799235585,#O man Y takes a card,Playing Instrument,Object Transfer,"The action involves picking up or taking an object, which is a logistics step.",silver,4,r002,man y takes card,20,no,,no,0,0,0.0,36,1,2026-03-02T23:35:54.410278Z,2026-03-02T23:35:54.410298Z,1.629,Gold,1036,2,36,,
10237,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2109.7877699235587,#C C gives the cards to man Y,Playing Instrument,Object Transfer,Logistics step of giving an object (cards) to another person.,silver,4,r002,gives cards to man y,3,no,,no,0,0,0.0,37,1,2026-03-02T23:35:56.725018Z,2026-03-02T23:35:56.725037Z,1.321,Gold,1037,2,37,,
5527,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2191.8773619333338,#C C shares the cards,Playing Instrument,Stationary,The action described seems to be a card-related activity that does not involve significant body or hand movement.,silver,4,r002,shares cards,5,no,,no,1,1,1.0,38,1,2026-03-02T23:36:42.626259Z,2026-03-02T23:36:42.626271Z,45.107,Bad,1038,2,38,Object Transfer,
1151,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2244.309361933333,#O lady X plays the cards,Playing Instrument,Stationary,"Playing cards involves minimal body movement, mostly hands and fingers, which does not constitute high acceleration or significant motion.",silver,4,r002,lady x plays cards,11,no,,no,0,0,0.0,39,1,2026-03-02T23:36:46.986866Z,2026-03-02T23:36:46.986880Z,3.251,Bad,1039,2,39,Essential Operation,
6712,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2344.0491519333336,#O lady X shuffles the cards,Playing Instrument,Stationary,The action of shuffling cards is more about holding and manipulating the cards rather than moving through space or performing a high-energy task.,silver,4,r002,lady x shuffles cards,4,no,,no,0,0,0.0,40,1,2026-03-02T23:36:50.579641Z,2026-03-02T23:36:50.579655Z,2.739,Bad,1040,2,40,Object Transfer,
4705,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2444.6663520360653,#O lady X shares the cards,Playing Instrument,Stationary,"The action involves sharing cards, which is likely a low-energy, stationary interaction.",silver,4,r002,lady x shares cards,5,no,,no,0,0,0.0,41,1,2026-03-02T23:36:55.698167Z,2026-03-02T23:36:55.698182Z,3.274,Bad,1041,2,41,Object Transfer,
4635,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2459.977502036065,#C C flips the cards,Playing Instrument,Stationary,The action of flipping cards does not involve significant body movement and can be considered a low-energy activity.,silver,4,r002,flips cards,5,no,,no,0,0,0.0,42,1,2026-03-02T23:36:58.703120Z,2026-03-02T23:36:58.703136Z,2.057,Bad,1042,2,42,Object Transfer,
700,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2817.8723355010416,#O woman Y holds cards,Playing Instrument,Stationary,Holding cards without moving through space or performing a core task.,silver,4,r002,woman y holds cards,14,yes,watchlist_verb,yes,0,0,0.0,43,1,2026-03-02T23:37:10.956551Z,2026-03-02T23:37:10.956566Z,11.537,Gold,1043,2,43,,
9421,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2823.413145501041,#O woman Y moves card,Playing Instrument,Stationary,The action described does not indicate any significant movement or activity that would classify it under the other categories. It suggests a static or minimal motion action.,silver,4,r002,woman y moves card,3,yes,watchlist_verb,yes,0,0,0.0,44,1,2026-03-02T23:37:15.524936Z,2026-03-02T23:37:15.524951Z,3.635,Bad,1044,2,44,Object Transfer,
4392,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2909.0291255010416,#O woman Y moves hand,Playing Instrument,Essential Operation,"Core task involving hand movement, likely playing the instrument.",silver,4,r002,woman y moves hand,5,yes,watchlist_verb,yes,0,0,0.0,45,1,2026-03-02T23:37:21.352435Z,2026-03-02T23:37:21.352453Z,4.623,Bad,1045,2,45,Stationary,
6232,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,2944.6217355010417,#O woman Y shuffles cards,Playing Instrument,Stationary,The action of shuffling cards is a manual task but is typically performed in a stationary position with minimal body movement.,silver,4,r002,woman y shuffles cards,4,yes,historical_bad,no,2,2,1.0,46,1,2026-03-02T23:37:25.600725Z,2026-03-02T23:37:25.600737Z,3.241,Bad,1046,2,46,Object Transfer,
10363,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,3231.844129435098,#O lady Y takes card on the table,Playing Instrument,Object Transfer,"The action involves picking up or placing an object, which corresponds to logistics or setup.",silver,4,r002,lady y takes card on table,3,no,,no,0,0,0.0,47,1,2026-03-02T23:37:42.572616Z,2026-03-02T23:37:42.572629Z,15.871,Gold,1047,2,47,,
3127,02cf2e59-26be-43be-a4d9-7d6cbcfd0898,3403.4497786,#O woman Y puts cards down,Playing Instrument,Object Transfer,"The action involves putting down objects (cards), which is a logistics step.",silver,4,r002,woman y puts cards down,7,no,,no,0,0,0.0,48,1,2026-03-02T23:37:45.550609Z,2026-03-02T23:37:45.550627Z,1.394,Gold,1048,2,48,,
2986,0a01978c-e16d-4587-95f1-49efa3ab15d9,41.1108096,#C C removes the #unsure from the oil,Cooking,Essential Operation,"Core task involving hand activity, likely removing something from the cooking oil.",silver,4,r002,removes from oil,7,no,,no,0,0,0.0,49,1,2026-03-02T23:37:52.379573Z,2026-03-02T23:37:52.379589Z,6.013,Bad,1049,2,49,Object Transfer,
3412,0a01978c-e16d-4587-95f1-49efa3ab15d9,47.661629600000005,#C C drops the knife and the fork,Cooking,Object Transfer,"[CtxFixed] The action of dropping the knife and the fork is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",silver,4,r002,drops knife and fork,6,no,,no,0,0,0.0,50,1,2026-03-02T23:38:04.581677Z,2026-03-02T23:38:04.581696Z,4.385,Gold,1050,2,50,,
9588,0a01978c-e16d-4587-95f1-49efa3ab15d9,78.1198096,#C C checks if the #unsure is ready,Cooking,Search,"Head movement (visual check), hands mostly still.",silver,4,r002,checks if is ready,3,no,,no,0,0,0.0,51,1,2026-03-02T23:38:10.833584Z,2026-03-02T23:38:10.833597Z,4.91,Gold,1051,2,51,,
8938,0a01978c-e16d-4587-95f1-49efa3ab15d9,233.4042296,#C C holds the #unsure with a spoon,Cooking,Stationary,"Low body/hand motion, holding an object.",silver,4,r002,holds with spoon,3,yes,watchlist_verb,yes,0,0,0.0,52,1,2026-03-02T23:38:13.335334Z,2026-03-02T23:38:13.335348Z,1.637,Gold,1052,2,52,,
10054,0a01978c-e16d-4587-95f1-49efa3ab15d9,317.0482109546634,#C C drops spoon and fork,Cooking,Object Transfer,"[CtxFixed] The action of dropping the spoon and fork is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",silver,4,r002,drops spoon and fork,3,no,,no,0,0,0.0,53,1,2026-03-02T23:38:15.028204Z,2026-03-02T23:38:15.028217Z,0.98,Gold,1053,2,53,,
4251,0a01978c-e16d-4587-95f1-49efa3ab15d9,346.4086209546634,#C C holds the #unsure with a fork,Cooking,Stationary,"Low body/hand motion, indicating a holding or waiting action.",silver,4,r002,holds with fork,5,yes,watchlist_verb,yes,0,0,0.0,54,1,2026-03-02T23:38:22.012707Z,2026-03-02T23:38:22.012721Z,6.234,Gold,1054,2,54,,
9903,0a01978c-e16d-4587-95f1-49efa3ab15d9,448.4347809546634,#C C drops the cooking pan,Cooking,Object Transfer,"[CtxFixed] The action of dropping the cooking pan onto a surface is a deliberate placement, which fits the criteria for 'Object Transfer'.",silver,4,r002,drops cooking pan,3,no,,no,0,0,0.0,55,1,2026-03-02T23:38:25.452912Z,2026-03-02T23:38:25.452931Z,1.545,Gold,1055,2,55,,
8345,0a01978c-e16d-4587-95f1-49efa3ab15d9,562.1660009546634,#c c turns the deep fried pouch,Cooking,Locomotion,"Turning an object involves movement through space, indicating a locomotion-type action.",silver,4,r002,turns deep fried pouch,4,no,,no,0,0,0.0,56,1,2026-03-02T23:38:31.045405Z,2026-03-02T23:38:31.045421Z,4.798,Bad,1056,2,56,Object Transfer,
2804,0a01978c-e16d-4587-95f1-49efa3ab15d9,915.6989909546634,#C C picks the ingredient from the mortar,Cooking,Object Transfer,Logistics step involving picking up an object.,silver,4,r002,picks ingredient from mortar,7,no,,no,0,0,0.0,57,1,2026-03-02T23:38:34.558267Z,2026-03-02T23:38:34.558280Z,2.271,Gold,1057,2,57,,
7897,0a01978c-e16d-4587-95f1-49efa3ab15d9,987.8305409546634,#C C reduces the heat of the cooker,Cooking,Stationary,Adjusting the heat involves minimal movement and is a low-energy activity.,silver,4,r002,reduces heat of cooker,4,no,,no,0,0,0.0,58,1,2026-03-02T23:38:39.412947Z,2026-03-02T23:38:39.412964Z,3.855,Bad,1058,2,58,Essential Operation,
1532,0a01978c-e16d-4587-95f1-49efa3ab15d9,1167.1752609546634,#C C stir the #unsure,Cooking,Essential Operation,"Core task, high hand activity.",silver,4,r002,stir,10,no,,no,0,0,0.0,59,1,2026-03-02T23:38:43.115546Z,2026-03-02T23:38:43.115565Z,2.627,Gold,1059,2,59,,
6005,0a01978c-e16d-4587-95f1-49efa3ab15d9,1238.9596409546632,#C C holds a shopping bag,Cooking,Stationary,"Holding a shopping bag involves minimal movement, indicating a low energy state.",silver,4,r002,holds shopping bag,4,yes,watchlist_verb,yes,0,0,0.0,60,1,2026-03-02T23:38:45.808294Z,2026-03-02T23:38:45.808310Z,1.865,Gold,1060,2,60,,
7118,0a01978c-e16d-4587-95f1-49efa3ab15d9,1671.208990954663,#C C picks the knife and the spoon,Cooking,Object Transfer,Logistics step involving picking up objects.,silver,4,r002,picks knife and spoon,4,no,,no,0,0,0.0,61,1,2026-03-02T23:38:50.493473Z,2026-03-02T23:38:50.493491Z,3.507,Gold,1061,2,61,,
9952,0a01978c-e16d-4587-95f1-49efa3ab15d9,1794.6710309546631,#C C drops the knife and the spoon,Cooking,Object Transfer,"[CtxFixed] The action of dropping the knife and the spoon indicates a deliberate placement of objects onto a surface, which fits the definition of 'Object Transfer'.",silver,4,r002,drops knife and spoon,3,no,,no,0,0,0.0,62,1,2026-03-02T23:38:52.879582Z,2026-03-02T23:38:52.879594Z,1.513,Gold,1062,2,62,,
11031,0a01978c-e16d-4587-95f1-49efa3ab15d9,1949.507090954663,#C C picks #unsure 2,Cooking,Object Transfer,Logistics step involving picking up an object.,silver,4,r002,picks 2,3,no,,no,0,0,0.0,63,1,2026-03-02T23:38:54.807225Z,2026-03-02T23:38:54.807237Z,1.054,Gold,1063,2,63,,
7445,0a01978c-e16d-4587-95f1-49efa3ab15d9,1950.7890909546632,#C C pours the #unsure 2,Cooking,Essential Operation,"Core task, high hand activity.",silver,4,r002,pours 2,4,no,,no,0,0,0.0,64,1,2026-03-02T23:38:58.184724Z,2026-03-02T23:38:58.184740Z,1.977,Gold,1064,2,64,,
3267,0cf71e76-0ed9-4fb9-875f-be49528105b7,17.566115266666667,#C C opens the lid of the container,Cleaning,Object Transfer,Logistics step involving the manipulation of an object's state (opening).,silver,4,r002,opens lid of container,6,yes,watchlist_verb,yes,0,0,0.0,65,1,2026-03-02T23:39:00.699177Z,2026-03-02T23:39:00.699195Z,1.768,Gold,1065,2,65,,
688,0cf71e76-0ed9-4fb9-875f-be49528105b7,18.158445266666668,#C C closes the container with the lid,Cleaning,Object Transfer,Logistics step involving the manipulation of objects.,silver,4,r002,closes container with lid,14,yes,watchlist_verb,yes,0,0,0.0,66,1,2026-03-02T23:39:03.203338Z,2026-03-02T23:39:03.203356Z,1.673,Gold,1066,2,66,,
9229,0cf71e76-0ed9-4fb9-875f-be49528105b7,154.16133526666667,#C C opens the door of the car,Cleaning,Object Transfer,"Opening an object, which involves a short burst of hand activity.",silver,4,r002,opens door of car,3,yes,watchlist_verb,yes,0,0,0.0,67,1,2026-03-02T23:39:08.553419Z,2026-03-02T23:39:08.553435Z,4.423,Gold,1067,2,67,,
1445,0cf71e76-0ed9-4fb9-875f-be49528105b7,230.41425526666663,#C C picks the mouse,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver,4,r002,picks mouse,10,no,,no,0,0,0.0,68,1,2026-03-02T23:39:11.217097Z,2026-03-02T23:39:11.217109Z,1.184,Gold,1068,2,68,,
7587,0cf71e76-0ed9-4fb9-875f-be49528105b7,583.4967852666667,#C C puts the cable on the table,Cleaning,Object Transfer,"Logistics step, placing an object.",silver,4,r002,puts cable on table,4,no,,no,0,0,0.0,69,1,2026-03-02T23:39:13.375248Z,2026-03-02T23:39:13.375262Z,1.295,Gold,1069,2,69,,
9053,0cf71e76-0ed9-4fb9-875f-be49528105b7,609.2362852666668,#C C moves the container aside,Cleaning,Object Transfer,Logistics step involving moving an object.,silver,4,r002,moves container aside,3,yes,watchlist_verb,yes,0,0,0.0,70,1,2026-03-02T23:39:16.381550Z,2026-03-02T23:39:16.381566Z,1.612,Gold,1070,2,70,,
1709,0cf71e76-0ed9-4fb9-875f-be49528105b7,634.6638352666668,#C C looks at the bag,Cleaning,Search,"Head movement (visual inspection), hands mostly still.",silver,4,r002,looks at bag,9,no,,no,0,0,0.0,71,1,2026-03-02T23:39:19.535870Z,2026-03-02T23:39:19.535892Z,1.318,Gold,1071,2,71,,
5263,0cf71e76-0ed9-4fb9-875f-be49528105b7,672.6264452666667,#C C puts the charger in the bag,Cleaning,Object Transfer,"Logistics step, moving an object from one place to another.",silver,4,r002,puts charger in bag,5,no,,no,0,0,0.0,72,1,2026-03-02T23:39:22.196309Z,2026-03-02T23:39:22.196327Z,1.682,Gold,1072,2,72,,
10252,0cf71e76-0ed9-4fb9-875f-be49528105b7,694.0391452666667,#C C grabs a paper,Cleaning,Object Transfer,Logistics step involving picking up an object.,silver,4,r002,grabs paper,3,no,,no,0,0,0.0,73,1,2026-03-02T23:39:25.279628Z,2026-03-02T23:39:25.279644Z,1.445,Gold,1073,2,73,,
7571,0cf71e76-0ed9-4fb9-875f-be49528105b7,762.3937952666668,#C C puts the box in the car,Cleaning,Object Transfer,Logistics step involving picking up and placing an object.,silver,4,r002,puts box in car,4,no,,no,0,0,0.0,74,1,2026-03-02T23:39:31.216669Z,2026-03-02T23:39:31.216689Z,5.128,Gold,1074,2,74,,
5732,0cf71e76-0ed9-4fb9-875f-be49528105b7,767.0686752666667,#C C walks to the house,Cleaning,Locomotion,Body moving through space (walking).,silver,4,r002,walks to house,5,no,,no,0,0,0.0,75,1,2026-03-02T23:39:33.522077Z,2026-03-02T23:39:33.522095Z,1.342,Gold,1075,2,75,,
6343,0cf71e76-0ed9-4fb9-875f-be49528105b7,796.8143752666667,#C C collects the papers,Cleaning,Object Transfer,"Logistics step, picking up objects.",silver,4,r002,collects papers,4,no,,no,0,0,0.0,76,1,2026-03-02T23:39:36.626329Z,2026-03-02T23:39:36.626343Z,2.09,Gold,1076,2,76,,
