action,annotation_id,annotator,batch,corrected_action,created_at,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,id,lead_time,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,status,timestamp_sec,updated_at,verdict,video_uid,watchlist_hit
Stationary,13250,6,6,Object Transfer,2026-03-03T18:49:28.838476Z,3,8586,watchlist_verb,yes,0,0.0,0,1149285,8.502,#C C adjusts the chopping board,adjusts chopping board,"Low body/hand motion, fine adjustment.",r002,Cooking,,silver,527.5638086458333,2026-03-03T18:49:28.838490Z,Bad,024713b7-b198-4502-a114-02ca0485353b,yes
Object Transfer,13251,6,6,,2026-03-03T18:49:36.068885Z,4,7832,,no,0,0.0,0,1149286,6.273,#C C puts spoon in the seasoning packet,puts spoon in seasoning packet,Logistics step involving placing an object.,r002,Cooking,Essential Operation,silver,644.4166521677084,2026-03-03T18:49:36.068900Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Object Transfer,13252,6,6,,2026-03-03T18:49:38.931116Z,4,7966,,no,0,0.0,0,1149287,2.133,#C C removes spoon from the seasoning packet,removes spoon from seasoning packet,Logistics/Setup step (removing an object).,r002,Cooking,,silver,648.2710721677083,2026-03-03T18:49:38.931130Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Object Transfer,13253,6,6,,2026-03-03T18:49:41.788478Z,3,9234,watchlist_verb,yes,0,0.0,0,1149288,1.559,#C C opens the electric kettle,opens electric kettle,Logistics step involving opening an object.,r002,Cooking,,silver,867.6221721677084,2026-03-03T18:49:41.788492Z,Gold,024713b7-b198-4502-a114-02ca0485353b,yes
Object Transfer,13254,6,6,,2026-03-03T18:49:44.704143Z,5,4177,watchlist_verb,yes,0,0.0,0,1149289,1.805,#C C closes the electric kettle,closes electric kettle,"Closing an object, a logistics step involving hand motion.",r002,Cooking,,silver,872.9209221677083,2026-03-03T18:49:44.704156Z,Gold,024713b7-b198-4502-a114-02ca0485353b,yes
Object Transfer,13255,6,6,,2026-03-03T18:49:47.245731Z,3,9060,watchlist_verb,yes,0,0.0,0,1149290,1.657,#C C moves the cups,moves cups,Logistics step involving moving objects (cups).,r002,Cooking,,silver,884.4813021677083,2026-03-03T18:49:47.245756Z,Gold,024713b7-b198-4502-a114-02ca0485353b,yes
Essential Operation,13256,6,6,,2026-03-03T18:49:50.709035Z,5,5470,,no,0,0.0,0,1149291,2.575,#C C rinses the scouring pad,rinses scouring pad,Core task involving hand movement for cleaning.,r002,Cooking,,silver,898.8080121677084,2026-03-03T18:49:50.709064Z,Gold,024713b7-b198-4502-a114-02ca0485353b,no
Essential Operation,13257,6,6,,2026-03-03T18:49:54.572763Z,3,8622,watchlist_verb,yes,0,0.0,0,1149292,4.206,#C C adjusts the nylon on the floor with both hands.,adjusts nylon on floor with both hands,Core manual task involving high hand activity.,r002,Mechanical Repair,Object Transfer,silver,578.44003762133,2026-03-03T18:49:57.543183Z,Gold,036ed5cd-297e-4592-97ee-0611adbc45d2,yes
Object Transfer,13258,6,6,,2026-03-03T18:50:00.049130Z,3,11531,,no,0,0.0,0,1149293,1.515,#C C picks up the paint can from the nylon on the floor.,picks up paint can from nylon on floor,Logistics step involving picking up an object.,r002,Mechanical Repair,,silver,621.3595876213301,2026-03-03T18:50:00.049157Z,Gold,036ed5cd-297e-4592-97ee-0611adbc45d2,no
Object Transfer,13259,6,6,,2026-03-03T18:50:36.269755Z,3,9974,,no,0,0.0,0,1149294,2.937,#C C drops the paint can on the nylon on the floor,drops paint can on nylon on floor,Refined via regex fallback,r002,Mechanical Repair,,silver,624.78918762133,2026-03-03T18:50:36.269770Z,Gold,036ed5cd-297e-4592-97ee-0611adbc45d2,no
Essential Operation,13260,6,6,,2026-03-03T18:50:39.343790Z,5,4853,,no,0,0.0,0,1149295,1.997,#C C paints the balcony with her right hand with the paint brush .,paints balcony with her right hand with paint brush,Core manual task involving high hand activity.,r002,Mechanical Repair,,silver,1163.8894842879963,2026-03-03T18:50:39.343804Z,Gold,036ed5cd-297e-4592-97ee-0611adbc45d2,no
Essential Operation,13261,6,6,,2026-03-03T18:50:46.167915Z,3,11863,,no,0,0.0,0,1149296,1.676,#C C plucks a stalks,plucks stalks,Core task involving high hand activity.,r002,Gardening,,silver,10.3687886,2026-03-03T18:50:46.167938Z,Gold,07b357ce-0bce-4d5e-b7ab-c16f1d4c7de6,no
Object Transfer,13262,6,6,,2026-03-03T18:51:12.392272Z,7,2833,,no,0,0.0,0,1149297,2.479,#C C picks stalk,picks stalk,"The action involves picking up an object, which is a logistics step.",r002,Gardening,,silver,19.2038986,2026-03-03T18:51:12.392309Z,Gold,07b357ce-0bce-4d5e-b7ab-c16f1d4c7de6,no
Object Transfer,13263,6,6,,2026-03-03T18:51:17.265993Z,4,7436,,no,0,0.0,0,1149298,3.996,#C C plucks a leaf,plucks leaf,"Action involves picking up an object (leaf), which is a logistics step.",r002,Gardening,Essential Operation,silver,31.8549486,2026-03-03T18:51:17.266019Z,Gold,07b357ce-0bce-4d5e-b7ab-c16f1d4c7de6,no
Stationary,13264,6,6,,2026-03-03T18:51:19.697909Z,5,5499,,no,0,0.0,0,1149299,1.471,#C C scratches his right arm with his left hand. #Unsure,scratches his right arm with his left hand,"Low body/hand motion, except for the brief action of scratching.",r002,Desk Work,,silver,98.88225,2026-03-03T18:51:19.697941Z,Gold,0be670d2-3216-4261-ab73-f9941b69e04c,no
Object Transfer,13265,6,6,,2026-03-03T18:51:21.922205Z,5,4949,,no,0,0.0,0,1149300,1.375,#C C picks dumbbells from the floor with both hands.,picks dumbbells from floor with both hands,Logistics action of picking up objects with both hands.,r002,Desk Work,,silver,360.55929,2026-03-03T18:51:21.922228Z,Gold,0be670d2-3216-4261-ab73-f9941b69e04c,no
Essential Operation,13266,6,6,,2026-03-03T18:51:25.984452Z,5,4616,,no,0,0.0,0,1149301,3.145,#C C exercises with the dumbbells.,exercises with dumbbells,Core manual task involving high hand activity with dumbbells.,r002,Desk Work,,silver,365.88162,2026-03-03T18:51:25.984475Z,Gold,0be670d2-3216-4261-ab73-f9941b69e04c,no
Object Transfer,13267,6,6,,2026-03-03T18:51:29.304940Z,6,3406,,no,0,0.0,0,1149302,2.244,#C C drops the dumbbells on the floor.,drops dumbbells on floor,Refined via regex fallback,r002,Desk Work,,silver,393.91466,2026-03-03T18:51:29.304962Z,Gold,0be670d2-3216-4261-ab73-f9941b69e04c,no
Stationary,13268,6,6,,2026-03-03T18:51:31.819237Z,4,8203,,no,0,0.0,0,1149303,1.587,#C C stops exercising.,stops exercising,"The action indicates a transition to a state of inactivity, which corresponds to low energy and motion.",r002,Desk Work,,silver,807.2861399999999,2026-03-03T18:51:31.819252Z,Gold,0be670d2-3216-4261-ab73-f9941b69e04c,no
Locomotion,13269,6,6,Stationary,2026-03-03T18:51:41.572138Z,7,3028,,no,0,0.0,0,1149304,8.643,#C C stands from a yoga mat.,stands from yoga mat,"Body movement through space, specifically standing up.",r002,Desk Work,,silver,1386.90476,2026-03-03T18:51:41.572156Z,Bad,0be670d2-3216-4261-ab73-f9941b69e04c,no
Essential Operation,13270,6,6,,2026-03-03T18:51:44.521357Z,18,435,,no,0,0.0,0,1149305,1.965,#C C brushes a wooden stair rail with the paint brush,brushes wooden stair rail with paint brush,Core task involving manual activity with hands.,r002,Mechanical Repair,,silver,2.4843086000000003,2026-03-03T18:51:44.521372Z,Gold,0cb2dd94-afb1-4e30-a62f-724f34d81777,no
Essential Operation,13271,6,6,,2026-03-03T18:51:47.739426Z,5,4427,,no,0,0.0,0,1149306,2.098,#C C brushes the paint brush on his left hand,brushes paint brush on his left hand,"[CtxFixed] The action of brushing the paint brush on his left hand likely serves to clean or redistribute the paint, which is a continuation of the essential operation of painting the wooden stair rail.",r002,Mechanical Repair,,silver,18.634348600000003,2026-03-03T18:51:47.739448Z,Gold,0cb2dd94-afb1-4e30-a62f-724f34d81777,no
Object Transfer,13272,6,6,,2026-03-03T18:52:22.315309Z,4,6965,,no,0,0.0,0,1149307,33.715,#C C passes the paint brush back to his right hand,passes paint brush back to his right hand,"The action involves passing an object, which is a logistical movement.",r002,Mechanical Repair,,silver,373.1617286,2026-03-03T18:52:22.315332Z,Gold,0cb2dd94-afb1-4e30-a62f-724f34d81777,no
Essential Operation,13273,6,6,,2026-03-03T18:52:28.928292Z,22,310,,no,0,0.0,0,1149308,5.368,#C C paints the balustrade with the paint brush with his right hand.,paints balustrade with paint brush with his right hand,Core manual task involving high hand activity.,r002,Mechanical Repair,,silver,570.1655076213301,2026-03-03T18:52:28.928314Z,Gold,0cb2dd94-afb1-4e30-a62f-724f34d81777,no
Object Transfer,13274,6,6,,2026-03-03T18:52:33.115014Z,10,1438,,no,0,0.0,0,1149309,3.353,#C C picks an electric kettle,picks electric kettle,Logistics step of picking up an object.,r002,Cleaning,,silver,1.6464986,2026-03-03T18:52:33.115028Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13275,6,6,,2026-03-03T18:52:35.997539Z,4,7115,,no,0,0.0,0,1149310,1.678,#C C picks a jerrycan,picks jerrycan,Logistics step involving picking up an object.,r002,Cleaning,,silver,63.4937386,2026-03-03T18:52:35.997553Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13276,6,6,,2026-03-03T18:53:20.309326Z,3,9244,watchlist_verb,yes,0,0.0,0,1149311,2.422,#C C opens the jerrycan,opens jerrycan,Logistics action involving opening an object.,r002,Cleaning,,silver,72.6566686,2026-03-03T18:53:20.309350Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,yes
Stationary,13277,6,6,Object Transfer,2026-03-03T18:53:22.521604Z,6,4018,,no,0,0.0,0,1149312,7.210999999999999,#C C switches off the socket,switches off socket,"Low body/hand motion, likely involves a single hand movement to switch off the socket.",r002,Cleaning,Essential Operation,silver,163.5174486,2026-03-03T18:53:28.695810Z,Bad,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13278,6,6,,2026-03-03T18:53:31.460453Z,4,6469,,no,0,0.0,0,1149313,1.833,#C C drops dustpan on the floor,drops dustpan on floor,Refined via regex fallback,r002,Cleaning,,silver,226.4700486,2026-03-03T18:53:31.460467Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13279,6,6,,2026-03-03T18:53:33.940333Z,3,8727,watchlist_verb,yes,0,0.0,0,1149314,1.535,#C C closes the window,closes window,"Action involves manipulating an object (closing the window), which is a logistics step.",r002,Cleaning,,silver,252.4239286,2026-03-03T18:53:33.940355Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,yes
Essential Operation,13280,6,6,,2026-03-03T18:53:36.195008Z,11,1130,,no,0,0.0,0,1149315,1.357,#C C dips mop in the water,dips mop in water,Core task involving high hand activity.,r002,Cleaning,,silver,267.4156686,2026-03-03T18:53:36.195022Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Essential Operation,13281,6,6,,2026-03-03T18:53:39.186337Z,6,3989,,no,0,0.0,0,1149316,2.003,#C C squeezes water from the mop,squeezes water from mop,Core manual task involving high hand activity.,r002,Cleaning,,silver,355.51178927616047,2026-03-03T18:53:39.186351Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13282,6,6,,2026-03-03T18:53:41.337869Z,30,175,,no,0,0.0,0,1149317,1.312,#C C picks cloth from the floor,picks cloth from floor,Logistics step involving picking up an object.,r002,Cleaning,,silver,440.8717592761605,2026-03-03T18:53:41.337907Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13283,6,6,,2026-03-03T18:53:43.444879Z,7,2668,,no,0,0.0,0,1149318,1.205,#CC hangs cloth on the chair,hangs cloth on chair,"Logistics step, moving the cloth to the chair.",r002,Cleaning,,silver,442.04974927616047,2026-03-03T18:53:43.444902Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Stationary,13284,6,6,,2026-03-03T18:53:54.466822Z,7,2485,watchlist_verb,yes,0,0.0,0,1149319,2.525,#C C Holds the mob wiper,holds mob wiper,"Low body/hand motion, holding an object.",r002,Cleaning,,silver,584.847237613672,2026-03-03T18:53:54.466853Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,yes
Locomotion,13285,6,6,Object Transfer,2026-03-03T18:53:59.695108Z,25,247,watchlist_verb,yes,0,0.0,0,1149320,4.148,#C C Moves the bucket,moves bucket,"Movement of the body through space, likely involves transporting the bucket.",r002,Cleaning,,silver,667.340837613672,2026-03-03T18:53:59.695124Z,Bad,0de39e75-fb19-47d4-818d-fff874b05ab9,yes
Object Transfer,13286,6,6,,2026-03-03T18:54:03.299397Z,11,1231,,no,0,0.0,0,1149321,2.48,#C C Puts the bucket on the floor,puts bucket on floor,Logistics step involving the placement of an object.,r002,Cleaning,,silver,713.0155776136719,2026-03-03T18:54:03.299420Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13287,6,6,,2026-03-03T18:54:05.470052Z,4,7776,,no,0,0.0,0,1149322,1.385,#C C Puts the plastic bag on the floor,puts plastic bag on floor,Logistics step of placing an object.,r002,Cleaning,,silver,791.401407613672,2026-03-03T18:54:05.470066Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13288,6,6,,2026-03-03T18:54:08.566861Z,4,7659,,no,0,0.0,0,1149323,1.999,#C C Puts the dust bin on the floor,puts dust bin on floor,Logistics step of placing an object.,r002,Cleaning,,silver,799.422057613672,2026-03-03T18:54:08.566876Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13289,6,6,,2026-03-03T18:54:10.658336Z,7,2950,,no,0,0.0,0,1149324,1.294,#C C puts the mop in the bucket,puts mop in bucket,Logistics/Setup step involving the placement of an object.,r002,Cleaning,,silver,829.2701653138672,2026-03-03T18:54:10.658350Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Object Transfer,13290,6,6,,2026-03-03T18:54:12.800412Z,6,3827,,no,0,0.0,0,1149325,1.381,#C C puts down the bucket,puts down bucket,Logistics step involving the placement of an object.,r002,Cleaning,,silver,945.4367653138672,2026-03-03T18:54:12.800436Z,Gold,0de39e75-fb19-47d4-818d-fff874b05ab9,no
Search,13291,6,6,,2026-03-03T18:54:15.617739Z,6,3513,,no,0,0.0,0,1149326,2.002,#C C looks at the basket,looks at basket,"Head movement (visual search), hands mostly still.",r002,Walking Outdoors,,silver,289.19002,2026-03-03T18:54:15.617753Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13292,6,6,,2026-03-03T18:54:18.173514Z,8,2154,,no,0,0.0,0,1149327,1.746,#O man X walks towards the basketball,man x walks towards basketball,Body moving through space (walking).,r002,Walking Outdoors,,silver,405.47892,2026-03-03T18:54:18.173537Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Search,13293,6,6,,2026-03-03T18:54:20.408617Z,3,10444,,no,0,0.0,0,1149328,1.159,#C C looks at the basketball,looks at basketball,"Head movement (visual inspection), hands mostly still.",r002,Walking Outdoors,,silver,480.23597,2026-03-03T18:54:20.408648Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13294,6,6,,2026-03-03T18:54:26.666334Z,5,4661,,no,0,0.0,0,1149329,5.374,#C C goes for the ball,goes for ball,"Body moving through space, likely involves walking or running.",r002,Walking Outdoors,,silver,2189.874556666666,2026-03-03T18:54:26.666349Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13295,6,6,,2026-03-03T18:55:34.519470Z,4,6862,,no,0,0.0,0,1149330,4.975,#O Man A walks on the court,man walks on court,"Body moving through space, indicative of walking.",r002,Walking Outdoors,,silver,2200.1751966666666,2026-03-03T18:55:34.519485Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13296,6,6,,2026-03-03T18:55:37.704868Z,8,2143,,no,0,0.0,0,1149331,2.107,#O Man A goes for the ball,man goes for ball,"Body moving through space, indicative of walking.",r002,Walking Outdoors,,silver,2218.1185166666664,2026-03-03T18:55:37.704892Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13297,6,6,,2026-03-03T18:55:41.861256Z,3,10543,,no,0,0.0,0,1149332,1.735,#O Man A bends,man bends,"Action indicates a change in posture related to movement, such as bending down while walking.",r002,Walking Outdoors,,silver,2347.5945166666666,2026-03-03T18:55:41.861270Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Locomotion,13298,6,6,Stationary,2026-03-03T18:55:50.977935Z,23,288,watchlist_verb,yes,0,0.0,0,1149333,8.316,#O Man A holds a ball,man holds ball,Body moving through space while holding an object.,r002,Walking Outdoors,,silver,2494.5083766666667,2026-03-03T18:55:50.977967Z,Bad,114cdc4b-4ae5-4938-8218-151e1e35b3db,yes
Stationary,13299,6,6,,2026-03-03T18:56:03.380651Z,3,10696,,no,0,0.0,0,1149334,11.257,#O Man A squats,man squats,The action of squatting indicates a stationary position with low body motion.,r002,Walking Outdoors,,silver,2494.5083766666667,2026-03-03T18:56:03.380685Z,Gold,114cdc4b-4ae5-4938-8218-151e1e35b3db,no
Object Transfer,13300,6,6,,2026-03-03T18:56:06.665180Z,3,10147,,no,0,0.0,0,1149335,2.22,#C C fetches water on the bottle,fetches water on bottle,"Fetching an object (water bottle), involves picking up and moving the object.",r002,Gardening,,silver,2.6687086000000004,2026-03-03T18:56:06.665203Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Stationary,13301,6,6,Essential Operation,2026-03-03T20:48:56.458817Z,7,3022,,no,0,0.0,0,1149336,5826.775,#C C sprays the flower,sprays flower,"Low body/hand motion, holding position while spraying.",r002,Gardening,,silver,31.4680886,2026-03-03T20:48:56.458831Z,Bad,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13302,6,6,,2026-03-03T20:49:02.759072Z,6,3779,,no,0,0.0,0,1149337,7.842,#C C pulls back the bottle,pulls back bottle,"The action involves moving an object (the bottle), which is a logistics step.",r002,Gardening,,silver,42.7027386,2026-03-03T20:49:05.874751Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Stationary,13303,6,6,Essential Operation,2026-03-03T20:49:11.019191Z,8,2429,,no,0,0.0,0,1149338,3.904,#C C waters the flower,waters flower,"Low body/hand motion, holding the watering can.",r002,Gardening,,silver,60.7522986,2026-03-03T20:49:11.019237Z,Bad,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13304,6,6,,2026-03-03T20:49:13.836506Z,18,446,,no,0,0.0,0,1149339,1.868,#C C passes the bottle between the rails,passes bottle between rails,Logistics step involving passing an object.,r002,Gardening,,silver,73.1919386,2026-03-03T20:49:13.836529Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13305,6,6,,2026-03-03T20:49:17.555291Z,4,5877,watchlist_verb,yes,0,0.0,0,1149340,6.991,#C C closes the bottle with the self priming spray mechanism,closes bottle with self priming spray mechanism,Closing the bottle is a logistics step involving brief bursts of hand activity.,r002,Gardening,Essential Operation,silver,87.6470886,2026-03-03T20:49:21.848507Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,yes
Stationary,13306,6,6,Essential Operation,2026-03-03T20:49:24.730968Z,21,345,,no,0,0.0,0,1149341,4.691000000000001,#C C waters the plant,waters plant,"Low body/hand motion, possibly holding the watering can in place.",r002,Gardening,,silver,128.99708859999998,2026-03-03T20:49:27.729742Z,Bad,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Search,13307,6,6,,2026-03-03T20:49:30.665821Z,8,2129,,no,0,0.0,0,1149342,1.903,#C C looks at the sink,looks at sink,"Head movement (visual search), hands mostly still.",r002,Gardening,,silver,171.98589859999998,2026-03-03T20:49:30.665837Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13308,6,6,,2026-03-03T20:49:32.919542Z,3,11990,,no,0,0.0,0,1149343,1.424,#C C pulls the bottle,pulls bottle,"Logistics step, likely involves picking up or moving the bottle.",r002,Gardening,,silver,274.7314486,2026-03-03T20:49:32.919566Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Stationary,13309,6,6,Essential Operation,2026-03-03T20:49:38.024366Z,24,284,,no,0,0.0,0,1149344,4.225,#C C sprays the plant,sprays plant,"Low body/hand motion, likely holding the spray bottle in one place.",r002,Gardening,,silver,351.26691598977266,2026-03-03T20:49:38.024392Z,Bad,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13310,6,6,,2026-03-03T20:49:41.938997Z,25,252,,no,0,0.0,0,1149345,1.567,#C C lifts a vase,lifts vase,Logistics step involving picking up an object.,r002,Gardening,,silver,428.8647559897727,2026-03-03T20:49:41.939011Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Search,13311,6,6,,2026-03-03T20:49:47.579459Z,3,10484,,no,0,0.0,0,1149346,4.868,#C C looks at the vase,looks at vase,"Head movement (visual inspection), hands mostly still.",r002,Gardening,,silver,434.5279259897726,2026-03-03T20:49:47.579493Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Stationary,13312,6,6,,2026-03-03T20:49:50.730881Z,14,698,watchlist_verb,yes,0,0.0,0,1149347,2.285,#C C touches the soil,touches soil,"Low body/hand motion, tactile inspection.",r002,Gardening,,silver,460.9940159897726,2026-03-03T20:49:50.730895Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,yes
Object Transfer,13313,6,6,,2026-03-03T20:49:53.118357Z,5,4621,,no,0,0.0,0,1149348,1.541,#C C fetches soil from the vase,fetches soil from vase,Logistics step involving picking up and transporting the soil.,r002,Gardening,,silver,467.5371759897727,2026-03-03T20:49:53.118381Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Essential Operation,13314,6,6,,2026-03-03T20:50:53.762523Z,5,5201,,no,0,0.0,0,1149349,59.825,#C C pours soil on the plant,pours soil on plant,Core task involving manual action with the hands.,r002,Gardening,,silver,468.9211559897726,2026-03-03T20:50:53.762536Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Search,13315,6,6,,2026-03-03T20:50:58.936280Z,7,2553,watchlist_verb,yes,1,1.0,1,1149350,4.042,#C C touches the plant,touches plant,"Visual inspection or tactile search, hands are gently interacting with the plant.",r002,Gardening,Stationary,silver,472.79542598977264,2026-03-03T20:50:58.936303Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,yes
Stationary,13316,6,6,,2026-03-03T20:51:05.409404Z,4,6214,watchlist_verb,yes,0,0.0,0,1149351,4.739,#C C touches soil on the vase,touches soil on vase,"Low body/hand motion, likely involves fine motor skills with minimal movement.",r002,Gardening,,silver,474.65644598977264,2026-03-03T20:51:05.409419Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,yes
Object Transfer,13317,6,6,,2026-03-03T20:51:09.066287Z,6,3708,,no,0,0.0,0,1149352,2.84,#C C places the bottle on the shelf,places bottle on shelf,Logistics step involving placing an object.,r002,Gardening,,silver,591.0859733884115,2026-03-03T20:51:09.066302Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13318,6,6,,2026-03-03T20:51:25.905673Z,23,301,,no,0,0.0,0,1149353,4.695,#C C picks the leaves,picks leaves,"The action involves picking up leaves, which is a logistics step.",r002,Gardening,,silver,647.0666633884115,2026-03-03T20:51:25.905692Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
Object Transfer,13319,6,6,,2026-03-03T20:52:02.534428Z,6,3416,,no,0,0.0,0,1149354,35.561,#C C drops the leaves,drops leaves,"[CtxFixed] The action of dropping the leaves is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",r002,Gardening,,silver,648.2500133884115,2026-03-03T20:52:02.534442Z,Gold,12a0347f-b829-4c86-bf7a-407c96f7ad3e,no
