"action","annotation_id","annotator","batch","corrected_action","created_at","dataset_rows_covered_if_validated","global_rank","high_priority_reason","high_priority_review","historical_bad_count","historical_bad_rate","historical_checked_count","id","lead_time","narration_text","normalized_narration_stage2","reasoning","round","scenario","secondary_action","status","timestamp_sec","updated_at","verdict","video_uid","watchlist_hit"
"Stationary",1215,"1",2,"","2026-03-03T16:19:22.432474Z",4,5940,"watchlist_verb","yes",0,0.0,0,1215,1.203,"#C C holds the front fender with his gloved left hand.","holds front fender with his gloved left hand","Holding an object with one hand implies minimal movement.","r002","Mechanical Repair","","silver",565.4253946666666,"2026-03-03T16:19:22.432482Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","yes"
"Task Operation",1216,"1",2,"","2026-03-03T16:19:27.201534Z",4,5846,"watchlist_verb","yes",0,0.0,0,1216,3.259,"#C C adjusts the front fender with his gloved right hand","adjusts front fender with his gloved right hand","Core task involving precise manual adjustment.","r002","Mechanical Repair","","silver",677.2144466666666,"2026-03-03T16:19:27.201542Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","yes"
"Task Operation",1217,"1",2,"","2026-03-03T16:19:33.959066Z",3,8597,"watchlist_verb","yes",0,0.0,0,1217,4.992,"#C C adjusts the front fender with his gloved left hand","adjusts front fender with his gloved left hand","Core manual task, high hand activity.","r002","Mechanical Repair","","silver",699.3217166666667,"2026-03-03T16:19:33.959075Z","Gold","11f51f72-c0bd-4631-aabb-6ecbe17d95c9","yes"
"Task Operation",1218,"1",2,"","2026-03-03T16:19:37.619367Z",3,9627,"","no",0,0.0,0,1218,2.283,"#C C cleans the car roof with a piece of cloth.","cleans car roof with piece of cloth","Core task involving manual cleaning with a cloth, high hand activity.","r002","Cleaning","","silver",128.2343096,"2026-03-03T16:19:37.619375Z","Gold","1321d3aa-dc41-4bee-94a7-559536885b88","no"
"Task Operation",1219,"1",2,"","2026-03-03T16:19:43.127171Z",4,8114,"","no",0,0.0,0,1219,3.852,"#C C sprays the car trunk interior","sprays car trunk interior","Core task involving high hand activity.","r002","Cleaning","","silver",351.9962509546634,"2026-03-03T16:19:43.127180Z","Gold","1321d3aa-dc41-4bee-94a7-559536885b88","no"
"Task Operation",1220,"1",2,"","2026-03-03T16:19:46.037920Z",4,6304,"","no",0,0.0,0,1220,1.466,"#C C cleans the car trunk interior with the piece of cloth.","cleans car trunk interior with piece of cloth","Core manual task involving cleaning, high hand activity.","r002","Cleaning","","silver",352.6326809546634,"2026-03-03T16:19:46.037928Z","Gold","1321d3aa-dc41-4bee-94a7-559536885b88","no"
"Object Transfer",1221,"1",2,"","2026-03-03T16:19:48.346933Z",9,1926,"","no",0,0.0,0,1221,1.124,"#C C takes flour","takes flour","Logistics/Setup step, picking up an object.","r002","Cooking","","silver",74.59171526666667,"2026-03-03T16:19:48.346941Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1222,"1",2,"","2026-03-03T16:20:05.417012Z",5,5558,"","no",0,0.0,0,1222,1.627,"#C C spreads dough on table","spreads dough on table","Core manual task involving high hand activity.","r002","Cooking","","silver",169.99950526666666,"2026-03-03T16:20:05.417023Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1223,"1",2,"","2026-03-03T16:20:09.578839Z",14,761,"","no",0,0.0,0,1223,2.4,"#C C rolls dough on a table with a wooden rolling pin in both hands.","rolls dough on table with wooden rolling pin in both hands","Core task involving high hand activity.","r002","Cooking","","silver",269.9789709546634,"2026-03-03T16:20:09.578852Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1224,"1",2,"","2026-03-03T16:20:45.572346Z",5,4145,"watchlist_verb","yes",0,0.0,0,1224,6.418,"#C C adjusts the dough with her left hand.","adjusts dough with her left hand","Core task involving high hand activity.","r002","Cooking","","silver",271.2533809546634,"2026-03-03T16:20:45.572354Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","yes"
"Object Transfer",1225,"1",2,"","2026-03-03T16:20:59.727163Z",4,7921,"","no",0,0.0,0,1225,12.647,"#C C removes flour from a flour pack on the table with her right hand.","removes flour from flour pack on table with her right hand","Logistics step involving picking up and moving an object.","r002","Cooking","","silver",277.9200109546634,"2026-03-03T16:20:59.727175Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1226,"1",2,"","2026-03-03T16:21:14.812426Z",5,4400,"","no",0,0.0,0,1226,3.08,"#C C applies the flour around the dough with her right hand.","applies flour around dough with her right hand","Core task involving high hand activity.","r002","Cooking","","silver",279.0926809546634,"2026-03-03T16:21:14.812436Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1227,"1",2,"","2026-03-03T16:21:20.545715Z",3,9451,"","no",0,0.0,0,1227,4.336,"#C C applies the flour around the dough with both hands.","applies flour around dough with both hands","Core task involving high hand activity.","r002","Cooking","","silver",282.2995609546634,"2026-03-03T16:21:20.545733Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1228,"1",2,"","2026-03-03T16:21:24.087902Z",10,1464,"","no",0,0.0,0,1228,2.174,"#C C picks the wooden rolling pin from the table with her right hand.","picks wooden rolling pin from table with her right hand","Logistics step involving picking up an object.","r002","Cooking","","silver",283.6219509546634,"2026-03-03T16:21:24.087918Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1229,"1",2,"","2026-03-03T16:21:27.505950Z",5,4508,"","no",0,0.0,0,1229,2.113,"#C C cuts the portion of dough into portions with the knife in her right hand.","cuts portion of dough into portions with knife in her right hand","Core manual task involving precise hand movements.","r002","Cooking","","silver",487.8679809546634,"2026-03-03T16:21:27.505960Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1230,"1",2,"","2026-03-03T16:21:33.006078Z",18,462,"","no",1,1.0,1,1230,3.945,"#C C scoops ravioli pasta from the plate with the spoon in her right hand.","scoops ravioli pasta from plate with spoon in her right hand","Logistics step involving picking up and transferring an object.","r002","Cooking","","silver",581.1696709546634,"2026-03-03T16:21:33.006090Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1231,"1",2,"","2026-03-03T16:21:36.592380Z",20,348,"watchlist_verb","yes",0,0.0,0,1231,2.093,"#C C moves the ravioli pasta from the spoon onto a portion of dough on the table with her left hand.","moves ravioli pasta from spoon onto portion of dough on table with her left hand","The action involves moving an object (ravioli pasta) from one location to another, which is characteristic of logistics and setup tasks.","r002","Cooking","","silver",584.9165809546633,"2026-03-03T16:21:36.592389Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","yes"
"Object Transfer",1232,"1",2,"","2026-03-03T16:21:41.263167Z",3,9142,"watchlist_verb","yes",0,0.0,0,1232,2.492,"#C C moves the ravioli pasta from the spoon onto another portion of dough on the table with her left hand.","moves ravioli pasta from spoon onto another portion of dough on table with her left hand","Logistics step involving the transfer of an object from one place to another.","r002","Cooking","","silver",588.4370109546634,"2026-03-03T16:21:41.263178Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","yes"
"Object Transfer",1233,"1",2,"","2026-03-03T16:21:47.724806Z",6,3252,"watchlist_verb","yes",0,0.0,0,1233,5.154,"#C C moves a ravioli pasta dough on the table with both hands.","moves ravioli pasta dough on table with both hands","Logistics step involving moving an object.","r002","Cooking","","silver",720.3436709546634,"2026-03-03T16:21:47.724813Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","yes"
"Task Operation",1234,"1",2,"","2026-03-03T16:22:18.043941Z",5,4644,"","no",0,0.0,0,1234,27.926,"#C C folds the ravioli pasta dough with both hands.","folds ravioli pasta dough with both hands","Core manual task involving high hand activity.","r002","Cooking","","silver",722.3748109546634,"2026-03-03T16:22:18.043950Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1235,"1",2,"","2026-03-03T16:22:21.911314Z",6,3669,"","no",0,0.0,0,1235,1.813,"#C C picks the ravioli pasta dough from the table with her left hand.","picks ravioli pasta dough from table with her left hand","Logistics step involving picking up an object.","r002","Cooking","","silver",748.3852809546634,"2026-03-03T16:22:21.911323Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1236,"1",2,"","2026-03-03T16:22:24.876069Z",3,11686,"","no",0,0.0,0,1236,1.671,"#C C places folded dough in a tray","places folded dough in tray","Logistics step involving placing an object.","r002","Cooking","","silver",854.7985952666667,"2026-03-03T16:22:24.876078Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1237,"1",2,"","2026-03-03T16:22:29.041679Z",10,1436,"","no",1,1.0,1,1237,1.958,"#C C picks dough with minced meat","picks dough with minced meat","Logistics step of picking up an object.","r002","Cooking","","silver",856.9848252666667,"2026-03-03T16:22:29.041688Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1238,"1",2,"","2026-03-03T16:22:32.138309Z",11,1218,"","no",0,0.0,0,1238,1.328,"#C C places meatball on a tray","places meatball on tray","Logistics step, placing object.","r002","Cooking","","silver",900.7041052666667,"2026-03-03T16:22:32.138318Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Stationary",1239,"1",2,"","2026-03-03T16:22:49.880894Z",3,11972,"","no",0,0.0,0,1239,15.847,"#C C presses on the phone","presses on phone","Low body/hand motion, likely involves holding the phone and pressing buttons.","r002","Cooking","","silver",1080.8828852666666,"2026-03-03T16:22:49.880903Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1240,"1",2,"","2026-03-03T16:22:53.909824Z",3,11823,"","no",0,0.0,0,1240,2.025,"#C C places the tray on the table","places tray on table","Logistics/Setup step.","r002","Cooking","","silver",1126.6759952666666,"2026-03-03T16:22:53.909836Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1241,"1",2,"","2026-03-03T16:23:04.858217Z",5,5695,"","no",0,0.0,0,1241,9.012,"#C C turns on the kitchen tap","turns on kitchen tap","Turning on the tap is a core manual task involving hand activity.","r002","Cooking","","silver",1152.6984552666663,"2026-03-03T16:23:04.858230Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1242,"1",2,"","2026-03-03T16:23:15.925279Z",4,6106,"watchlist_verb","yes",0,0.0,0,1242,2.667,"#C C moves a knife on the table","moves knife on table","Movement of an object across a surface.","r002","Cooking","","silver",1269.5232052666663,"2026-03-03T16:23:15.925292Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","yes"
"Task Operation",1243,"1",2,"","2026-03-03T16:23:40.570617Z",6,3985,"","no",0,0.0,0,1243,2.301,"#C C spreads the dough with a rolling pin","spreads dough with rolling pin","Core manual task involving high hand activity.","r002","Cooking","","silver",1271.9452652666666,"2026-03-03T16:23:40.570630Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Task Operation",1244,"1",2,"","2026-03-03T16:23:44.026036Z",5,5474,"","no",0,0.0,0,1244,1.602,"#C C Roles the dough","roles dough","Core task involving high hand activity.","r002","Cooking","","silver",1381.792605266667,"2026-03-03T16:23:44.026047Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1245,"1",2,"","2026-03-03T16:23:51.343634Z",5,5114,"","no",0,0.0,0,1245,1.924,"#C C places the folded dough in her left hand in the ceramic plate on the table.","places folded dough in her left hand in ceramic plate on table","Placing an object (dough) on a surface (plate).","r002","Cooking","","silver",1818.4442009546635,"2026-03-03T16:23:51.343648Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Object Transfer",1246,"1",2,"","2026-03-03T16:24:00.553322Z",6,3625,"","no",1,1.0,1,1246,1.36,"#C C picks the dough on the table with her hands.","picks dough on table with her hands","Logistics step involving picking up an object.","r002","Cooking","","silver",1819.3180309546635,"2026-03-03T16:24:00.553330Z","Gold","1558e9f2-d7f3-4a23-9627-4240f506d7df","no"
"Stationary",1247,"1",2,"","2026-03-03T16:24:06.413212Z",7,2941,"","no",0,0.0,0,1247,3.2,"#C C puts his hand down","puts his hand down","Low body/hand motion, likely indicating a pause or idle state.","r002","Desk Work","","silver",0.4049486,"2026-03-03T16:24:06.413223Z","Gold","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
"Object Transfer",1248,"1",2,"","2026-03-03T16:24:10.920698Z",5,4960,"","no",0,0.0,0,1248,1.411,"#C C picks the glass of water from the table","picks glass of water from table","Logistics step involving picking up an object.","r002","Desk Work","","silver",286.0228986,"2026-03-03T16:24:10.920707Z","Gold","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
"Stationary",1249,"1",2,"","2026-03-03T16:24:14.490942Z",3,10387,"","no",0,0.0,0,1249,1.958,"#C C lifts his hands","lifts his hands","Low body/hand motion, likely a minor gesture or preparation.","r002","Desk Work","","silver",560.3965534633088,"2026-03-03T16:24:14.490953Z","Gold","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
"Stationary",1250,"1",2,"","2026-03-03T16:24:34.133748Z",3,10386,"","no",0,0.0,0,1250,18.112,"#C C lifts her legs","lifts her legs","Low body/hand motion, likely a small movement while seated.","r002","Desk Work","","silver",639.6642734633087,"2026-03-03T16:24:34.133757Z","Gold","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
"Stationary",1251,"1",2,"Locomotion","2026-03-03T16:24:41.296397Z",5,4695,"","no",0,0.0,0,1251,5.252,"#C C kneels on the floor","kneels on floor","The action describes a change in posture to a stationary position on the floor.","r002","Desk Work","","silver",1182.547267613672,"2026-03-03T16:24:41.296410Z","Bad","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
"Stationary",1252,"1",2,"Locomotion","2026-03-03T16:24:50.297422Z",7,2683,"","no",0,0.0,0,1252,7.374,"#C C lies down","lies down","Low body/hand motion, lying down is an idle position.","r002","Desk Work","","silver",1192.149837613672,"2026-03-03T16:24:50.297432Z","Bad","176e0cc4-f5f3-48a4-9032-7c9c04e003f9","no"
