batch,video_uid,timestamp_sec,narration_text,scenario,action,reasoning
0,a4b90abd-8763-49e4-9a15-1276079545e3,191.8625396,#C C opens drawer,Walking Outdoors,Object Transfer,"Opening a drawer involves logistics and setup, with short bursts of hand acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,194.0597896,#C C picks spoon,Walking Outdoors,Object Transfer,Logistics action of picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,194.4307496,#O woman Y picks spoon,Walking Outdoors,Object Transfer,Logistics action of picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,197.8406896,#O woman Y puts spoon on the table,Walking Outdoors,Object Transfer,"Logistics step (putting down an object), short burst of hand activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,198.9616596,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, typical of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,200.0266796,#O woman Y picks tin,Walking Outdoors,Object Transfer,Logistics step of picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,201.5099896,#O woman Y mixes salad,Walking Outdoors,Essential Operation,Core manual task involving hand movements.
0,a4b90abd-8763-49e4-9a15-1276079545e3,209.0713996,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, indicating a dialogue or conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,215.1964596,#C C stands in the house,Walking Outdoors,Stationary,"Low body/hand motion, indicating a stationary position."
0,a4b90abd-8763-49e4-9a15-1276079545e3,220.6217196,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,223.9500896,#O woman Y mixes salad,Walking Outdoors,Essential Operation,"Core task, high hand activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,231.3520296,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,234.5907696,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,236.0740196,#O woman T walks in the house,Walking Outdoors,Locomotion,Body moving through space (walking).
0,a4b90abd-8763-49e4-9a15-1276079545e3,240.2241096,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, focused on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,245.5906596,#O man B dialogues with woman T,Walking Outdoors,Stationary,"Low body/hand motion, implies conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,247.8853996,#O woman Y puts tin in the table,Walking Outdoors,Object Transfer,"The action involves placing an object (tin) on a surface (table), which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,250.1173396,#O woman Y puts spoon on the table,Walking Outdoors,Object Transfer,"The action involves placing an object (spoon) on a surface (table), which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,253.0814296,#O woman T walks in the house,Walking Outdoors,Locomotion,Body moving through space (walking).
0,a4b90abd-8763-49e4-9a15-1276079545e3,253.9419696,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,269.8844196,#O woman Y walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,273.7758796,#C C stands in the house,Walking Outdoors,Stationary,"The action describes C standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,275.9514696,#O woman T cooks,Walking Outdoors,Essential Operation,Cooking involves high hand activity and focused manual tasks.
0,a4b90abd-8763-49e4-9a15-1276079545e3,279.0510696,#O woman T dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, implies dialogue and interaction rather than movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,281.9616896,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking with high body acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,285.1518709546634,#O woman Y dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, dialogue implies standing or sitting still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,287.3540609546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, indicating a conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,302.0404409546634,#C C looks around,Walking Outdoors,Search,"Head movement (looking around), hands mostly still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,304.06368095466337,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, indicative of dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,309.4096509546634,#C C looks around,Walking Outdoors,Search,"Head movement (looking around), hands mostly still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,302.9113209546634,#O woman M stands in the house,Walking Outdoors,Stationary,"The action describes the person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,303.7405309546634,#O woman Y cooks,Walking Outdoors,Locomotion,"The scenario indicates outdoor movement, which corresponds to walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,311.4113609546634,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,313.9625309546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,320.9640009546634,#O woman M leans on the kitchen cupboard,Walking Outdoors,Stationary,"The action describes a person leaning on a cupboard, which involves minimal body movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,319.7317609546634,#O woman Y holds fork,Walking Outdoors,Stationary,"The action describes holding a fork, which is a static activity with minimal movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,322.4624409546634,#O woman Y puts fork on the kitchen cupboard,Walking Outdoors,Object Transfer,"The action involves placing an object, which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,322.8692309546634,#O woman Y dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, focused on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,325.3412009546634,#O woman Y picks box,Walking Outdoors,Object Transfer,Logistics step involving picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,331.7757609546634,#O woman Y opens box,Walking Outdoors,Object Transfer,"Action involves opening a box, which is a logistics/interaction step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,330.4200909546634,#C C dialogues with woman Y,Walking Outdoors,Stationary,"Low body/hand motion, primarily verbal interaction."
0,a4b90abd-8763-49e4-9a15-1276079545e3,334.2382509546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, likely involves talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,336.0006909546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,340.6598709546634,#O woman Y cooks,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,342.7449609546634,#O woman M leans on the kitchen cupboard,Walking Outdoors,Stationary,"The action describes a leaning posture, which involves low body and hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,347.3959909546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,349.2363409546634,#C C laughs with her colleagues,Walking Outdoors,Locomotion,Body moving through space while engaged in conversation.
0,a4b90abd-8763-49e4-9a15-1276079545e3,354.6068809546634,#O woman Y walks in the house,Walking Outdoors,Locomotion,"The action involves movement through space, which corresponds to walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,359.80121095466336,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,361.4570509546634,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, high body acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,359.2120109546634,#O woman M stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,364.0305609546634,#O woman Y picks towel,Walking Outdoors,Object Transfer,"The action involves picking up an object, which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,365.7764509546634,#O woman Y wipes hands with hands,Walking Outdoors,Stationary,"Low body/hand motion, likely wiping hands while standing or sitting."
0,a4b90abd-8763-49e4-9a15-1276079545e3,367.2949109546634,#O woman M holds chair,Walking Outdoors,Object Transfer,"The action involves holding an object (chair), which is a logistics step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,372.7040909546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,376.9121409546634,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, which corresponds to low energy and no movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,377.9503209546634,#O woman M stands in the house,Walking Outdoors,Stationary,"The action describes the woman standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,380.55256095466336,#O woman Y dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, indicative of talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,384.5050709546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,389.7993309546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, indicative of talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,391.9346809546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,402.7995609546634,#O woman M pulls chair,Walking Outdoors,Object Transfer,"The action involves pulling a chair, which is a logistics or setup step."
0,a4b90abd-8763-49e4-9a15-1276079545e3,404.5494309546634,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,405.31904095466336,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, as the action involves dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,403.9529309546634,#C C sits on the chair,Walking Outdoors,Stationary,"Low body/hand motion, sitting is an idle state."
0,a4b90abd-8763-49e4-9a15-1276079545e3,411.4443909546634,#O man B holds laptop,Walking Outdoors,Stationary,"The action describes holding a laptop, which is a static activity with low body and hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,416.5830609546634,#O woman M dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, likely involves talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,418.29900095466337,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,421.6297709546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, as the action is talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,423.87258095466336,#C C dialogues with man B,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue rather than movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,431.6601009546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,437.04828095466337,#O man B presses laptop,Walking Outdoors,Essential Operation,[CtxFixed] Pressing a laptop is an essential operation as it involves interacting with a device to perform a task.
0,a4b90abd-8763-49e4-9a15-1276079545e3,439.7035309546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, focused on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,456.2327509546634,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,461.9998609546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,473.3950909546634,#O woman M holds soda can,Walking Outdoors,Stationary,"The action describes holding a soda can, which involves low body/hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,477.06715095466336,#C C stands in the house,Walking Outdoors,Stationary,"Low body/hand motion, indicating a stationary action."
0,a4b90abd-8763-49e4-9a15-1276079545e3,479.9022009546634,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,483.17720095466336,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, indicative of dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,489.5799209546634,#C C walks in the house,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,491.7029409546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, focus on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,498.8838509546634,#C C sits on the chair,Walking Outdoors,Stationary,"Low body/hand motion, sitting is an idle state."
0,a4b90abd-8763-49e4-9a15-1276079545e3,501.94634095466336,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, dialogue implies standing still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,517.0572209546634,#O woman M sleeps in the table,Walking Outdoors,Stationary,"The action describes a person sleeping, which involves minimal movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,520.8993109546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,542.7300209546635,#O woman Y stands in the house,Walking Outdoors,Stationary,"The action describes a person standing still, indicating low body motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,544.6422609546634,#C C dialogues with woman M,Walking Outdoors,Stationary,"Low body/hand motion, likely involves talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,558.4247409546634,#C C walks to the kitchen,Walking Outdoors,Locomotion,"Body moving through space, involves walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,560.6684409546634,#C C opens water tap,Walking Outdoors,Essential Operation,Core task involving hand activity to operate a tap.
0,a4b90abd-8763-49e4-9a15-1276079545e3,562.8846009546634,#C C picks a bar soap,Walking Outdoors,Object Transfer,Logistics step of picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,563.5222109546634,#C C washes hands with soap,Walking Outdoors,Essential Operation,"Core task involving manual activity with hands, high hand acceleration."
0,a4b90abd-8763-49e4-9a15-1276079545e3,565.4275009546634,#C C drops bar soap on sink top,Walking Outdoors,Object Transfer,Refined via regex fallback
0,a4b90abd-8763-49e4-9a15-1276079545e3,565.9731409546634,#C C washes hands in sink,Walking Outdoors,Essential Operation,Core manual task involving high hand activity.
0,a4b90abd-8763-49e4-9a15-1276079545e3,573.5427609546634,#C C closes water tap,Walking Outdoors,Stationary,"The action involves a small, localized task (closing a water tap) which does not involve significant body movement."
0,a4b90abd-8763-49e4-9a15-1276079545e3,575.3135909546634,#C C dialogues with lady Y,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,575.8932009546634,#O lady Y cooks spaghetti,Walking Outdoors,Essential Operation,"The action involves cooking, which is a core manual task with high hand activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,582.7411009546634,#C C looks at the living room,Walking Outdoors,Stationary,"Looking at the living room indicates a pause, with low body and hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,585.2603309546633,#C C dialogues with man T,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,591.4454509546634,#C C dialogues with lady X,Walking Outdoors,Stationary,"Low body/hand motion, primarily verbal interaction."
0,a4b90abd-8763-49e4-9a15-1276079545e3,593.6529209546634,#C C closes water tap,Walking Outdoors,Stationary,"The action of closing a water tap is a brief, localized movement, indicating low body and hand motion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,595.9868809546634,#O lady X dialogues with man T,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,598.4421209546634,#C C dialogues with lady Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves talking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,602.0157109546634,#C C walks in the kitchen,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,602.8934909546634,#C C picks a napkin,Walking Outdoors,Object Transfer,Logistics step of picking up an item.
0,a4b90abd-8763-49e4-9a15-1276079545e3,605.1410509546633,#C C wipes hands with napkin,Walking Outdoors,Stationary,"Low body/hand motion, not locomotion."
0,a4b90abd-8763-49e4-9a15-1276079545e3,608.8514409546634,#C C walks to the dining table,Walking Outdoors,Locomotion,"Body moving through space, indicative of walking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,610.1696409546634,#C C dialogues with lady X,Walking Outdoors,Stationary,"Low body/hand motion, dialogue implies standing still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,616.4583409546634,#C C sits on table,Walking Outdoors,Stationary,"The action involves sitting, which is a low-energy, stationary activity."
0,a4b90abd-8763-49e4-9a15-1276079545e3,618.5999809546634,#C C picks grapes from bowl,Walking Outdoors,Object Transfer,Logistics step involving picking up an object.
0,a4b90abd-8763-49e4-9a15-1276079545e3,621.5186009546634,#C C dialogues with lady Y,Walking Outdoors,Stationary,"Low body/hand motion, likely involves speaking."
0,a4b90abd-8763-49e4-9a15-1276079545e3,625.3503509546634,#C C dialogues with lady X,Walking Outdoors,Stationary,"Low body/hand motion, focused on conversation."
0,a4b90abd-8763-49e4-9a15-1276079545e3,627.4153509546634,#C C looks at man T,Walking Outdoors,Search,"Head movement (visual search), hands mostly still."
0,a4b90abd-8763-49e4-9a15-1276079545e3,629.5783809546634,#C C dialogues with lady Y,Walking Outdoors,Stationary,"Low body/hand motion, as the focus is on dialogue."
0,a4b90abd-8763-49e4-9a15-1276079545e3,650.6893709546634,#C C picks grape from bowl,Walking Outdoors,Object Transfer,"Logistics step, picking up an object from a location."
