video_uid,timestamp_sec,narration_text,scenario,action,reasoning,status
3c0dffd0-e38e-4643-bc48-d513943dc20b,336.40137864583335,#C C picks a kitchen towel,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,337.0955086458333,#C C moves around,Cooking,Locomotion,"Body moving through space, likely involves walking or moving around.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,338.75028864583334,#C C picks a cooking pot,Cooking,Object Transfer,"Logistics/Setup step, picking up an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,341.08041864583333,#C C wipes the cooking pot,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,347.7238486458333,#C C places the towel down,Cooking,Stationary,Placing an object down is a short action with minimal movement.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,349.1679386458333,#C C picks the lid from the rack,Cooking,Object Transfer,Logistics action involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,350.0775086458333,#C C covers the cooking pot,Cooking,Object Transfer,"Logistics step, likely involves picking up and placing a lid or cover.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,350.43427864583333,#C C walks around,Cooking,Locomotion,"Body moving through space, involves walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,352.1167486458333,#C C opens the kitchen cabinets,Cooking,Object Transfer,Logistics action involving opening a cabinet.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,353.8493586458333,#C C puts the cooking pot in the cabinet and the lid,Cooking,Object Transfer,Logistics of moving objects from one place to another.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,360.1713486458333,#C C walks around,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,362.7972486458333,#C C picks the chopping board,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,363.6180686458333,#C C walks around,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,368.51349864583335,#C C places the chopping boars a side,Cooking,Object Transfer,Logistics step of moving the chopping board.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,371.6014286458333,#O person X stirs onions,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,372.4363486458333,#C C walks around,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,373.8703586458333,#C C picks the knife,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,375.9304986458333,#C C walks around,Cooking,Locomotion,"Body moving through space, involves walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,379.1178686458333,#C C places the knifes on knife rack,Cooking,Object Transfer,Logistics step involving placing objects.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,381.91465864583336,#C C walks around,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,385.24602864583335,#C C picks a jug,Cooking,Object Transfer,"Logistics step, picking up an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,386.76385864583335,#C C picks a towel,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,387.5828186458333,#C C wipes the jug with the towel,Cooking,Essential Operation,"Core manual task, high hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,398.1920686458333,#C C opens the oven drawer,Cooking,Object Transfer,Logistics/Setup step involving opening a drawer.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,399.67771864583335,#C C places the jug in drawer,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,400.6481686458333,#C C closes the drawer,Cooking,Object Transfer,Logistics step involving closing a drawer.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,401.9456486458333,#C C walks around,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,403.9723586458333,#C C picks a container,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,405.95653864583335,#C C uncovers the container,Cooking,Object Transfer,Logistics step involving the removal of a cover from a container.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,407.9798686458333,#C C smells the ingredient,Cooking,Stationary,"Low body/hand motion, focused sensory activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,409.5778786458333,#C C places the container down,Cooking,Object Transfer,Logistics step involving placing an object down.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,411.0884786458333,#C C picks the paper,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,412.2354486458333,#C C moves around,Cooking,Locomotion,"Movement through space, indicative of walking or moving around.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,413.7576986458333,#C C throws off the paper in bin,Cooking,Object Transfer,"Logistics step, moving and disposing of an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,415.11651864583337,#C C stirs onions,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,430.39821864583337,#C C hits the spoon on pan,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,432.51155864583336,#C C adjusts the heat on the oven,Cooking,Stationary,"Low body/hand motion, primarily hand movement with minimal acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,433.6393386458333,#O person X holds the cooking pot,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,435.2777186458333,#C C picks the container with #Unsure,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,437.4030586458333,#C C places the container down,Cooking,Object Transfer,Logistics step involving the placement of an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,438.66051864583335,#C C moves around,Cooking,Locomotion,Body moving through space.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,439.71864864583335,#C C picks the towel,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,441.36633864583337,#C C folds the towel,Cooking,Essential Operation,"Core manual task involving hands, high hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,441.9933186458333,#C C places the towel down,Cooking,Stationary,Placing the towel is a low energy action with minimal body or hand movement.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,442.5203086458333,#C C picks kitchen gloves from the oven,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,445.7833286458333,#C C opens the oven,Cooking,Object Transfer,Opening the oven involves a specific action to manipulate an object (the oven door).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,447.1575486458333,#C C pulls the tray from oven,Cooking,Object Transfer,Logistics action involving picking up and moving an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,451.1870286458333,#C C places the tray down,Cooking,Object Transfer,Logistics step involving placing an object down.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,453.4297486458333,#C C closes the oven,Cooking,Stationary,Low energy action with minimal body movement.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,454.7134486458333,#C C turns off heat on oven,Cooking,Stationary,"Low body/hand motion, possibly involves a brief interaction with the oven control.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,459.7115386458333,#C C places the kitchen gloves on oven,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,460.8019886458333,#C C picks a towel,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,462.6343386458333,#C C folds the towel,Cooking,Essential Operation,Core manual task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,464.7661486458333,#C C hangs the towel on oven,Cooking,Object Transfer,Logistics action involving picking up and placing the towel.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,467.2196586458333,#C C takes the towel from oven,Cooking,Object Transfer,Logistics/Setup step involving picking up and moving an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,467.9490286458333,#C C moves around,Cooking,Locomotion,"Body moving through space, indicative of walking or moving around.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,469.5010386458333,#C C hold the tray with the towel,Cooking,Stationary,Holding an object with low body and hand motion.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,470.4226386458333,#C C moves around,Cooking,Locomotion,Body moving through space.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,471.5964686458333,#C C places the kitchen towel down,Cooking,Stationary,"Low body/hand motion, placing object down.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,474.0827686458333,#C C picks plates from the cabinet,Cooking,Object Transfer,Logistics action involving picking up objects.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,476.88079864583335,#C C moves the papers a side,Cooking,Object Transfer,"Logistics/moving items (papers), short burst of hand activity.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,478.09152864583336,#C C places the plates down,Cooking,Object Transfer,Logistics step involving placing down objects.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,479.4172886458333,#C C moves a star like container,Cooking,Object Transfer,"Moving an object, likely involves picking up and/or putting down the container.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,480.3596986458333,#C C places plate down,Cooking,Object Transfer,Logistics step involving placing down an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,482.3745186458333,#C C moves around,Cooking,Locomotion,"Body moving through space, indicative of walking or moving around.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,485.0462186458333,#C C carries the tray,Cooking,Locomotion,"Body moving through space carrying an object, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,487.0014186458333,#C C picks the spoon,Cooking,Object Transfer,Logistics/Setup step.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,487.8725386458333,#C C moves around,Cooking,Locomotion,Body moving through space.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,489.6980186458333,#C C serves the sausages on plates,Cooking,Object Transfer,Logistics step involving picking up and placing sausages on plates.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,501.2913986458333,#C C places the tray down,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,502.9575086458333,#C C places the serving spoon on tray,Cooking,Object Transfer,"Logistics/Setup step, placing an object.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,503.7867086458333,#C C moves around,Cooking,Locomotion,"Body moving through space, likely walking or moving around.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,506.1542886458333,#C C places the towel down,Cooking,Stationary,"Low body/hand motion, setting up for a task.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,507.0133886458333,#C C stirs onions,Cooking,Essential Operation,Core task involving high hand activity.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,518.0676086458334,#C C picks the pan,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,520.6693186458333,#C C puts on the socket,Cooking,Object Transfer,"Logistics/Setup step, likely involves picking up and attaching the socket.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,524.7615686458333,#C C holds the pan,Cooking,Stationary,"Low body/hand motion, holding an object without moving.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,525.6501286458333,#C C moves around the pan,Cooking,Locomotion,"Body movement through space, likely involves moving a pan which implies high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,528.8455086458333,#C C serves onion on plates,Cooking,Object Transfer,Logistics step involving picking up and placing the onion on plates.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,559.808551017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space (walking), high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,560.844681017806,#C C picks up the spatula,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,561.637031017806,#C C puts the spatula in the pan,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,563.549451017806,#O person X stands across the kitchen,Cooking,Locomotion,Movement through space to a different location in the kitchen.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,564.832121017806,#C C picks up a container,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,566.084261017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space (walking), high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,566.960841017806,#C C opens the fridge,Cooking,Object Transfer,Logistics/Setup step (opening a drawer or fridge).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,569.409981017806,#C C puts the container in the fridge,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,571.834831017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space (walking), high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,573.578291017806,#C C picks up a #unsure from the counter,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,575.913551017806,#C C pours #unsure in the bowl,Cooking,Essential Operation,Core task involving manual operation with hands.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,575.459811017806,#C C picks up a cooking stick,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,577.343421017806,#C C puts the cooking stick on the counter,Cooking,Object Transfer,Logistics step involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,577.879621017806,#C C opens the kitchen drawer,Cooking,Object Transfer,Logistics step involving opening a drawer.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,579.890641017806,#C C picks up a spoon,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,581.021951017806,#O person X takes the spoon from C,Cooking,Object Transfer,Logistics/Setup step involving taking an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,581.633001017806,#C C closes the drawer,Cooking,Object Transfer,Logistics step involving the manipulation of an object (closing a drawer).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,582.263241017806,#C C picks up the kitchen towel;,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,583.924371017806,#C C walks across the kitchen,Cooking,Locomotion,Body moving through space (walking).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,584.448731017806,#C C hangs the kitchen towel on the oven door,Cooking,Object Transfer,Logistics action involving placing an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,587.475291017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space, high body acceleration.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,588.497011017806,#C C moves the bottle on the kitchen counter,Cooking,Object Transfer,Logistics of moving an object (bottle).,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,589.919461017806,#C C picks up the cooking pot,Cooking,Object Transfer,Logistics step involving picking up an object.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,591.155671017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space, indicative of walking.",silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,592.015171017806,#C C puts the cooking pot ontop of the pan,Cooking,Object Transfer,Logistics step involving picking up and placing the pot.,silver
3c0dffd0-e38e-4643-bc48-d513943dc20b,594.029251017806,#C C walks across the kitchen,Cooking,Locomotion,"Body moving through space, involves walking.",silver
