video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,status
002d2729-df71-438d-8396-5895b349e8fd,272.05679960000003,#C C pours out the water in the pot into the sink with both hands.,Cooking,Essential Operation,Logistics step involving the transfer of an object (water in pot) to another location (sink).,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,363.3450309546634,#C C holds the spoon with both hands.,Cooking,Stationary,"Low body/hand motion, holding an object.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,367.7545309546634,#C C takes the bowl lid from her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of the bowl lid from one hand to another.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,379.6122809546634,#C C holds the pot on the counter top with her left hand.,Cooking,Stationary,"The action involves holding an object without movement, indicating low energy and stationary behavior.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,385.57192095466337,#C C drops the spoon in the pot with her right hand.,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,404.0762409546634,#C C opens a cabinet with her right hand.,Cooking,Object Transfer,Logistics step involving opening a cabinet.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,448.9339309546634,#C C removes a layer of leeks with her right hand.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,455.5991709546634,#C C rinses the leeks with both hands under the tap.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,491.2121109546634,# C C rinses the knife with both hands.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,511.6475609546634,#C C chops the leeks on the chopping board with the knife in her right hand.,Cooking,Task Operation,Core task involving repetitive hand movements.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,539.9756376213301,#C C holds a knife in her right hand on a chopping board at a kitchen counter top.,Cooking,Stationary,"The action describes holding a knife without any movement, indicating a stationary position.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,541.7694476213301,#C C moves the vegetables on the chopping board with the knife in her right hand.,Cooking,Task Operation,Core task involving high hand activity with the knife.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,561.3192976213301,#C C removes sliced vegetables from the knife in her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of sliced vegetables from one hand to another.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,586.4678276213301,#C C drops the knife on the chopping board with her right hand.,Cooking,Object Transfer,Refined via regex fallback,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,592.69029762133,#C C picks up the knife from the chopping board with her right hand.,Cooking,Object Transfer,Logistics step of picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,709.0092476213301,#C C picks up the knife on the chopping board with her right hand.,Cooking,Object Transfer,Logistics step of picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,716.5854976213301,#C C separates the pieces of ginger with both hands on the chopping board.,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,796.8739176213301,#C C puts the stalk of celery in the colander under the tap with her right hand.,Cooking,Object Transfer,Logistics step involving picking up and placing the celery.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,815.32494762133,#C C breaks off a stalk of celery with her right hand.,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,843.0065476213301,#C C rinses the celery stalks with both hands under the tap.,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,880.5602176213301,#C C rinses the celery stalks in the colander with both hands.,Cooking,Task Operation,Core manual task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,895.9094776213301,#C C rinses a celery stalk with both hands.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,898.7727576213301,#C C cuts a part off a stalk of celery with both hands.,Cooking,Task Operation,Core manual task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,957.84296762133,#C C puts the bowl in a part of the sink with her right hand.,Cooking,Object Transfer,Logistics step involving the placement of an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,963.06230762133,#C C pulls off a thread from a celery stalk with her right hand.,Cooking,Essential Operation,Core manual task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,970.31529762133,#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.,Cooking,Task Operation,Core task involving precise hand movements and manipulation.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,986.53411762133,#C C cuts the celery stalks on the chopping board with the knife in her right hand.,Cooking,Task Operation,Core task involving repetitive hand movements.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,998.68079762133,#C C removes slices of celery from the knife in her right hand with her left hand.,Cooking,Object Transfer,"The action involves transferring slices of celery from one hand to another, which is a logistics step.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1002.86859762133,#C C cuts the celery stalks in her left hand on the chopping board with the knife in her right hand.,Cooking,Task Operation,Core task involving high hand activity with precise motions.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1052.59987762133,#C C adjusts the celery stalks in her left hand on the chopping board with the knife in her right hand.,Cooking,Essential Operation,"Core task involving manipulation with hands, likely preparing ingredients.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1057.80397762133,#C C takes the celery stalks from her right hand with her left hand.,Cooking,Object Transfer,Logistics step involving moving an object from one hand to another.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1069.5680422879966,#C C picks the knife from the chopping board with her right hand.,Cooking,Object Transfer,Logistics step of picking up the knife.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1094.4223522879963,#C C drops the celery stalk on the chopping board with her left hand.,Cooking,Object Transfer,"The action involves placing the celery stalk on the chopping board, which is part of the core manual task of preparing food.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1096.1085022879963,#C C walks towards a kitchen cabinet.,Cooking,Locomotion,"Body moving through space, involves walking.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1134.324504287997,#C C rinses the glass bowl under the tap with both hands.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1159.8938642879966,#C C puts celery stalks from the chopping board into the glass bowl with both hands.,Cooking,Object Transfer,Logistics step involving the transfer of celery stalks from one location to another.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1202.9735042879963,#C C lifts the food processor engine from the glass bowl to the counter top with her right hand.,Cooking,Object Transfer,"The action involves moving an object from one location to another, which is characteristic of logistics and setup steps.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1204.3906542879963,#C C lifts the lid of the glass bowl with her left hand.,Cooking,Object Transfer,"Action involves picking up an object (lifting the lid), which is a logistics step.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1341.8490942879966,#C C drops the glass bowl next to the food processor engine with her left hand.,Cooking,Object Transfer,"[CtxFixed] The action involves deliberately placing the glass bowl next to the food processor engine, which fits the criteria for Object Transfer.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1380.7201742879963,#C C holds the food processor bowl with her left hand.,Cooking,Stationary,"Low body/hand motion, holding an object in place.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1382.365834287997,#C C drops the food processor engine on the counter top with her right hand.,Cooking,Object Transfer,Refined via regex fallback,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1401.1164842879966,#C C touches the contents of the food processor bowl with her right hand.,Cooking,Stationary,"Low body/hand motion, likely inspecting texture or consistency.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1426.7674842879967,#C C drops the attachment on the counter top with her right hand.,Cooking,Object Transfer,Refined via regex fallback,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1445.0480542879966,#C C takes a spoon from the pot with her right hand.,Cooking,Object Transfer,Logistics action involving picking up an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1498.6059842879968,#C C lifts the food processor bowl with her left hand.,Cooking,Object Transfer,Logistics step involving picking up an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1515.4029942879963,#C C takes a spoon of salt from the salt jar in her left hand with her right hand.,Cooking,Object Transfer,Logistics step involving the transfer of an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1517.5768742879966,#C C puts the spoon of salt in the pot with her right hand.,Cooking,Object Transfer,Logistics step of placing the spoon in the pot.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1535.186264287997,#C C pours some soy sauce into the pot with her right hand.,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1576.6900742879966,#C C stirs the contents of the pot with the spoon in her right hand.,Cooking,Essential Operation,Core manual task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1615.0416589546633,#C C holds the pot with her left hand.,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,1723.5299009546634,#C C pours soy sauce from the bottle in her right hand into the spoon in her left hand.,Cooking,Object Transfer,Logistics step involving the transfer of soy sauce from one container to another.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1736.9776809546634,#C C holds the spoon inside the pot with her right hand.,Cooking,Stationary,"Low body/hand motion, holding an object without movement.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1801.2902209546633,#C C mixes the contents of the pot with the spoon in her right hand.,Cooking,Essential Operation,Core task involving repetitive hand movements.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1937.5064909546631,#C C shakes the water off the brush into the sink with her right hand.,Cooking,Essential Operation,"[CtxFixed] Shaking the water off the brush is a continuation of the cleaning process, which falls under the category of Essential Operation as it is a necessary step in maintaining hygiene and functionality of the brush.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1976.961960954664,#C C lifts the tray from the lower chamber of the steamer with her right hand.,Cooking,Object Transfer,"The action involves picking up an object, which is a logistics step.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,1985.935070954664,#C C removes the tray from the top chamber of the steamer in her left hand with her right hand.,Cooking,Object Transfer,Logistics step involving picking up and moving an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2043.861840954664,#C C picks the brush from the counter top with her left hand.,Cooking,Object Transfer,"Logistics/Setup step, picking up an object.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2064.9363909546632,#C C lifts the top chamber of the steamer with both hands.,Cooking,Object Transfer,Logistics action involving lifting an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2176.53668762133,#C C molds the dough in her hands.,Cooking,Task Operation,Core manual task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2204.89264762133,#C C drops the dough on the chopping board with both hands.,Cooking,Object Transfer,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2226.1182676213302,#C C touches her face with her left hand. #Unsure,Cooking,Stationary,"Low body/hand motion, brief touch action.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2274.3052276213302,#C C picks up a cut dough from the chopping board with her left hand.,Cooking,Object Transfer,Logistics step involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2276.61395762133,#C C flattens the cut dough on the chopping board with her left hand.,Cooking,Task Operation,Core manual task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2281.56884762133,#C C shapes the cut dough on the chopping board with her left hand.,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2312.5364476213304,#C C flattens out the dough in her left hand on the chopping board with the rolling pin in her right hand.,Cooking,Essential Operation,Core manual task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2326.9985176213304,#C C holds the flattened dough with both hands.,Cooking,Stationary,"Low body/hand motion, holding position.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2424.7124676213302,#C C lifts the pot on the dinning table with her right hand.,Cooking,Object Transfer,"The action involves picking up an object, which is a logistics step.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2430.10525762133,#C C flattens the dough in her left hand on the chopping board.,Cooking,Essential Operation,Core manual task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2445.8202576213303,#C C picks up a spoon from a plate with her right hand,Cooking,Object Transfer,Logistics step involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2447.28568762133,#C C scoops sauce from the plate with the spoon in her right hand,Cooking,Object Transfer,"The action involves picking up and transferring sauce, which is a logistics step.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2448.31020762133,#C C pours sauce on the dough with the spoon in her right hand,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2455.68467762133,#C C pours sauce on the dough with the spoon in her right hand,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2485.73756762133,#C C opens the plate with her left hand,Cooking,Object Transfer,Logistics/Setup step involving picking up or putting down an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2486.4550476213303,#C C drops the dough in the plate with her right hand,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2488.7777576213302,#C C adjusts the dough in the plate with her right hand,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2489.96459762133,#C C closes the plate with her left hand,Cooking,Object Transfer,"Closing an object, which is a logistics step.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2522.68325762133,#C C drops the spoon in the plate with her right hand,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2523.7156476213304,#C C shapes the dough with her right hand,Cooking,Essential Operation,"Core task involving manual shaping, high hand activity.",10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,2642.63346762133,#C C picks up the roller pin with her right hand,Cooking,Object Transfer,Logistics step involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2642.9980476213304,#C C presses the dough with her left hand,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2858.9776542879968,#C C drops the dough on the table with her right hand,Cooking,Object Transfer,"Logistics action of placing an object (dropping the dough), short burst of hand acceleration.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2864.3082342879966,#C C scoops dough from the bucket with her right hand,Cooking,Object Transfer,Logistics action involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2958.428654287997,#C C picks up a knife from the table with her right hand,Cooking,Object Transfer,Logistics step involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,2959.3390842879967,#C C drops the knife on the table with her right hand,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3014.1301142879965,#C C kneads the pieces of dough with her both hands,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3039.0921742879964,#C C drops the roller pin on the table with her right hand,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3046.663944287997,#C C scoops sauce from the plate with her right hand,Cooking,Object Transfer,Logistics step involving picking up and transferring an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3092.149794287997,#C C closes the plate with the cover in her left hand,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3108.9063442879965,#C C touches her mouth with her right hand,Cooking,Stationary,"Low body/hand motion, indicative of a brief, stationary action.",5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3122.6799242879965,#C C scoops sauce from the plate with her right hand,Cooking,Object Transfer,Movement involved in picking up and transferring the sauce.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3242.154118954664,#C C kneads the dough with the roller pin in her right hand,Cooking,Essential Operation,Core manual task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3262.318880954663,#C C puts the sauce on the dough with the spoon in her right hand,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3267.017140954663,#C C puts the sauce on the dough with the spoon in her right hand,Cooking,Task Operation,Core task involving high hand activity.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3335.131220954663,#C C drops the rolling pin on the table with her right hand,Cooking,Object Transfer,Refined via regex fallback,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3361.913650954663,#C C shapes the dough with right hand,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3391.6505509546632,#C C puts the dough inside the plate with her right hand,Cooking,Object Transfer,Logistics step involving moving an object (dough) to a location (plate).,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3414.483980954663,#C C scoops sauce from the plate with the spoon in her right hand,Cooking,Object Transfer,Logistics step involving picking up and moving an object.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3468.598150954663,#C C adjusts the pieces of dough in the plate with her right hand,Cooking,Essential Operation,Core task involving precise hand movements.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3483.826030954663,#C C adjusts the pieces of dough in a plate with her left hand,Cooking,Stationary,Adjusting the pieces of dough involves fine motor skills with minimal body movement.,10,r001,Gold
002d2729-df71-438d-8396-5895b349e8fd,3527.566930954663,#C C picks up a plate from the sink with her left hand,Cooking,Object Transfer,Logistics step involving picking up an object.,5,r002,Gold
002d2729-df71-438d-8396-5895b349e8fd,3542.138900954663,#C C washes the plate with the sponge in her right hand,Cooking,Essential Operation,Core task involving high hand activity.,10,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,5.10733,#C C picks a rag from the workbench with his right hand.,Mechanical Repair,Object Transfer,Logistics action of picking up an object.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,19.37658,#C C adjusts the engine body on the workbench with both hands,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.,6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,54.05055,#C C holds the engine body on the workbench with his left hand.,Mechanical Repair,Stationary,"Low body/hand motion, holding position.",6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,72.13605,#C C adjusts the bench vise handle with his left hand.,Mechanical Repair,Task Operation,Core manual task involving fine motor skills and hand manipulation.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,73.12878,#C C holds the engine body with his left hand.,Mechanical Repair,Stationary,"The action describes holding an object, which involves minimal movement and is essentially a static position.",6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,86.44813,#C C holds the engine body with his right hand.,Mechanical Repair,Stationary,"Low body/hand motion, holding an object in place.",6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,90.45933,#C C cleans both hands with the rag.,Mechanical Repair,Task Operation,Core task involving high hand activity.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,111.55727,#C C adjusts the steel angle bar with his left hand.,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,237.93183,#C C wipes the engine body with his left hand.,Mechanical Repair,Essential Operation,Core task involving high hand activity.,6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,414.69938,#C C adjusts a workbench vise handle with his left hand.,Mechanical Repair,Essential Operation,Core manual task involving high hand activity.,6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,416.90206,#C C holds the engine body in both hands.,Mechanical Repair,Stationary,"Holding an object in place, minimal movement.",9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,420.67829,#C C smoothens the engine body with the hydraulic compressor. #Unsure,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,436.05964,#C C adjusts the wire plug in the engine body with his right hand.,Mechanical Repair,Task Operation,"Core task involving precise manual adjustments, high hand activity.",9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,471.33638,#C C holds the wire plug with his left hand.,Mechanical Repair,Stationary,Holding an object with minimal movement.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,493.20951,#C C adjusts the wire plug with his left hand.,Mechanical Repair,Essential Operation,"Core manual task, high hand activity.",6,r001,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,501.76863,#C C applies glue to his right hand from the adhesive glue in his left hand.,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,504.7692,#C C applies glue around the wire plug with his right hand.,Mechanical Repair,Task Operation,"Core manual task, high hand activity.",9,r002,Gold
0066ab25-04ad-41b2-89ab-283d2bfa1c4b,512.33744,#C the man X walks towards C.,Mechanical Repair,Locomotion,Body moving through space (walking).,6,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,876.2393673123536,#C C presses the home button of the phone,Playing Instrument,Stationary,"Low body/hand motion, likely involves minimal movement.",12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1041.1114573123537,#C C holds the neck of the guitar,Playing Instrument,Stationary,"Low body/hand motion, preparing to play.",12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1134.754877144922,#C C moves hand away from the phone,Playing Instrument,Essential Operation,"The action describes a hand moving away from the phone, which is a low-energy movement.",12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1143.7212571449218,#C C adjusts the guitar's tuners,Playing Instrument,Task Operation,Core manual task involving fine hand movements.,10,r002,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1163.5470671449218,#C C taps on the phone's screen,Playing Instrument,Essential Operation,"Low body/hand motion, primarily finger movement.",12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1277.7864571449218,#C C swipes on the phone's screen,Playing Instrument,Essential Operation,The action involves minimal movement and is likely performed while the person is in a static position.,12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1555.77299721162,#C C puts the phone on his lap,Playing Instrument,Object Transfer,Putting the phone down is a setup action with low subsequent motion.,12,r001,Gold
0091e812-f56f-4bd9-ad65-019fc97c1ffe,1590.66350721162,#C C turns the phone,Playing Instrument,Essential Operation,"Low body/hand motion, likely involves minimal movement.",12,r001,Gold
01111831-9107-43c4-bf0e-6b26e9b32a2b,0.0210286,#C C conserves with a man X,Cleaning,Stationary,"Low body/hand motion, likely involves speaking.",11,r002,Gold
01111831-9107-43c4-bf0e-6b26e9b32a2b,104.4605386,#C C picks the shoes from the washing machine,Cleaning,Object Transfer,Logistics step involving picking up objects.,11,r002,Gold
