"action","annotation_id","annotator","batch","corrected_action","created_at","id","lead_time","narration_text","reasoning","round","scenario","status_main","status_secondary","timestamp_sec","updated_at","video_uid"
"Object Transfer",718,"3",2,"","2026-02-21T23:59:05.833706Z",1099276,8.626,"#C C drops the wire cutter on the shelve.","[CtxFixed] The action of dropping the wire cutter onto the shelf indicates a deliberate placement of the object, which fits the criteria for 'Object Transfer'.","r001","Carpentry","Gold","",186.7231796,"2026-02-21T23:59:05.833721Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",719,"3",2,"","2026-02-21T23:59:10.519782Z",1099277,3.598,"#C C cuts out some part of the plastic cord inside the cable with the wire cutter.","Core manual task involving high hand activity.","r001","Carpentry","Gold","",252.7664096,"2026-02-21T23:59:10.519807Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",720,"3",2,"","2026-02-21T23:59:17.856289Z",1099278,6.028,"#C C picks the plier on the shelve with his right hand.","Logistics step of picking up an object.","r001","Carpentry","Gold","",405.8567909546634,"2026-02-21T23:59:17.856312Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",721,"3",2,"Essential Operation","2026-02-21T23:59:28.571342Z",1099279,9.553,"#C C removes the network cable connector from the UTP cables with his left hand.","Logistics action involving picking up or removing an object.","r001","Carpentry","Bad","",530.3681509546634,"2026-02-21T23:59:28.571383Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",722,"3",2,"","2026-02-21T23:59:34.401312Z",1099280,4.867,"#C C drops the network cable connector on the shelve.","[CtxFixed] The action of dropping the network cable connector onto the shelf is a deliberate placement, which fits the criteria for 'Object Transfer'.","r001","Carpentry","Gold","",535.2361256213301,"2026-02-21T23:59:34.401351Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",723,"3",2,"","2026-02-21T23:59:41.296907Z",1099281,5.861,"#C C picks a crimping tool from the shelve with his right hand.","Logistics step of picking up an object.","r001","Carpentry","Gold","",560.7417452666667,"2026-02-21T23:59:41.296920Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",724,"3",2,"","2026-02-22T00:00:03.018812Z",1099282,20.751,"#C C crimps the network cable connector with the crimping tool.","Core task involving fine motor skills and high hand activity.","r001","Carpentry","Gold","",748.1571852666667,"2026-02-22T00:00:03.018827Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",725,"3",2,"","2026-02-22T00:00:11.474640Z",1099283,7.568,"#C C cuts out some part of a plastic cord inside the cable with the wire cutter.","Core manual task involving fine hand movements.","r001","Carpentry","Gold","",841.0996152666667,"2026-02-22T00:00:11.474664Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Stationary",746,"3",2,"Essential Operation","2026-02-22T00:05:51.241329Z",1099284,338.758,"#C C hooks the wire cutter to his trousers with his right hand. #Unsure","The action involves attaching an object to clothing with minimal body movement.","r001","Carpentry","Bad","",845.9867852666666,"2026-02-22T00:05:51.241352Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Stationary",747,"3",2,"Essential Operation","2026-02-22T00:06:00.804706Z",1099285,8.546,"#C C hooks the wire cutter to his trousers with his right hand. #Unsure","The action involves attaching an object to clothing, which is a brief and stationary motion with low energy.","r001","Carpentry","Bad","",935.3795152666668,"2026-02-22T00:06:00.804720Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",749,"3",2,"","2026-02-22T00:06:12.337724Z",1099286,9.133,"#C C picks three joined network cables on the floor with his right hand.","The action involves picking up objects, which is a logistics step.","r001","Carpentry","Gold","",960.6946552666668,"2026-02-22T00:06:12.337747Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",751,"3",2,"","2026-02-22T00:06:27.121280Z",1099287,5.245,"#C C drops the joined network cables on the floor .","Refined via regex fallback","r001","Carpentry","Gold","",962.6251352666668,"2026-02-22T00:06:27.121337Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",753,"3",2,"","2026-02-22T00:06:41.158136Z",1099288,12.894,"#C C connects the network table tester to the network cable with his right hand.","Core manual task involving high hand activity.","r001","Carpentry","Gold","",966.8110652666668,"2026-02-22T00:06:41.158150Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",754,"3",2,"","2026-02-22T00:06:47.375736Z",1099289,4.552,"#C C drops the network cable.","[CtxFixed] The action involves deliberately placing the network cable on a surface, which fits the definition of 'Object Transfer'.","r001","Carpentry","Gold","",968.0994052666668,"2026-02-22T00:06:47.375761Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",756,"3",2,"","2026-02-22T00:06:51.042554Z",1099290,2.606,"#C C picks the network cable on the wall with his left hand.","Logistics step involving picking up an object.","r001","Carpentry","Gold","",991.8133652666668,"2026-02-22T00:06:51.042588Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",757,"3",2,"","2026-02-22T00:06:55.931109Z",1099291,3.758,"#C C unplugs the network cable tester from the network cable with his left hand.","Logistics step involving the removal of an object (network cable tester).","r001","Carpentry","Gold","",994.3246952666668,"2026-02-22T00:06:55.931141Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",758,"3",2,"","2026-02-22T00:06:59.183242Z",1099292,2.192,"#C C picks a scissors from the floor with his right hand.","Logistics step involving picking up an object.","r001","Carpentry","Gold","",1080.3482042879966,"2026-02-22T00:06:59.183267Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",759,"3",2,"","2026-02-22T00:07:04.777423Z",1099293,4.417,"#C C peels the wire with his left hand.","Core task involving high hand activity.","r001","Carpentry","Gold","",1130.2854742879963,"2026-02-22T00:07:04.777455Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Object Transfer",760,"3",2,"","2026-02-22T00:07:08.132082Z",1099294,2.54,"#C C picks the cable hold from the shelf.","Logistics action involving picking up an object.","r001","Carpentry","Gold","",1174.9897142879963,"2026-02-22T00:07:08.132095Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Stationary",761,"3",2,"","2026-02-22T00:07:14.583315Z",1099295,5.405,"#C C touches his camera. #Unsure","Low body/hand motion, likely a momentary action.","r001","Carpentry","Gold","",1218.2142842879966,"2026-02-22T00:07:14.583336Z","0377792b-7b1e-4d67-86fd-f50c9257ea85"
"Essential Operation",762,"3",2,"","2026-02-22T00:07:19.257109Z",1099296,3.81,"#C C Scrubs the ceiling board","Core manual task involving high hand activity.","r001","Mechanical Repair","Gold","",192.7396086,"2026-02-22T00:07:19.257123Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Locomotion",763,"3",2,"","2026-02-22T00:07:23.179288Z",1099297,2.989,"#C C Walks to the wash room","Body moving through space, high body acceleration.","r001","Mechanical Repair","Gold","",276.4040886,"2026-02-22T00:07:23.179304Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",764,"3",2,"","2026-02-22T00:07:27.964440Z",1099298,3.982,"#C C Stirs the paint","Core task involving high hand activity.","r001","Mechanical Repair","Gold","",377.3150085331248,"2026-02-22T00:07:27.964454Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Object Transfer",849,"3",2,"","2026-02-22T00:23:41.547574Z",1099299,70.544,"#C C Moves the paint closer","Moving an object from one place to another.","r001","Mechanical Repair","Gold","",392.9506785331248,"2026-02-22T00:23:41.547598Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",853,"3",2,"","2026-02-22T00:23:54.018899Z",1099300,6.043,"#C C Paints the wall edge","Core manual task involving high hand activity.","r001","Mechanical Repair","Gold","",461.9646785331248,"2026-02-22T00:23:54.018923Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",855,"3",2,"","2026-02-22T00:23:59.812097Z",1099301,4.498,"#C C Scoops the paint from painting container with paint brush","Core task involving high hand activity.","r001","Mechanical Repair","Gold","",597.778747613672,"2026-02-22T00:23:59.812112Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Search",856,"3",2,"","2026-02-22T00:24:04.733510Z",1099302,3.911,"#C C looks around","Indicates visual search or monitoring with minimal body movement.","r001","Mechanical Repair","Gold","",746.587197613672,"2026-02-22T00:24:04.733535Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Search",857,"3",2,"","2026-02-22T00:24:07.682590Z",1099303,1.701,"#C C looks around","Head movement (visual search), hands mostly still.","r001","Mechanical Repair","Gold","",777.6530476136719,"2026-02-22T00:24:07.682605Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",859,"3",2,"","2026-02-22T00:24:11.172444Z",1099304,2.456,"#C C dips the brush in the paint","Core task involving high hand activity.","r001","Mechanical Repair","Gold","",813.005287613672,"2026-02-22T00:24:11.172474Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",862,"3",2,"","2026-02-22T00:24:20.028891Z",1099305,7.866,"#C C Removes the paint on the painting container","Core task involving manual operation, high hand activity.","r001","Mechanical Repair","Gold","",1132.3337016989583,"2026-02-22T00:24:20.028907Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Object Transfer",865,"3",2,"","2026-02-22T00:24:23.902605Z",1099306,2.704,"#C C Exchanges the paintbrush to the right hand","The action involves transferring the paintbrush to the right hand, which is a logistics step.","r001","Mechanical Repair","Gold","",1275.2486716989583,"2026-02-22T00:24:23.902629Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Object Transfer",866,"3",2,"","2026-02-22T00:24:27.503325Z",1099307,2.609,"#C C Exchanges the paintbrush to the left hand","Logistics step involving the transfer of an object (paintbrush) between hands.","r001","Mechanical Repair","Gold","",1325.8245616989584,"2026-02-22T00:24:27.503340Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",868,"3",2,"","2026-02-22T00:24:32.024905Z",1099308,2.33,"#C C Paints the ceiling board with paintbrush","Core task involving manual activity with the hand, likely resulting in high hand acceleration.","r001","Mechanical Repair","Gold","",1444.460731311125,"2026-02-22T00:24:32.024940Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Stationary",869,"3",2,"","2026-02-22T00:24:36.813401Z",1099309,3.406,"#C C Touhes the mobilephone with right hand","The action involves touching an object with one hand, which is likely to be a low-energy, stationary activity.","r001","Mechanical Repair","Gold","",1608.6700346444586,"2026-02-22T00:24:36.813415Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Locomotion",870,"3",2,"","2026-02-22T00:24:39.506783Z",1099310,1.698,"#C C walks in the house","Body moving through space (walking).","r001","Mechanical Repair","Gold","",1664.8035547035156,"2026-02-22T00:24:39.506807Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Essential Operation",908,"3",2,"","2026-02-22T00:29:38.892832Z",1099311,297.803,"#C C dips the paint brush in the paint","Core manual task involving high hand activity.","r001","Mechanical Repair","Gold","",1739.7073447035154,"2026-02-22T00:29:38.892847Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Locomotion",917,"3",2,"","2026-02-22T00:30:48.633028Z",1099312,43.722,"#C C walks in the washroom","Body moving through space.","r001","Mechanical Repair","Gold","",1780.4783047035155,"2026-02-22T00:30:56.969506Z","0b22b43c-f57e-4f4f-8840-3ca0bf086b9c"
"Stationary",922,"3",2,"","2026-02-22T00:32:06.305999Z",1099313,6.805,"#C C lifts #unsure","Unclear action, possibly a preparatory or idle moment with low energy.","r001","Cooking","","Delete Row",45.2513786,"2026-02-22T00:32:06.306014Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",926,"3",2,"","2026-02-22T00:32:34.547862Z",1099314,19.591,"#C C closes the freezer","Closing an object, which is a logistics action.","r001","Cooking","Gold","",48.3861386,"2026-02-22T00:32:34.547876Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Search",930,"3",2,"","2026-02-22T00:32:44.795398Z",1099315,6.883,"#C C looks around the kitchen","Head movement (visual search), hands mostly still.","r001","Cooking","Gold","",49.8730486,"2026-02-22T00:32:44.795412Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Locomotion",931,"3",2,"","2026-02-22T00:32:50.252477Z",1099316,4.044,"#C C moves around the kitchen","Movement through space, likely involving walking or moving around the kitchen.","r001","Cooking","Gold","",57.9361786,"2026-02-22T00:32:50.252491Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",932,"3",2,"","2026-02-22T00:32:54.603325Z",1099317,3.476,"#C C places the colander in the cabinet","Logistics step involving placing an object.","r001","Cooking","Gold","",152.79578859999998,"2026-02-22T00:32:54.603341Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",933,"3",2,"","2026-02-22T00:33:01.781575Z",1099318,6.444,"#C C closes the utensils","Closing an object involves picking up and putting down items, which is a logistics action.","r001","Cooking","Gold","",210.0397386,"2026-02-22T00:33:01.781601Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",935,"3",2,"","2026-02-22T00:33:17.074106Z",1099319,8.597,"#O A man Y holds the phone","Holding an object with minimal movement.","r001","Cooking","","",244.5704486,"2026-02-22T00:33:17.074120Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Locomotion",936,"3",2,"","2026-02-22T00:33:22.638542Z",1099320,3.545,"#C C moves around the kitchen","Body moving through space, likely involves walking or moving around the kitchen.","r001","Cooking","","",262.6705286,"2026-02-22T00:33:22.638575Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",938,"3",2,"","2026-02-22T00:33:46.763803Z",1099321,13.302,"#C C turns off the tap with her left hand.","Logistics step, turning off the tap involves a specific action to complete a task.","r001","Cooking","","Delete Row",324.7129319791667,"2026-02-22T00:33:46.763827Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Locomotion",941,"3",2,"","2026-02-22T00:34:08.315326Z",1099322,18.611,"#C C pulls a plate rack under the slab with her left hand. #unsure","The action involves moving a physical object (plate rack) through space, which suggests body movement and possibly some acceleration.","r001","Cooking","","Delete Row",326.16077197916667,"2026-02-22T00:34:08.315342Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",942,"3",2,"","2026-02-22T00:34:20.747022Z",1099323,10.598,"#C C picks a plate from the slab with her right hand. #unsure","Logistics action of picking up an object.","r001","Cooking","Gold","",374.04872197916666,"2026-02-22T00:34:20.747046Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Locomotion",943,"3",2,"","2026-02-22T00:34:30.168742Z",1099324,4.078,"#C C walks towards the sink.","Body moving through space (walking).","r001","Cooking","Gold","",374.8235619791667,"2026-02-22T00:34:30.168765Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",944,"3",2,"Essential Operation","2026-02-22T00:34:41.206527Z",1099325,9.211,"#C C turns on the tap with her right hand.","Turning on the tap is a logistics step involving a specific action with the hand.","r001","Cooking","Bad","",459.5610219791667,"2026-02-22T00:34:41.206560Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",945,"3",2,"Essential Operation","2026-02-22T00:34:49.742575Z",1099326,6.15,"#C C turns on the tap with her left hand.","Turning on the tap is a logistics step involving a specific action with the hand.","r001","Cooking","Bad","",523.2980319791667,"2026-02-22T00:34:49.742599Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",946,"3",2,"","2026-02-22T00:35:04.793209Z",1099327,13.027,"#O A lady X scoops flour from the container","Logistics action involving picking up and transferring flour.","r001","Cooking","Gold","",761.2544309546635,"2026-02-22T00:35:04.793240Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",947,"3",2,"","2026-02-22T00:35:08.425661Z",1099328,2.256,"#C C speaks to child Z.","Low body/hand motion during speaking.","r001","Cooking","Gold","",1122.3589442879968,"2026-02-22T00:35:08.425675Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",948,"3",2,"","2026-02-22T00:35:13.821487Z",1099329,4.547,"#C C speaks to child Z.","Low body/hand motion.","r001","Cooking","Gold","",1182.1465542879969,"2026-02-22T00:35:13.821502Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Object Transfer",950,"3",2,"","2026-02-22T00:35:29.194563Z",1099330,14.409,"#C C puts the dough on the counter.","Logistics step of moving the dough from one location to another.","r001","Cooking","Gold","",1258.6111242879967,"2026-02-22T00:35:29.194578Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",953,"3",2,"","2026-02-22T00:35:32.913217Z",1099331,2.776,"#C C sings.","Low body/hand motion, singing is a stationary activity.","r001","Cooking","Gold","",1269.5761742879968,"2026-02-22T00:35:32.913233Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Stationary",956,"3",2,"","2026-02-22T00:35:36.758195Z",1099332,2.903,"#C C speaks to child Z.","Low body/hand motion, speaking activity.","r001","Cooking","Gold","",1317.9752742879966,"2026-02-22T00:35:36.758227Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Essential Operation",959,"3",2,"","2026-02-22T00:35:41.061915Z",1099333,3.497,"#C C prepares dough.","Core task involving manual manipulation, high hand activity.","r001","Cooking","Gold","",1374.6009142879966,"2026-02-22T00:35:41.061929Z","0b703793-134a-4889-bc40-c19328d8f7cd"
"Essential Operation",960,"3",2,"","2026-02-22T00:35:48.441833Z",1099334,8.574,"#C C rolls the dough on the counter.","Core task involving manual manipulation, high hand activity.","r001","Cooking","Gold","",1424.720844287997,"2026-02-22T00:35:54.073926Z","0b703793-134a-4889-bc40-c19328d8f7cd"
