video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,Status,inner_id,secondary_action
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,852.2383582339817,#C C Walks to the washroom,Mechanical Repair,Locomotion,"Body moving through space, high body acceleration.",1,r002,walks to washroom,4,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,1077.1227516989584,#C C Scoops the paint from painting container with paintbrush,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,1,r002,scoops paint from painting container with paintbrush,17,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,1081.4913716989583,#C C Paints on the edges of the wall,Mechanical Repair,Task Operation,Core task involving high hand activity.,1,r002,paints on edges of wall,18,no,,no,0,0,0.0,Gold,,
0b22b43c-f57e-4f4f-8840-3ca0bf086b9c,1365.3475713111252,#C C Paints the edge wall with paintbrush,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,1,r002,paints edge wall with paintbrush,4,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,154.43378,#C C dips #unsure in tube rack,Walking Outdoors,Object Transfer,"[CtxFixed] The current action involves dipping an object (presumably a container or a tool) into a tube rack, which is a deliberate movement involving the transfer of an object.",1,r002,dips in tube rack,3,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,171.27604,#C C puts liquid in tube,Walking Outdoors,Task Operation,Core manual task involving precise hand movements.,1,r002,puts liquid in tube,7,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,251.55604,#C C takes liquid from bottle,Walking Outdoors,Task Operation,"Core manual task involving the hands, such as pouring liquid.",1,r002,takes liquid from bottle,4,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,402.81319,#C C opens tube,Walking Outdoors,Object Transfer,Logistics action of opening an object.,1,r002,opens tube,9,yes,watchlist_verb,yes,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,614.1113133333333,#C C throws tissue in bin,Walking Outdoors,Object Transfer,"The action involves picking up and disposing of an object, which is a logistics step.",1,r002,throws tissue in bin,4,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,1115.3134566666668,#C C puts measuring tube aside,Walking Outdoors,Object Transfer,"The action involves placing an object (measuring tube) down, which is a logistics step.",1,r002,puts measuring tube aside,4,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,1548.0165966666666,#C C takes liquid from tube,Walking Outdoors,Task Operation,Core task involving manual operation with hands.,1,r002,takes liquid from tube,9,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,1565.4391366666666,#C C puts liquid in glass,Walking Outdoors,Task Operation,"Core manual task involving pouring liquid, high hand activity.",1,r002,puts liquid in glass,14,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,1636.45533,#C C takes liquid from test tube,Walking Outdoors,Task Operation,Core manual task involving fine motor skills.,1,r002,takes liquid from test tube,4,no,,no,0,0,0.0,Gold,,
0e417ecf-8900-484b-bfb3-ccafef9a185b,1684.52158,#C C takes container from fridge,Walking Outdoors,Object Transfer,Logistics step of picking up and transferring an object.,1,r002,takes container from fridge,6,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,-0.044819399999999,#C C drops the bottle of alcohol on the table.,Cleaning,Object Transfer,Refined via regex fallback,1,r002,drops bottle of alcohol on table,4,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,7.988020600000001,#C C lifts the camera from the table.,Cleaning,Object Transfer,Logistics step involving picking up an object.,1,r002,lifts camera from table,5,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,52.0815406,#C C picks the cotton wool on the table with his right hand.,Cleaning,Object Transfer,Logistics step involving picking up an object.,1,r002,picks cotton wool on table with his right hand,5,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,76.5656506,#C C holds the camera with his hands.,Cleaning,Stationary,"Low body/hand motion, holding an object without movement.",1,r002,holds camera with his hands,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,116.0959406,#C C places the camera on the table.,Cleaning,Object Transfer,"Logistics step (placing an object), short bursts of hand acceleration.",1,r002,places camera on table,6,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,129.9795106,#C C cleans the camera with the brush,Cleaning,Task Operation,Core manual task involving fine motor skills.,1,r002,cleans camera with brush,3,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,141.9853206,#C C drops the brush on the table.,Cleaning,Object Transfer,Refined via regex fallback,1,r002,drops brush on table,6,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,256.3009706,#C C drops the cotton bud on the table.,Cleaning,Object Transfer,Refined via regex fallback,1,r002,drops cotton bud on table,4,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,309.2887853125,#C C drops the cotton wool in his right hand on a table. #unsure,Cleaning,Object Transfer,"The action involves placing an object (dropping cotton wool) on a surface, which is a logistics step.",1,r002,drops cotton wool in his right hand on table,3,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,620.891731432255,#C C holds a camera with his left hand,Cleaning,Stationary,"Low body/hand motion, holding an object without moving.",1,r002,holds camera with his left hand,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,628.346831432255,#C C drops the cleaning brush in his right hand on a table.,Cleaning,Object Transfer,"The action involves placing an object (dropping the brush), which is a logistics step.",1,r002,drops cleaning brush in his right hand on table,5,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,663.371471432255,#C C picks a cleaning brush on the table with his right hand,Cleaning,Object Transfer,Logistics step of picking up an object.,1,r002,picks cleaning brush on table with his right hand,4,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,684.456211432255,#C C picks a cleaning wipe on the table with his right hand.,Cleaning,Object Transfer,Logistics step involving picking up an object.,1,r002,picks cleaning wipe on table with his right hand,3,no,,no,0,0,0.0,Gold,,
111ee12a-6af2-4bfc-8586-e706568fd078,743.430311432255,#C C cleans the camera with a cleaning wipe in his right hand.,Cleaning,Task Operation,Core manual task involving high hand activity.,1,r002,cleans camera with cleaning wipe in his right hand,4,no,,no,0,0,0.0,Gold,,
1a79947a-72c2-4186-b2b2-463640e00b23,434.3416609546634,#C C press's the keyboard button,Desk Work,Task Operation,Core manual task involving high hand activity.,1,r002,press s keyboard button,5,no,,no,0,0,0.0,Gold,,Stationary
1a79947a-72c2-4186-b2b2-463640e00b23,601.0260709546634,#C C moves his fingers,Desk Work,Task Operation,"Core manual task, likely typing or similar fine motor activity.",1,r002,moves his fingers,7,yes,watchlist_verb,yes,0,0,0.0,Gold,,Stationary
1a79947a-72c2-4186-b2b2-463640e00b23,825.8398909546634,#C C write on the book,Desk Work,Task Operation,Core manual task involving high hand activity.,1,r002,write on book,14,no,,no,0,0,0.0,Gold,,Stationary
1b9c07d3-0656-48ad-bae4-cca25f6664c9,368.2540138199192,#C C puts #Unsure on the wall cabinet,Mechanical Repair,Object Transfer,Logistics step involving placing an object.,1,r002,puts on wall cabinet,6,no,,no,0,0,0.0,Gold,,
1b9c07d3-0656-48ad-bae4-cca25f6664c9,376.4972338199192,#C C closes the wall cabinet,Mechanical Repair,Object Transfer,Closing a cabinet involves the logistics of moving and positioning the cabinet door.,1,r002,closes wall cabinet,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1b9c07d3-0656-48ad-bae4-cca25f6664c9,443.2386538199193,#C C picks #Unsure from the kitchen shelf,Mechanical Repair,Object Transfer,Logistics step of picking up an object.,1,r002,picks from kitchen shelf,3,no,,no,0,0,0.0,Gold,,
1b9c07d3-0656-48ad-bae4-cca25f6664c9,559.9051321677084,#C C picks #Unsure from a basket,Mechanical Repair,Object Transfer,"Logistics step, picking up an object.",1,r002,picks from basket,9,no,,no,0,0,0.0,Gold,,
1b9c07d3-0656-48ad-bae4-cca25f6664c9,566.6257221677084,#C C puts #Unsure on a basket,Mechanical Repair,Object Transfer,"Logistics step, moving an object to a location.",1,r002,puts on basket,4,no,,no,0,0,0.0,Gold,,
1bc1f5e9-9d74-4a07-9d1b-39e5410436b6,129.8318296,#C C drops the driller on the floor,Carpentry,Object Transfer,Refined via regex fallback,1,r002,drops driller on floor,7,no,,no,0,0,0.0,Gold,,
1bc1f5e9-9d74-4a07-9d1b-39e5410436b6,160.1958696,#C C drills the wall with the driller,Carpentry,Task Operation,Core manual task involving high hand activity.,1,r002,drills wall with driller,7,no,,no,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,86.89341526666666,#O man Y rides a bicycle,Cooking,Locomotion,"Body moving through space (riding a bicycle), high body acceleration.",1,r002,man y rides bicycle,3,no,,no,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,126.59328526666668,#C C takes a turn on the road,Cooking,Locomotion,Body moving through space (taking a turn while walking or driving).,1,r002,takes turn on road,4,no,,no,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,474.36846526666665,#C C touches the wheel,Cooking,Stationary,"Low body/hand motion, likely involves minimal physical activity.",1,r002,touches wheel,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,741.7427752666666,#C C takes printing paper,Cooking,Object Transfer,"Logistics/Setup step, picking up an item.",1,r002,takes printing paper,4,no,,no,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,743.1917852666666,#C C puts the printing paper on the printing machine,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,1,r002,puts printing paper on printing machine,4,no,,no,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,921.3384752666666,#C C holds the papers with both hands,Cooking,Stationary,"Low body/hand motion, holding papers.",1,r002,holds papers with both hands,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,1631.6445852666666,#C C picks the bicycle,Cooking,Object Transfer,Logistics step involving picking up an object.,1,r002,picks bicycle,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,276.2536252666667,#C C picks a knife in the drawer,Cooking,Object Transfer,Logistics/Setup step involving picking up an object.,1,r002,picks knife in drawer,3,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,421.0876552666667,#C C picks the vegetables from the bowl,Cooking,Object Transfer,Logistics step involving picking up objects.,1,r002,picks vegetables from bowl,3,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,625.2841152666667,#C C opens a cooking oil bottle,Cooking,Object Transfer,"Logistics/Setup step, short burst of hand activity.",1,r002,opens cooking oil bottle,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,849.7541852666667,#C C pours #unsure in the plate,Cooking,Task Operation,Core task involving high hand activity.,1,r002,pours in plate,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,881.1839452666667,#C C closes the cabinetry,Cooking,Object Transfer,Logistics step involving closing a cabinet.,1,r002,closes cabinetry,4,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1425.1070052666666,#C C Puts the #unsure together,Cooking,Object Transfer,Logistics step involving the placement or assembly of items.,1,r002,puts together,5,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1468.9169352666663,#C C Walks toward the sink,Cooking,Locomotion,Body moving through space (walking).,1,r002,walks toward sink,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1481.694805266667,#C C Puts the #unsure in the blender,Cooking,Object Transfer,Logistics step of placing an item in a container.,1,r002,puts in blender,7,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1492.6495152666666,#C C Puts the cup on the counter top,Cooking,Object Transfer,Logistics step involving picking up and putting down an object.,1,r002,puts cup on counter top,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1644.7534419333333,#C C picks up spoons,Cooking,Object Transfer,Logistics step involving picking up objects.,1,r002,picks up spoons,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1681.8298419333332,#C C places down a spoon,Cooking,Object Transfer,Logistics step of placing down an object.,1,r002,places down spoon,5,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1688.0760519333332,#C C places down a lid,Cooking,Object Transfer,Logistics step of placing an object down.,1,r002,places down lid,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1933.7919119333333,#O A man G speaks to C.,Cooking,Stationary,"Low body/hand motion, speaking involves minimal physical activity.",1,r002,man g speaks to,10,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,1967.2188119333327,#C C stands at the dinning table.,Cooking,Stationary,"Low body/hand motion, standing still.",1,r002,stands at dinning table,5,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,2479.6634619333336,#C C watches cartoon on television,Cooking,Stationary,"Low body/hand motion, focused attention.",1,r002,watches cartoon on television,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,3277.0361319333333,#C C watches television with man Q,Cooking,Stationary,"Low body/hand motion, likely involves sitting and watching.",1,r002,watches television with man q,7,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,3320.9340519333336,#O man Q converses with C,Cooking,Stationary,"Low body/hand motion, likely involves speaking.",1,r002,man q converses with,7,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,4368.647941933334,#C C Puts a jug in the cabinet,Cooking,Object Transfer,Logistics step involving the placement of an object.,1,r002,puts jug in cabinet,4,no,,no,0,0,0.0,Gold,,
1ce16a97-f614-4660-b21c-4205b33c8bab,4480.744191933333,#C C Puts a plant in a tin,Cooking,Object Transfer,Logistics step involving moving an object from one place to another.,1,r002,puts plant in tin,4,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,177.4269952666667,#C C Puts down a mug on a table,Cooking,Object Transfer,Logistics step involving placing an object.,1,r002,puts down mug on table,4,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,498.2641352666666,#C C drops plate in the sink.,Cooking,Object Transfer,Refined via regex fallback,1,r002,drops plate in sink,7,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,516.7266252666667,#C C drops bowl in the sink.,Cooking,Object Transfer,Refined via regex fallback,1,r002,drops bowl in sink,9,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,529.0060652666667,#C C drops glass in the sink.,Cooking,Object Transfer,Refined via regex fallback,1,r002,drops glass in sink,4,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,610.2555152666667,#C C touches phone with the left hand,Cooking,Stationary,"Low body/hand motion, likely involves minimal movement.",1,r002,touches phone with left hand,5,yes,watchlist_verb,yes,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,613.0406052666667,#C C scrubs knife,Cooking,Task Operation,Core task involving high hand activity.,1,r002,scrubs knife,5,no,,no,0,0,0.0,Gold,,
1d3ef460-0afc-4d50-9701-48204c907b43,646.3744352666668,#C C places plate on the sink top,Cooking,Object Transfer,Logistics step involving picking up and placing an object.,1,r002,places plate on sink top,5,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,11.0280386,#O man C converses with C.,Cooking,Stationary,"Low body/hand motion, indicative of speaking.",1,r002,man converses with,11,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,22.206698600000003,#C C converses with man D.,Cooking,Stationary,Low body/hand motion during conversation.,1,r002,converses with man d,52,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,44.9788086,#C C picks up the vegetable,Cooking,Object Transfer,"Logistics step, picking up an object.",1,r002,picks up vegetable,3,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,132.5608686,#C C cuts the paper with the knife.,Cooking,Task Operation,Core task involving high hand activity.,1,r002,cuts paper with knife,3,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,345.0476896889062,#O A lady D steps forward.,Cooking,Locomotion,"Movement of the body through space, indicative of walking or stepping.",1,r002,lady d steps forward,4,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,499.1611096889062,#C C picks the onion piece.,Cooking,Object Transfer,Logistics step involving picking up an object.,1,r002,picks onion piece,7,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,705.6037221677084,#C C puts the jar down.,Cooking,Object Transfer,Logistics/Setup step.,1,r002,puts jar down,4,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,833.5600737342527,#C C picks up the spice,Cooking,Object Transfer,Logistics step involving picking up an object.,1,r002,picks up spice,5,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,852.2920137342526,#C C stirs the onion.,Cooking,Task Operation,Core manual task involving high hand activity.,1,r002,stirs onion,16,no,,no,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,954.1185937342526,#C C open the drawer,Cooking,Object Transfer,Logistics/Setup step.,1,r002,open drawer,6,yes,watchlist_verb,yes,0,0,0.0,Gold,,
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,992.5070037342526,#C C opens the spice can.,Cooking,Object Transfer,Logistics/Setup step (opening an object).,1,r002,opens spice can,3,yes,watchlist_verb,yes,0,0,0.0,Gold,,
