video_uid,scenario,split
18c05110-1ef1-4da2-8b59-c80bf0cc9751,Playing Instrument,train
18c12e08-e269-4ba7-bb5c-095bcaf0537c,Cleaning,train
18e08efb-e95e-49cb-bc89-d7695d3a2ab9,Cleaning,test
18edc157-d1d7-4ad6-bfb9-355c14560a65,Cleaning,train
18f5c2be-cb79-46fa-8ff1-e03b7e26c986,Cooking,train
18fc3782-9929-4df3-b6c9-40943de4c22d,Mechanical Repair,train
196e0e8c-f29f-48de-8e1e-ce52c2e76641,Cooking,test
19a49df1-db3f-45d7-92f4-d965ee20edb7,Cleaning,test
19b066ae-77ed-4930-8d0b-2316cd2b5edd,Desk Work,train
1a79947a-72c2-4186-b2b2-463640e00b23,Desk Work,train
1a7e6155-3613-4f55-865c-00e196db0da0,Cooking,train
1a89d7f1-fb77-4aef-a97a-d3d54756a9df,Playing Instrument,multi
1aa9115a-ed78-43aa-a084-3fa62ec69e14,Gardening,train
1b204c9b-30da-47cc-b793-8813169e72c7,Cooking,train
1b21ee39-9ed2-4684-96aa-ffa9a7855f3d,Carpentry,train
1b2f838a-ff28-4e8f-84db-bb46a163eb50,Playing Instrument,train
1b3c0015-a687-4237-abb5-cde1bfd1e85f,Walking Outdoors,train
1b5302f6-b90b-4c48-9eae-164fb7d6b44c,Walking Outdoors,train
1b8ae0ff-b6e8-422a-8c79-c0d6017042e5,Walking Outdoors,train
1b9c07d3-0656-48ad-bae4-cca25f6664c9,Mechanical Repair,multi
1bc1f5e9-9d74-4a07-9d1b-39e5410436b6,Carpentry,multi
1bd3bcfc-c168-43d3-9935-f02e08a55fde,Mechanical Repair,train
1bec800a-c3cf-431f-bf0a-7632ad53bcb7,Cooking,train
1bfe5ac2-cbf8-4364-8a30-60d97dd395df,Cleaning,train
1c795a0e-e718-466f-8bee-46febdc2b17a,Cooking,train
1c95c300-cc46-4e5f-8d81-ffe3b54bd186,Desk Work,train
1cc9c902-adfc-47c0-bf90-76619deedaad,Desk Work,train
1cccdb19-2eb3-4ab7-ab74-58c9b425a68c,Cleaning,test
1ce16a97-f614-4660-b21c-4205b33c8bab,Cooking,train
1d3ef460-0afc-4d50-9701-48204c907b43,Cooking,train
1d6443e5-4ebb-4ccd-b5f3-3b7529376098,Desk Work,train
1d7cd66c-4924-4044-af0a-1ce0130c0b60,Cleaning,train
1d9c3ad1-e00a-4ec5-8da9-734cbac7f316,Mechanical Repair,train
1da50887-dd33-4644-9377-1bf855b86ffd,Desk Work,multi
1def75d5-bd39-4638-8b3d-a4e1c2ceefeb,Cooking,train
1e175348-39e1-4c14-8d3b-affd189eab21,Walking Outdoors,train
1e1f9480-f15b-42e3-9948-08ff3f71e8ce,Carpentry,test
1e5ca2af-3f1b-40d5-b3a7-d712ac4b5065,Cooking,train
1e5cd1c1-7023-4800-b743-16a9c2753ac2,Desk Work,train
1ea5b82f-85ab-4b05-8c55-9cc9ce9b542a,Mechanical Repair,val
1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,Cooking,train
1eb500cd-cdb4-415e-8bf6-cc1289edf0ee,Mechanical Repair,train
1ebbf490-8a85-46b9-99c9-cd0f7e3b634b,Walking Outdoors,train
1eea73ff-1781-4a36-9f81-1caf078f9d8b,Desk Work,train
1f82557c-77a2-4245-a66d-5b3ee95a2670,Walking Outdoors,train
1f84d80d-6f8d-4e40-aabb-b33aad3ba594,Gardening,val
1fae6ecb-2ad9-4160-b388-c34e7d018915,Cooking,multi
1fb7b18b-03a7-4a3a-a795-a2da80be3c56,Carpentry,train
200a8f32-c44a-463d-ba39-0190a0bddf7a,Gardening,multi
20400762-1e47-462d-a7d1-64a1b162b1f9,Mechanical Repair,val
206cef4f-5301-4a9e-8f87-1fa3905bf9bd,Cooking,train
2090d1c2-8308-4966-b903-e860b498f4e3,Playing Instrument,test
20aef6e8-db69-4b84-910f-e8d90657cc1c,Cleaning,train
20b96ca4-67e5-41e9-87b6-6683bd641df4,Desk Work,train
20f345f7-d592-4d52-851f-3ee4544a847d,Mechanical Repair,multi
21247536-db56-454f-8781-133fbfabe60b,Cooking,train
214ea47c-afe7-4fa5-a914-8d7f659a2ff8,Cleaning,train
21abd7c0-2527-487a-a249-36d47408bae0,Cleaning,train
21b5bc5a-506f-4f60-a4b9-36e7917908a2,Walking Outdoors,train
2203106f-3b92-4487-8397-9085648f82fc,Desk Work,train
223a838a-385b-46c8-b750-b590580e6cab,Cooking,val
225a1ffe-3e7e-4ff8-a47e-2e80989077fe,Mechanical Repair,val
226397c1-fc61-40bc-8d90-02a2c27ff864,Playing Instrument,train
227165a6-277b-451c-bcda-1d2cf60577ab,Cooking,test
228eb02a-6c89-4aa0-9cd4-0cdab1550c83,Cooking,val
22a3ba4e-c70d-4905-b40f-f8dcfcee5835,Carpentry,train
22a52738-38af-48ec-9d82-02056da79403,Carpentry,train
22d198c2-4057-47b7-978f-90a1599c5980,Cooking,test
23910a31-45bb-4c41-9b74-91ba2bb8be60,Carpentry,train
23a1b043-771f-4769-916a-34163f2ea2ef,Mechanical Repair,test
23d27284-5421-4913-baba-b660fadd1920,Cleaning,test
23e0af07-6932-4ccf-8551-3a720d141b89,Playing Instrument,multi
23eeced2-6067-4379-9ebd-9e263d8171ef,Desk Work,train
245fbc91-5ffa-40f9-ac2d-4008ac8b1dd6,Desk Work,train
24750088-4716-4e6e-85ea-6ecb3bd14eb6,Desk Work,test
24902050-6f9d-42bc-aa7d-ecf468d89eef,Carpentry,train
24a02211-4687-49eb-b1e3-cf325e0629e7,Desk Work,train
24b995e8-9150-43be-953c-f96959c151b5,Mechanical Repair,val
24dbb9f7-82c9-4147-97c7-fb0e0cb94a90,Cleaning,train
25207f6d-f2d5-41be-bd41-3ffcdce76a94,Playing Instrument,train
254029e5-fed4-40a7-bef1-12b9faff3202,Walking Outdoors,val
254e8485-eb84-461a-aed5-a71716588fad,Cooking,train
256701cd-3317-47ee-b6e3-439dc2ad2bd5,Cleaning,val
25ade38d-3e6b-4aa1-851d-7fbf791201c0,Walking Outdoors,train
25b2f1d5-7266-401c-bdfa-32944607f564,Mechanical Repair,multi
25c59c93-11c5-4240-bbc3-c4dc74e6620c,Cleaning,train
25eca07b-a5e2-433e-b7c0-24b5d8e153de,Mechanical Repair,multi
26054ab4-4967-47b5-9b6c-e8a62f9295e0,Carpentry,train
261a099c-8049-4a40-a50d-12664afa22a1,Mechanical Repair,train
261edec2-f089-4a74-b25f-ddf32c92f90c,Mechanical Repair,train
263105fb-18d9-4628-90b5-c5e7b228c705,Cooking,val
26718e04-3f7a-443d-a589-ca814f05b60e,Desk Work,train
267aa640-f3d0-4288-96b2-6ecf32b23198,Mechanical Repair,train
26a56478-0c95-49b7-bb5e-1caef7750633,Playing Instrument,multi
26b4e1c1-54c7-419f-b2d3-63ea52fd3540,Cooking,test
26dc2fae-b3b5-4c4a-ba51-efc6bc740f52,Carpentry,train
26f1c77e-814e-4609-ad67-12447d1627e1,Cooking,val
271d7528-09b8-4649-bb55-183a94d6a626,Playing Instrument,train
2763dbfc-8488-4264-b31f-4b12096c4c4b,Mechanical Repair,train
277e72e5-013a-446d-8463-778f1c786105,Mechanical Repair,train
27ddfcaf-4c2c-4193-917d-22ff60222a60,Cooking,multi
282c73cf-c710-442d-98fb-3f5a6f4265c2,Mechanical Repair,train
2876b375-e848-412c-8a6f-0664cbab6a33,Walking Outdoors,val
2897e989-e955-4280-a230-4f8d288a3a4b,Carpentry,test
28bc1ee7-b0c1-4f30-934a-0ab665779d90,Cooking,train
28d73c89-e96d-4296-876a-329f908aeac6,Carpentry,train
28ff9118-e876-497c-9901-cb89a62509fc,Walking Outdoors,train
291953b9-d7f3-403b-8b8a-7aa935847064,Gardening,val
2931b191-15a1-4420-8b49-c2a59fc8912f,Carpentry,train
29381989-7537-4f7b-a2ea-612dde89bf68,Cleaning,test
29586f72-7e63-45aa-b4f1-38a6e615e46d,Mechanical Repair,train
2970b84a-d6cf-4593-a487-53f853f0418f,Cooking,train
2978ddbc-cdc9-4bfa-9a7c-4bf056904010,Cooking,multi
2991b1be-bdae-4fa4-a529-ac46cefb4487,Mechanical Repair,train
29928d46-5209-4d00-9fbf-b5c056845ded,Mechanical Repair,multi
29e193be-b903-4b6d-a5b9-5c62d8e2b913,Playing Instrument,train
29e76c5a-af89-49b5-8f6c-d83ea70c9951,Cooking,test
2a00e878-bd87-4d39-91c4-f27fcb7b5feb,Mechanical Repair,train
2a454725-afcf-4c67-ba47-cbf4877bc253,Carpentry,train
2aadf66e-5721-41d3-8eca-1b286e1c3cee,Cleaning,train
2af3d6a1-36bf-48b5-a272-c03a960c608e,Cleaning,train
2af7c658-0b4e-4f3c-b72e-ab77a06e1765,Cleaning,train
2b0086a9-6eba-45de-9ad7-e3dc5f533031,Playing Instrument,train
2b0d2089-36dc-4579-91c7-fabb05c5afd1,Playing Instrument,train
2b21ad6f-5e35-485b-8f3e-ac6dd1551f62,Carpentry,train
2b5569df-5deb-4ebd-8a45-dd6524330eb8,Carpentry,test
2b9a1020-d876-4a3c-9837-4c9ba560d9d4,Walking Outdoors,train
2ba0becb-58c2-43a1-97bb-7e153a34eb47,Cooking,train
2bd1593c-ae88-417e-827f-3997201da229,Cooking,train
2bd5c29e-ef5c-451c-aa2e-961d4257de9b,Cleaning,val
2c0c6508-397f-4c48-aeb7-abc7a3cae8d1,Cooking,val
2c27b5f1-4af6-49ad-a43c-3efb0c150868,Cooking,train
2c84e6a0-2a0b-4de8-ae99-aedbc871dffa,Playing Instrument,multi
2ca764bf-10d3-4a76-8ec2-e7eec63c6e34,Carpentry,val
2cb383c0-4c33-4eed-9279-91521ff19cbc,Carpentry,test
2cc2710e-aae0-41eb-9a70-deb9217bb7ea,Desk Work,train
2d0c81c8-d7ff-4240-9ee7-4c71c152fb0a,Carpentry,val
2d1baacd-d82b-4e0c-9d85-b420fb9bde91,Cleaning,train
2d1bf98e-a133-4f63-bc1d-91f718078a52,Mechanical Repair,multi
2d25e199-9b83-4fa5-b568-684107bb5894,Carpentry,train
2d386a76-9ef1-49ff-982e-d5e403bba456,Carpentry,train
2d442f12-3595-4b2d-b8c5-583b65c0c49f,Walking Outdoors,val
2d84b078-6f77-4964-a74a-b916153f83b7,Mechanical Repair,train
2d9e0fc0-2cc7-4cab-8006-4bc530e252cb,Mechanical Repair,train
2de56aa1-54d3-4d99-ab0d-6610560f30bc,Walking Outdoors,train
2dec618c-137e-47d5-9f0b-f927a407eabb,Carpentry,train
2e04b2bb-e5d3-4f66-a16e-f7756e14e749,Walking Outdoors,train
2e509e19-90ec-40f0-904e-2f5d0057ed6a,Cooking,test
2ef8d712-0024-4be2-af93-691699953343,Playing Instrument,train
2f0035c9-7efb-4229-9d94-4dcb3752da20,Walking Outdoors,val
2f16540c-5349-4580-a644-6e0a79b2689c,Mechanical Repair,train
2f6da5f6-e26c-4ac3-8f71-12386f7588e2,Cooking,val
2f749634-a362-4288-aad3-f27bfd34dd66,Mechanical Repair,train
2fa72a4f-b318-4e04-97b8-efdc3b039258,Desk Work,train
2fa81cfe-e0d4-42e5-be39-e14287215bd2,Mechanical Repair,multi
2fb3b1d4-1360-4a95-931b-936b4b962a42,Mechanical Repair,val
30b9ff64-51c8-4481-ba6a-733ea2060aef,Walking Outdoors,val
30c629f8-2f20-4b2c-b14b-db8dcf33039b,Walking Outdoors,train
316f1dc1-6e11-4a53-a9ed-1fcb4370dbdf,Gardening,train
31cbf7bb-d464-4ec3-bddd-c387766f8572,Cooking,multi
31e21213-c8e6-40f4-b498-98db071819ed,Cleaning,test
31e5320d-15c6-42fe-bd89-085eda906806,Mechanical Repair,train
3249fbee-78f6-44d9-80b9-b38a37bbaf6e,Cleaning,val
325e1bf8-56d8-414b-9e78-07eebe04c13e,Desk Work,train
326eb377-b02b-43c8-b736-43057a9355a8,Mechanical Repair,train
32b4bde9-7d56-4e58-a3e0-b97abc05303d,Carpentry,test
32eb7ed6-bea2-4b2f-a201-22e8f1f70caa,Cleaning,train
33957db3-d49d-4e0b-91e9-e917e731c563,Carpentry,test
33a9701c-625d-4500-8ef3-f39bd1f6dc1d,Cleaning,train
33fced0b-4bf6-4989-9174-cda7bb51ecef,Cooking,train
34075e2a-e987-4af1-ad04-f2f4d3ae97ab,Carpentry,train
3410d16d-3450-440c-bd3c-e8140e1facce,Cleaning,multi
34240230-b681-4f0e-b3d8-b486aeb1104d,Carpentry,train
34250d8a-e771-468f-8b54-17f14d0cc53b,Walking Outdoors,train
343ff902-f0c0-4931-bca6-872ff9066fec,Gardening,train
34af64b6-2135-43dc-9a33-2899d92a0c8e,Carpentry,multi
34b5b205-f969-4196-b036-8b3adf75d71b,Cooking,test
34de7377-879e-4f37-bd0a-9aab8593210f,Playing Instrument,train
34f1149c-d8d5-467c-9e3c-3b59d6393f41,Desk Work,train
34f3b964-8543-4963-b3b4-27934be7cff4,Playing Instrument,train
34f523f5-adf8-43eb-92f4-8274cd221009,Cleaning,train
350bb53d-6da1-4c1f-b6a8-3a41d21a9728,Mechanical Repair,train
35384a66-1837-4f9f-ba43-0f72c63597f4,Desk Work,train
356661f5-767b-495d-95c7-03dcc46f85c6,Mechanical Repair,train
35b1a8c7-80fd-402f-b240-768926b7bcee,Playing Instrument,train
35b37e37-6bb1-4131-be37-693e9b794a97,Playing Instrument,train
35c31ba5-2b1a-40da-a5cc-e098465759b8,Cleaning,train
35e004f4-ad64-4835-9358-38a58b431252,Cooking,train
35e99add-3528-4a1d-be1f-137ccd1489e9,Cleaning,train
36224c74-dfb0-44c0-a59e-e35d874f39e7,Cleaning,train
3625b3d9-e323-4c05-a27a-aba79f01a5bd,Cleaning,val
362f038d-f556-456c-a9c2-eff131771daa,Walking Outdoors,train
363b5839-a7c3-4c2e-b966-9530e38045a1,Carpentry,val
3663482b-968f-4956-8fb8-0b127a4233ec,Desk Work,test
368e4468-1f75-4cdb-a9d0-9b8982a3cbef,Walking Outdoors,train
3698745e-6d18-43ce-a5f9-40dcf84e83b0,Walking Outdoors,train
36bff607-9c5d-43f4-97d2-38ad79e5220c,Mechanical Repair,multi
36c772e4-8503-4622-98e4-affe6097dd24,Cleaning,train
36ee5431-8d3f-4773-b158-2b42932666aa,Playing Instrument,train
36f976f4-ba4e-4564-b970-82f8692b8c61,Playing Instrument,train
374832bf-f977-4e8b-b0e0-2f2ea1e38b5d,Carpentry,test
375ca7e7-1e3c-4159-9f7f-4691ef11f322,Cooking,train
3787c0d0-4350-4008-ae4c-0544d439677c,Cleaning,train
37efc685-767a-492e-b2c3-d60833ee8232,Walking Outdoors,train
37f4000f-e934-4799-957d-e89dc504fd07,Playing Instrument,train
3817b065-3d46-44ff-b6a6-8c4d646165f2,Walking Outdoors,multi
3827b055-911f-4aff-8a00-7c92280faa1f,Playing Instrument,train
3837916b-c0e8-4359-8a73-524d40660731,Mechanical Repair,train
38458bd8-964e-47b1-a1c8-504ba728b91f,Mechanical Repair,test
38473fe0-8311-44f0-a976-46a1eef5c6d6,Mechanical Repair,multi
385e21d8-e96f-4824-8a1c-44f97d6cc139,Mechanical Repair,train
38635888-7149-403b-8601-e3862b1ee8dc,Walking Outdoors,test
3863821d-786d-4ce1-8cd3-5c56953d4ff7,Mechanical Repair,train
388a57b1-698c-443a-a8c4-6cef0ca15066,Carpentry,test
38ead8a1-4d57-4bfb-b7dc-a9785b22f93a,Cleaning,train
38f872c3-7300-4c7c-a2be-614ddb415ce7,Cleaning,multi
39011e23-5fe4-41cd-b146-f3f9e3f3941a,Cleaning,train
3906d25a-d0a4-4a7c-8906-a87cea106c66,Gardening,multi
391d3aba-45ea-4b6d-a8b1-044170686984,Mechanical Repair,train
398ad750-86ea-4298-a97a-b6b689f1ad13,Desk Work,train
39cfed05-9a45-4d70-9ee8-f6579380f6e3,Cooking,train
3a0371f1-204f-46eb-94ae-c1862e0ce398,Carpentry,train
3a821d95-cf27-4963-a1c7-d4e3f6c7c3c2,Cleaning,train
3a8774b9-ea4d-439e-a862-b29b29df999d,Cooking,train
3a9464f8-5025-4a79-ac94-9e3d51f1ef49,Cooking,train
3a9a814d-222f-4712-97b4-a71d9f8b5a4a,Carpentry,train
3a9de361-3047-4fec-a934-14310ef40233,Mechanical Repair,train
3ab6e09b-05ed-4678-91db-fb7b146248f2,Walking Outdoors,train
3ae7ab6b-793e-4a77-9749-010c94b1b0ee,Carpentry,train
3b021bad-6945-4be2-a7db-44af3db1eae8,Walking Outdoors,train
3b2ed5b4-9137-4d2c-bd31-8dd7167747b1,Playing Instrument,train
3b3547c9-c1c3-4656-b33a-6c7e091ef5cc,Desk Work,train
3b47e163-76ea-4eb5-9a99-afacf6fb41ec,Desk Work,train
3b4a581f-2de7-4089-a3aa-8a28cb920331,Cleaning,multi
3b609b23-f91d-43da-9918-ce928181f53f,Mechanical Repair,multi
3b7d314b-9c2c-466e-8b73-495a61e4d059,Desk Work,train
