action,batch,corrected_action,dataset_rows_covered_if_validated,global_rank,high_priority_reason,high_priority_review,historical_bad_count,historical_bad_rate,historical_checked_count,narration_text,normalized_narration_stage2,reasoning,round,scenario,secondary_action,timestamp_sec,verdict,video_uid,watchlist_hit
Stationary,2,,3,9832,,no,0,0.0,0,#C C drinks the content in the cup,drinks content in cup,Drinking is a relatively stationary activity with minimal body motion.,r002,Cooking,,1926.1430386,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Locomotion,2,Stationary,6,4011,,no,0,0.0,0,#C C stretches the leg,stretches leg,"Body movement through space, likely involves stretching which is a form of movement.",r002,Cooking,,1932.8622686,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,11,1181,,no,0,0.0,0,#C C picks bottles,picks bottles,Logistics step involving picking up objects.,r002,Cooking,,2114.1137286000003,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Object Transfer,2,,28,203,,no,0,0.0,0,#C C puts a spoon in the sink,puts spoon in sink,Logistics step involving picking up and placing the spoon.,r002,Cooking,,2134.4037286,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,,3,9324,watchlist_verb,yes,0,0.0,0,#C C touches a can,touches can,"Low body/hand motion, likely a brief touch without significant movement.",r002,Cooking,,2141.5424886,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,11,1295,,no,0,0.0,0,#C C throws the paper in the dustbin,throws paper in dustbin,"[CtxFixed] The action of throwing the paper into the dustbin is a deliberate placement of the object, which fits the definition of 'Object Transfer'.",r002,Cooking,,2174.1774186,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Object Transfer,5,4137,watchlist_verb,yes,0,0.0,0,#C C adjusts a book.,adjusts book,"Low body/hand motion, likely involves minor hand adjustments.",r002,Cooking,,2238.0623286000005,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,10,1430,,no,0,0.0,0,#C C picks an apple.,picks apple,Logistics step involving picking up an object.,r002,Cooking,,2240.0474286000003,Gold,0f39b336-3e41-4305-9325-bb9cd74b8146,no
Stationary,2,Object Transfer,3,8633,watchlist_verb,yes,0,0.0,0,#C C adjusts pen.,adjusts pen,Adjusting an object typically involves minimal movement and can be considered a low-energy activity.,r002,Cooking,,2251.9913286,Bad,0f39b336-3e41-4305-9325-bb9cd74b8146,yes
Object Transfer,2,,3,11584,,no,0,0.0,0,#C C picks a washer with his gloved left hand,picks washer with his gloved left hand,Logistics step involving picking up an object.,r002,Mechanical Repair,,10.21551,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,no
Stationary,2,,4,6021,watchlist_verb,yes,0,0.0,0,#C C holds the washer with gloved hands,holds washer with gloved hands,"Low body/hand motion, holding an object without movement.",r002,Mechanical Repair,,42.00411,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,yes
Object Transfer,2,Stationary,4,7690,,no,0,0.0,0,#C C puts his left gloved hand inside the bike,puts his left gloved hand inside bike,Logistics step of placing hand inside the bike.,r002,Mechanical Repair,,82.45204,Bad,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,no
Object Transfer,2,,3,9938,,no,0,0.0,0,#C C drops the grease container on the workbench with his gloved left hand.,drops grease container on workbench with his gloved left hand,"[CtxFixed] The action involves deliberately placing the grease container onto the workbench, which fits the criteria for Object Transfer.",r002,Mechanical Repair,,323.94029,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,no
Stationary,2,,4,5940,watchlist_verb,yes,0,0.0,0,#C C holds the front fender with his gloved left hand.,holds front fender with his gloved left hand,Holding an object with one hand implies minimal movement.,r002,Mechanical Repair,,565.4253946666666,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,yes
Task Operation,2,,4,5846,watchlist_verb,yes,0,0.0,0,#C C adjusts the front fender with his gloved right hand,adjusts front fender with his gloved right hand,Core task involving precise manual adjustment.,r002,Mechanical Repair,,677.2144466666666,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,yes
Task Operation,2,,3,8597,watchlist_verb,yes,0,0.0,0,#C C adjusts the front fender with his gloved left hand,adjusts front fender with his gloved left hand,"Core manual task, high hand activity.",r002,Mechanical Repair,,699.3217166666667,Gold,11f51f72-c0bd-4631-aabb-6ecbe17d95c9,yes
Task Operation,2,,3,9627,,no,0,0.0,0,#C C cleans the car roof with a piece of cloth.,cleans car roof with piece of cloth,"Core task involving manual cleaning with a cloth, high hand activity.",r002,Cleaning,,128.2343096,Gold,1321d3aa-dc41-4bee-94a7-559536885b88,no
Task Operation,2,,4,8114,,no,0,0.0,0,#C C sprays the car trunk interior,sprays car trunk interior,Core task involving high hand activity.,r002,Cleaning,,351.9962509546634,Gold,1321d3aa-dc41-4bee-94a7-559536885b88,no
Task Operation,2,,4,6304,,no,0,0.0,0,#C C cleans the car trunk interior with the piece of cloth.,cleans car trunk interior with piece of cloth,"Core manual task involving cleaning, high hand activity.",r002,Cleaning,,352.6326809546634,Gold,1321d3aa-dc41-4bee-94a7-559536885b88,no
Object Transfer,2,,9,1926,,no,0,0.0,0,#C C takes flour,takes flour,"Logistics/Setup step, picking up an object.",r002,Cooking,,74.59171526666667,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,5558,,no,0,0.0,0,#C C spreads dough on table,spreads dough on table,Core manual task involving high hand activity.,r002,Cooking,,169.99950526666666,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,14,761,,no,0,0.0,0,#C C rolls dough on a table with a wooden rolling pin in both hands.,rolls dough on table with wooden rolling pin in both hands,Core task involving high hand activity.,r002,Cooking,,269.9789709546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,4145,watchlist_verb,yes,0,0.0,0,#C C adjusts the dough with her left hand.,adjusts dough with her left hand,Core task involving high hand activity.,r002,Cooking,,271.2533809546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,yes
Object Transfer,2,,4,7921,,no,0,0.0,0,#C C removes flour from a flour pack on the table with her right hand.,removes flour from flour pack on table with her right hand,Logistics step involving picking up and moving an object.,r002,Cooking,,277.9200109546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,4400,,no,0,0.0,0,#C C applies the flour around the dough with her right hand.,applies flour around dough with her right hand,Core task involving high hand activity.,r002,Cooking,,279.0926809546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,3,9451,,no,0,0.0,0,#C C applies the flour around the dough with both hands.,applies flour around dough with both hands,Core task involving high hand activity.,r002,Cooking,,282.2995609546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,10,1464,,no,0,0.0,0,#C C picks the wooden rolling pin from the table with her right hand.,picks wooden rolling pin from table with her right hand,Logistics step involving picking up an object.,r002,Cooking,,283.6219509546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,4508,,no,0,0.0,0,#C C cuts the portion of dough into portions with the knife in her right hand.,cuts portion of dough into portions with knife in her right hand,Core manual task involving precise hand movements.,r002,Cooking,,487.8679809546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,18,462,,no,1,1.0,1,#C C scoops ravioli pasta from the plate with the spoon in her right hand.,scoops ravioli pasta from plate with spoon in her right hand,Logistics step involving picking up and transferring an object.,r002,Cooking,,581.1696709546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,20,348,watchlist_verb,yes,0,0.0,0,#C C moves the ravioli pasta from the spoon onto a portion of dough on the table with her left hand.,moves ravioli pasta from spoon onto portion of dough on table with her left hand,"The action involves moving an object (ravioli pasta) from one location to another, which is characteristic of logistics and setup tasks.",r002,Cooking,,584.9165809546633,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,yes
Object Transfer,2,,3,9142,watchlist_verb,yes,0,0.0,0,#C C moves the ravioli pasta from the spoon onto another portion of dough on the table with her left hand.,moves ravioli pasta from spoon onto another portion of dough on table with her left hand,Logistics step involving the transfer of an object from one place to another.,r002,Cooking,,588.4370109546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,yes
Object Transfer,2,,6,3252,watchlist_verb,yes,0,0.0,0,#C C moves a ravioli pasta dough on the table with both hands.,moves ravioli pasta dough on table with both hands,Logistics step involving moving an object.,r002,Cooking,,720.3436709546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,yes
Task Operation,2,,5,4644,,no,0,0.0,0,#C C folds the ravioli pasta dough with both hands.,folds ravioli pasta dough with both hands,Core manual task involving high hand activity.,r002,Cooking,,722.3748109546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,6,3669,,no,0,0.0,0,#C C picks the ravioli pasta dough from the table with her left hand.,picks ravioli pasta dough from table with her left hand,Logistics step involving picking up an object.,r002,Cooking,,748.3852809546634,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,3,11686,,no,0,0.0,0,#C C places folded dough in a tray,places folded dough in tray,Logistics step involving placing an object.,r002,Cooking,,854.7985952666667,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,10,1436,,no,1,1.0,1,#C C picks dough with minced meat,picks dough with minced meat,Logistics step of picking up an object.,r002,Cooking,,856.9848252666667,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,11,1218,,no,0,0.0,0,#C C places meatball on a tray,places meatball on tray,"Logistics step, placing object.",r002,Cooking,,900.7041052666667,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Stationary,2,,3,11972,,no,0,0.0,0,#C C presses on the phone,presses on phone,"Low body/hand motion, likely involves holding the phone and pressing buttons.",r002,Cooking,,1080.8828852666666,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,3,11823,,no,0,0.0,0,#C C places the tray on the table,places tray on table,Logistics/Setup step.,r002,Cooking,,1126.6759952666666,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,5695,,no,0,0.0,0,#C C turns on the kitchen tap,turns on kitchen tap,Turning on the tap is a core manual task involving hand activity.,r002,Cooking,,1152.6984552666663,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,4,6106,watchlist_verb,yes,0,0.0,0,#C C moves a knife on the table,moves knife on table,Movement of an object across a surface.,r002,Cooking,,1269.5232052666663,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,yes
Task Operation,2,,6,3985,,no,0,0.0,0,#C C spreads the dough with a rolling pin,spreads dough with rolling pin,Core manual task involving high hand activity.,r002,Cooking,,1271.9452652666666,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Task Operation,2,,5,5474,,no,0,0.0,0,#C C Roles the dough,roles dough,Core task involving high hand activity.,r002,Cooking,,1381.792605266667,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,5,5114,,no,0,0.0,0,#C C places the folded dough in her left hand in the ceramic plate on the table.,places folded dough in her left hand in ceramic plate on table,Placing an object (dough) on a surface (plate).,r002,Cooking,,1818.4442009546635,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Object Transfer,2,,6,3625,,no,1,1.0,1,#C C picks the dough on the table with her hands.,picks dough on table with her hands,Logistics step involving picking up an object.,r002,Cooking,,1819.3180309546635,Gold,1558e9f2-d7f3-4a23-9627-4240f506d7df,no
Stationary,2,,7,2941,,no,0,0.0,0,#C C puts his hand down,puts his hand down,"Low body/hand motion, likely indicating a pause or idle state.",r002,Desk Work,,0.4049486,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Object Transfer,2,,5,4960,,no,0,0.0,0,#C C picks the glass of water from the table,picks glass of water from table,Logistics step involving picking up an object.,r002,Desk Work,,286.0228986,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Stationary,2,,3,10387,,no,0,0.0,0,#C C lifts his hands,lifts his hands,"Low body/hand motion, likely a minor gesture or preparation.",r002,Desk Work,,560.3965534633088,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Stationary,2,,3,10386,,no,0,0.0,0,#C C lifts her legs,lifts her legs,"Low body/hand motion, likely a small movement while seated.",r002,Desk Work,,639.6642734633087,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Stationary,2,Locomotion,5,4695,,no,0,0.0,0,#C C kneels on the floor,kneels on floor,The action describes a change in posture to a stationary position on the floor.,r002,Desk Work,,1182.547267613672,Bad,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Stationary,2,Locomotion,7,2683,,no,0,0.0,0,#C C lies down,lies down,"Low body/hand motion, lying down is an idle position.",r002,Desk Work,,1192.149837613672,Bad,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Object Transfer,2,Stationary,3,9079,watchlist_verb,yes,0,0.0,0,#C C moves hand on the floor,moves hand on floor,"[CtxFixed] The action of moving the hand on the floor suggests that C is deliberately placing or moving an object, likely in preparation for or as part of a larger action involving the floor.",r002,Desk Work,,1464.0890358255576,Bad,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,yes
Locomotion,2,,4,6121,watchlist_verb,yes,0,0.0,0,#C C moves right leg forward,moves right leg forward,"Body moving through space, specifically a leg movement which implies some form of locomotion.",r002,Desk Work,,1595.2128358255577,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,yes
Stationary,2,Locomotion,8,2363,,no,0,0.0,0,#C C sits up,sits up,The action of sitting up is a transition to a stationary position with minimal body movement.,r002,Desk Work,,1704.7434576136718,Bad,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Stationary,2,,4,8213,,no,0,0.0,0,#C C stretches her hands,stretches her hands,"Low body/hand motion, likely minimal acceleration.",r002,Desk Work,,2145.939897124674,Gold,176e0cc4-f5f3-48a4-9032-7c9c04e003f9,no
Task Operation,2,,8,2053,,no,0,0.0,0,#C C brushes the wall with brush,brushes wall with brush,Core manual task involving high hand activity.,r002,Mechanical Repair,,603.8620281211263,Gold,18fc3782-9929-4df3-b6c9-40943de4c22d,no
Task Operation,2,Object Transfer,8,2036,historical_bad,yes,2,1.0,2,#C C pulls out the plants,pulls out plants,Core task involving high hand activity.,r002,Gardening,,10.0827886,Bad,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Object Transfer,2,,10,1449,,no,0,0.0,0,#C C picks plants from the ground,picks plants from ground,"The action involves picking up objects (plants), which is a logistics step.",r002,Gardening,,98.8693886,Gold,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Stationary,2,,4,6181,watchlist_verb,yes,0,0.0,0,#O person X touches a plant,person x touches plant,"Low body/hand motion, likely inspecting the plant.",r002,Gardening,,108.8686386,Gold,1aa9115a-ed78-43aa-a084-3fa62ec69e14,yes
Object Transfer,2,,3,11549,,no,0,0.0,0,#C C picks up the rake,picks up rake,Logistics/Setup step involving picking up an object.,r002,Gardening,,483.5684145437567,Gold,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Locomotion,2,Task Operation,4,8137,,no,0,0.0,0,#C C spreads soil using a rake,spreads soil using rake,"Body moving through space with a tool, likely involves high body acceleration.",r002,Gardening,,484.48248454375664,Bad,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Task Operation,2,,4,7915,,no,0,0.0,0,#C C removes dirt from the rake with left hand,removes dirt from rake with left hand,Core manual task involving high hand activity.,r002,Gardening,,492.0939645437567,Gold,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Locomotion,2,Task Operation,3,9782,,no,0,0.0,0,#C C digs the soil using a rake,digs soil using rake,Body moving through space with high body acceleration due to digging activity.,r002,Gardening,,553.1064021677084,Bad,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Locomotion,2,Task Operation,3,9783,,no,0,0.0,0,#C C digs the soil with the post hole digger,digs soil with post hole digger,"Body moving through space with the post hole digger, involves high body acceleration.",r002,Gardening,,742.7944621677084,Bad,1aa9115a-ed78-43aa-a084-3fa62ec69e14,no
Stationary,2,Task Operation,5,5186,,no,0,0.0,0,#C C plays solitaire card game on the phone,plays solitaire card game on phone,"Low body/hand motion, engaged in a sedentary activity.",r002,Playing Instrument,,6.0639896,Bad,1b2f838a-ff28-4e8f-84db-bb46a163eb50,no
Stationary,2,,6,3277,watchlist_verb,yes,0,0.0,0,#C C scrolls on the screen to move cards,scrolls on screen to move cards,"Low body/hand motion, likely involves minimal physical activity.",r002,Playing Instrument,,18.0836496,Gold,1b2f838a-ff28-4e8f-84db-bb46a163eb50,yes
Stationary,2,Task Operation,3,11845,,no,1,1.0,1,#C C plays a game on the laptop.,plays game on laptop,"Low body/hand motion, engaged in a sedentary activity.",r002,Desk Work,,167.622,Bad,1cc9c902-adfc-47c0-bf90-76619deedaad,no
Stationary,2,,5,5135,,no,0,0.0,0,#C C places his right hand on the laptop.,places his right hand on laptop,"Placing hand on a surface indicates a pause or setup for a task, with minimal movement.",r002,Desk Work,,1406.70423,Gold,1cc9c902-adfc-47c0-bf90-76619deedaad,no
Object Transfer,2,,4,6502,,no,0,0.0,0,#C C drops the phone in his right hand on a table.,drops phone in his right hand on table,Refined via regex fallback,r002,Desk Work,,2188.417543333333,Gold,1cc9c902-adfc-47c0-bf90-76619deedaad,no
Task Operation,2,,3,11604,,no,0,0.0,0,#C C pinches the kick scooter fork.,pinches kick scooter fork,Core manual task involving high hand activity.,r002,Mechanical Repair,,53.0056896,Gold,1ea5b82f-85ab-4b05-8c55-9cc9ce9b542a,no
Object Transfer,2,,3,11064,,no,0,0.0,0,#C C picks the bolt on the table with his right hand.,picks bolt on table with his right hand,Logistics step involving picking up an object.,r002,Mechanical Repair,,249.9914996,Gold,1ea5b82f-85ab-4b05-8c55-9cc9ce9b542a,no
Object Transfer,2,,5,4596,,no,0,0.0,0,#C C drops the spanner on the table.,drops spanner on table,Refined via regex fallback,r002,Mechanical Repair,,277.9832996,Gold,1ea5b82f-85ab-4b05-8c55-9cc9ce9b542a,no
Object Transfer,2,,3,9968,,no,0,0.0,0,#C C drops the nut on the table.,drops nut on table,Refined via regex fallback,r002,Mechanical Repair,,312.9523109546634,Gold,1ea5b82f-85ab-4b05-8c55-9cc9ce9b542a,no
Task Operation,2,,26,230,,no,0,0.0,0,#C C chops the brussels sprouts with a knife,chops brussels sprouts with knife,Core task involving high hand activity and repetitive motion.,r002,Cooking,,2.6136386000000003,Gold,1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,no
Object Transfer,2,,6,3607,,no,0,0.0,0,#C C picks the brussels sprouts from its bag,picks brussels sprouts from its bag,Logistics/Setup step (picking up objects).,r002,Cooking,,203.4389086,Gold,1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,no
Object Transfer,2,,4,8318,,no,0,0.0,0,#C C throws the trash in the litter bin,throws trash in litter bin,Moving an object (trash) to a specific location (litter bin).,r002,Cooking,,357.40139860000005,Gold,1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,no
Object Transfer,2,Task Operation,4,6149,watchlist_verb,yes,0,0.0,0,#C C opens the door with a key,opens door with key,Logistics step involving picking up and using a key to open a door.,r002,Cooking,,524.0837586,Bad,1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,yes
Object Transfer,2,,4,7074,,no,0,0.0,0,#C C picks the cooking stick with her right hand,picks cooking stick with her right hand,Logistics step involving picking up an object.,r002,Cooking,,1263.474167613672,Gold,1ead2ccf-0c67-41e7-88d3-de7ecd0c8c7c,no
Locomotion,2,Task Operation,14,771,,no,0,0.0,0,#c c sweeps,sweeps,"Body moving through space with sweeping motion, high body acceleration.",r002,Gardening,,28.4786386,Bad,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Stationary,2,Object Transfer,4,7937,,no,0,0.0,0,#c c removes jacket,removes jacket,"The action involves removing a jacket, which is a quick motion but does not involve significant body movement or hand activity that would indicate locomotion, essential operation, object transfer, search, or error/correction.",r002,Gardening,,216.8205486,Bad,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Task Operation,2,,9,1652,,no,0,0.0,0,#C C cleans with the brush.,cleans with brush,Core task involving high hand activity.,r002,Gardening,,263.3270246369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Task Operation,2,,6,3332,,no,0,0.0,0,#C C cleans the brush.,cleans brush,"Core task involving manual cleaning activity, high hand acceleration.",r002,Gardening,,275.2421946369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Object Transfer,2,Task Operation,5,5017,,no,0,0.0,0,#C C picks the secateurs.,picks secateurs,Logistics step involving picking up an object.,r002,Gardening,,318.7177646369238,Bad,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Object Transfer,2,,6,3235,watchlist_verb,yes,0,0.0,0,#C C moves the dirt to the dustpan.,moves dirt to dustpan,Logistics step involving moving an object (dirt) to another object (dustpan).,r002,Gardening,,412.6940946369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,yes
Object Transfer,2,,5,4558,,no,0,0.0,0,#C C drops the dirt in the dustbin.,drops dirt in dustbin,"[CtxFixed] The action of dropping the dirt into the dustbin is a deliberate placement, which fits the criteria for 'Object Transfer'.",r002,Gardening,,426.6333146369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Object Transfer,2,,7,2929,,no,0,0.0,0,#C C puts the dustpan on the floor.,puts dustpan on floor,"Logistics/Setup step, placing an object.",r002,Gardening,,437.5166546369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
Object Transfer,2,,8,2289,,no,0,0.0,0,#C C puts the dustbin down.,puts dustbin down,The action involves placing an object (dustbin) in a specific location.,r002,Gardening,,510.8744246369238,Gold,200a8f32-c44a-463d-ba39-0190a0bddf7a,no
