global_rank,video_uid,timestamp_sec,narration_text,scenario,action,reasoning,batch,round,normalized_narration_stage2,dataset_rows_covered_if_validated,high_priority_review,high_priority_reason,watchlist_hit,historical_bad_count,historical_checked_count,historical_bad_rate,verdict,task_id,project,inner_id,corrected_action,secondary_action
10054,0a01978c-e16d-4587-95f1-49efa3ab15d9,317.0482109546634,#C C drops spoon and fork,Cooking,Object Transfer,"[CtxFixed] The action of dropping the spoon and fork is a deliberate placement onto a surface, which fits the criteria for 'Object Transfer'.",4,r002,drops spoon and fork,3,no,,no,0,0,0.0,Gold,1053,2,53,,
4251,0a01978c-e16d-4587-95f1-49efa3ab15d9,346.4086209546634,#C C holds the #unsure with a fork,Cooking,Stationary,"Low body/hand motion, indicating a holding or waiting action.",4,r002,holds with fork,5,yes,watchlist_verb,yes,0,0,0.0,Gold,1054,2,54,,
9903,0a01978c-e16d-4587-95f1-49efa3ab15d9,448.4347809546634,#C C drops the cooking pan,Cooking,Object Transfer,"[CtxFixed] The action of dropping the cooking pan onto a surface is a deliberate placement, which fits the criteria for 'Object Transfer'.",4,r002,drops cooking pan,3,no,,no,0,0,0.0,Gold,1055,2,55,,
8345,0a01978c-e16d-4587-95f1-49efa3ab15d9,562.1660009546634,#c c turns the deep fried pouch,Cooking,Locomotion,"Turning an object involves movement through space, indicating a locomotion-type action.",4,r002,turns deep fried pouch,4,no,,no,0,0,0.0,Bad,1056,2,56,Object Transfer,
2804,0a01978c-e16d-4587-95f1-49efa3ab15d9,915.6989909546634,#C C picks the ingredient from the mortar,Cooking,Object Transfer,Logistics step involving picking up an object.,4,r002,picks ingredient from mortar,7,no,,no,0,0,0.0,Gold,1057,2,57,,
7897,0a01978c-e16d-4587-95f1-49efa3ab15d9,987.8305409546634,#C C reduces the heat of the cooker,Cooking,Stationary,Adjusting the heat involves minimal movement and is a low-energy activity.,4,r002,reduces heat of cooker,4,no,,no,0,0,0.0,Bad,1058,2,58,Task Operation,
1532,0a01978c-e16d-4587-95f1-49efa3ab15d9,1167.1752609546634,#C C stir the #unsure,Cooking,Task Operation,"Core task, high hand activity.",4,r002,stir,10,no,,no,0,0,0.0,Gold,1059,2,59,,
6005,0a01978c-e16d-4587-95f1-49efa3ab15d9,1238.9596409546632,#C C holds a shopping bag,Cooking,Stationary,"Holding a shopping bag involves minimal movement, indicating a low energy state.",4,r002,holds shopping bag,4,yes,watchlist_verb,yes,0,0,0.0,Gold,1060,2,60,,
7118,0a01978c-e16d-4587-95f1-49efa3ab15d9,1671.208990954663,#C C picks the knife and the spoon,Cooking,Object Transfer,Logistics step involving picking up objects.,4,r002,picks knife and spoon,4,no,,no,0,0,0.0,Gold,1061,2,61,,
9952,0a01978c-e16d-4587-95f1-49efa3ab15d9,1794.6710309546631,#C C drops the knife and the spoon,Cooking,Object Transfer,"[CtxFixed] The action of dropping the knife and the spoon indicates a deliberate placement of objects onto a surface, which fits the definition of 'Object Transfer'.",4,r002,drops knife and spoon,3,no,,no,0,0,0.0,Gold,1062,2,62,,
11031,0a01978c-e16d-4587-95f1-49efa3ab15d9,1949.507090954663,#C C picks #unsure 2,Cooking,Object Transfer,Logistics step involving picking up an object.,4,r002,picks 2,3,no,,no,0,0,0.0,Gold,1063,2,63,,
7445,0a01978c-e16d-4587-95f1-49efa3ab15d9,1950.7890909546632,#C C pours the #unsure 2,Cooking,Task Operation,"Core task, high hand activity.",4,r002,pours 2,4,no,,no,0,0,0.0,Gold,1064,2,64,,
3267,0cf71e76-0ed9-4fb9-875f-be49528105b7,17.566115266666667,#C C opens the lid of the container,Cleaning,Object Transfer,Logistics step involving the manipulation of an object's state (opening).,4,r002,opens lid of container,6,yes,watchlist_verb,yes,0,0,0.0,Gold,1065,2,65,,
688,0cf71e76-0ed9-4fb9-875f-be49528105b7,18.158445266666668,#C C closes the container with the lid,Cleaning,Object Transfer,Logistics step involving the manipulation of objects.,4,r002,closes container with lid,14,yes,watchlist_verb,yes,0,0,0.0,Gold,1066,2,66,,
9229,0cf71e76-0ed9-4fb9-875f-be49528105b7,154.16133526666667,#C C opens the door of the car,Cleaning,Object Transfer,"Opening an object, which involves a short burst of hand activity.",4,r002,opens door of car,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1067,2,67,,
1445,0cf71e76-0ed9-4fb9-875f-be49528105b7,230.41425526666663,#C C picks the mouse,Cleaning,Object Transfer,Logistics step involving picking up an object.,4,r002,picks mouse,10,no,,no,0,0,0.0,Gold,1068,2,68,,
7587,0cf71e76-0ed9-4fb9-875f-be49528105b7,583.4967852666667,#C C puts the cable on the table,Cleaning,Object Transfer,"Logistics step, placing an object.",4,r002,puts cable on table,4,no,,no,0,0,0.0,Gold,1069,2,69,,
9053,0cf71e76-0ed9-4fb9-875f-be49528105b7,609.2362852666668,#C C moves the container aside,Cleaning,Object Transfer,Logistics step involving moving an object.,4,r002,moves container aside,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1070,2,70,,
1709,0cf71e76-0ed9-4fb9-875f-be49528105b7,634.6638352666668,#C C looks at the bag,Cleaning,Search,"Head movement (visual inspection), hands mostly still.",4,r002,looks at bag,9,no,,no,0,0,0.0,Gold,1071,2,71,,
5263,0cf71e76-0ed9-4fb9-875f-be49528105b7,672.6264452666667,#C C puts the charger in the bag,Cleaning,Object Transfer,"Logistics step, moving an object from one place to another.",4,r002,puts charger in bag,5,no,,no,0,0,0.0,Gold,1072,2,72,,
10252,0cf71e76-0ed9-4fb9-875f-be49528105b7,694.0391452666667,#C C grabs a paper,Cleaning,Object Transfer,Logistics step involving picking up an object.,4,r002,grabs paper,3,no,,no,0,0,0.0,Gold,1073,2,73,,
7571,0cf71e76-0ed9-4fb9-875f-be49528105b7,762.3937952666668,#C C puts the box in the car,Cleaning,Object Transfer,Logistics step involving picking up and placing an object.,4,r002,puts box in car,4,no,,no,0,0,0.0,Gold,1074,2,74,,
5732,0cf71e76-0ed9-4fb9-875f-be49528105b7,767.0686752666667,#C C walks to the house,Cleaning,Locomotion,Body moving through space (walking).,4,r002,walks to house,5,no,,no,0,0,0.0,Gold,1075,2,75,,
6343,0cf71e76-0ed9-4fb9-875f-be49528105b7,796.8143752666667,#C C collects the papers,Cleaning,Object Transfer,"Logistics step, picking up objects.",4,r002,collects papers,4,no,,no,0,0,0.0,Gold,1076,2,76,,
3635,0cf71e76-0ed9-4fb9-875f-be49528105b7,847.5549752666667,#C C picks #unsure from the bucket,Cleaning,Object Transfer,"Logistics step, picking up an item.",4,r002,picks from bucket,6,no,,no,0,0,0.0,Gold,1077,2,77,,
5567,0cf71e76-0ed9-4fb9-875f-be49528105b7,868.4202052666667,#C C stares around the house,Cleaning,Stationary,"Low body/hand motion, likely visual observation.",4,r002,stares around house,5,no,,no,0,0,0.0,Bad,1078,2,78,Search,
9215,0cf71e76-0ed9-4fb9-875f-be49528105b7,1001.0397152666668,#C C opens the car trunk,Cleaning,Object Transfer,"Opening an object, a logistics action.",4,r002,opens car trunk,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1079,2,79,,
11049,0cf71e76-0ed9-4fb9-875f-be49528105b7,1043.2727452666668,#C C picks bag from the chair,Cleaning,Object Transfer,Logistics action involving picking up an object.,4,r002,picks bag from chair,3,no,,no,0,0,0.0,Gold,1080,2,80,,
10516,0cf71e76-0ed9-4fb9-875f-be49528105b7,1156.5089419333333,#C C loosens the tripod,Cleaning,Task Operation,"Core manual task involving manipulation, high hand activity.",4,r002,loosens tripod,3,no,,no,0,0,0.0,Gold,1081,2,81,,
8175,0cf71e76-0ed9-4fb9-875f-be49528105b7,1271.0604519333333,#C C starts the car,Cleaning,Locomotion,"Starting a car is often associated with the beginning of a journey, which involves movement or the preparation for movement.",4,r002,starts car,4,no,,no,0,0,0.0,Bad,1082,2,82,Task Operation,
5599,0cf71e76-0ed9-4fb9-875f-be49528105b7,1588.3075919333332,#C C stops at the stop sign,Cleaning,Stationary,"Low body/hand motion, indicating a pause or stop.",4,r002,stops at stop sign,5,no,,no,0,0,0.0,Gold,1083,2,83,,
8599,0cf71e76-0ed9-4fb9-875f-be49528105b7,1730.3821485999997,#C C adjusts the gear,Cleaning,Stationary,Adjusting the gear typically involves fine-tuning and does not involve significant body or hand motion.,4,r002,adjusts gear,3,yes,watchlist_verb,yes,0,0,0.0,Bad,1084,2,84,Task Operation,
11781,0cf71e76-0ed9-4fb9-875f-be49528105b7,1811.3515186,#C C places products on the floor,Cleaning,Object Transfer,Logistics step involving picking up and placing objects.,4,r002,places products on floor,3,no,,no,0,0,0.0,Gold,1085,2,85,,
3735,0cf71e76-0ed9-4fb9-875f-be49528105b7,1853.9304386,#C C places paper on the floor,Cleaning,Object Transfer,Logistics step of placing an object.,4,r002,places paper on floor,6,no,,no,0,0,0.0,Gold,1086,2,86,,
3508,0cf71e76-0ed9-4fb9-875f-be49528105b7,1855.9932986,#C C looks around the area,Cleaning,Search,"Head movement (visual search), hands mostly still.",4,r002,looks around area,6,no,,no,0,0,0.0,Gold,1087,2,87,,
9138,1252589c-8732-4404-ac89-d57f78634ce5,22.883629600000003,#C C moves a plastic chair #unsure,Mechanical Repair,Locomotion,"Movement of an object (chair) through space, likely involves body acceleration.",4,r002,moves plastic chair,3,yes,watchlist_verb,yes,0,0,0.0,Bad,1088,2,88,Object Transfer,
4522,1252589c-8732-4404-ac89-d57f78634ce5,104.6287896,#C C dips the paint brush in the bucket of paint,Mechanical Repair,Task Operation,Core task involving high hand activity.,4,r002,dips paint brush in bucket of paint,5,no,,no,0,0,0.0,Gold,1089,2,89,,
6319,1252589c-8732-4404-ac89-d57f78634ce5,118.5033796,#C C cleans the paint brush on the edge of the bucket of paint,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,4,r002,cleans paint brush on edge of bucket of paint,4,no,,no,0,0,0.0,Gold,1090,2,90,,
10869,1252589c-8732-4404-ac89-d57f78634ce5,135.2194896,#C C paints the wooden rail with the paint brush,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,4,r002,paints wooden rail with paint brush,3,no,,no,0,0,0.0,Gold,1091,2,91,,
2474,1252589c-8732-4404-ac89-d57f78634ce5,411.71624095466336,#C C holds down the nylon on the floor with her left hand.,Mechanical Repair,Stationary,"The action involves holding an object in place, which results in minimal movement.",4,r002,holds down nylon on floor with her left hand,7,yes,watchlist_verb,yes,0,0,0.0,Gold,1092,2,92,,
1509,1252589c-8732-4404-ac89-d57f78634ce5,555.0856776213301,#C C rubs the paint brush on the side of the tin.,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,4,r002,rubs paint brush on side of tin,10,no,,no,0,0,0.0,Gold,1093,2,93,,
11532,1252589c-8732-4404-ac89-d57f78634ce5,733.0759976213301,#C C picks up the paint with her left hand.,Mechanical Repair,Object Transfer,"Logistics step, picking up an object.",4,r002,picks up paint with her left hand,3,no,,no,0,0,0.0,Gold,1094,2,94,,
3005,1252589c-8732-4404-ac89-d57f78634ce5,1120.8043142879967,#C C rubs the paint brush on the edge of the paint tin.,Mechanical Repair,Task Operation,Core task involving high hand activity.,4,r002,rubs paint brush on edge of paint tin,7,no,,no,0,0,0.0,Gold,1095,2,95,,
762,1252589c-8732-4404-ac89-d57f78634ce5,1365.0911442879965,#C C rubs the painting brush on the edge of the paint container.,Mechanical Repair,Task Operation,Core manual task involving hand activity.,4,r002,rubs painting brush on edge of paint container,14,no,,no,0,0,0.0,Gold,1096,2,96,,
2613,1252589c-8732-4404-ac89-d57f78634ce5,1384.6774942879963,#C C dips the painting brush in the paint container.,Mechanical Repair,Task Operation,Core manual task involving high hand activity.,4,r002,dips painting brush in paint container,7,no,,no,0,0,0.0,Gold,1097,2,97,,
2751,1252589c-8732-4404-ac89-d57f78634ce5,1644.8681209546633,#C C paints the wooden rails.,Mechanical Repair,Task Operation,"Core manual task involving hands, high hand activity.",4,r002,paints wooden rails,7,no,,no,0,0,0.0,Gold,1098,2,98,,
10314,13b99328-83c3-46ac-bf83-43cba4473489,51.7606896,#C C intertwine the cables in his left hand with his right hand.,Carpentry,Task Operation,Core manual task involving intricate hand movements.,4,r002,intertwine cables in his left hand with his right hand,3,no,,no,0,0,0.0,Gold,1099,2,99,,
6677,13b99328-83c3-46ac-bf83-43cba4473489,56.0010496,#C C intertwine the cables in his left hand with the plier.,Carpentry,Task Operation,Core manual task involving high hand activity.,4,r002,intertwine cables in his left hand with plier,4,no,,no,0,0,0.0,Gold,1100,2,100,,
8053,13b99328-83c3-46ac-bf83-43cba4473489,137.4845996,#C C screws the cable connector with the screw driver.,Carpentry,Task Operation,Core manual task involving high hand activity.,4,r002,screws cable connector with screw driver,4,no,,no,0,0,0.0,Gold,1101,2,101,,
8579,13b99328-83c3-46ac-bf83-43cba4473489,173.3180696,#C C adjusts the cables in his hands.,Carpentry,Task Operation,Adjusting cables involves a core manual task with high hand activity.,4,r002,adjusts cables in his hands,3,yes,watchlist_verb,yes,0,0,0.0,Gold,1102,2,102,,
6670,13dbccdf-ab84-42ee-ba1c-40cb158b8733,6.25722,#C C inspects a box,Carpentry,Search,Visual inspection involves head movement and minimal hand activity.,4,r002,inspects box,4,no,,no,0,0,0.0,Gold,1103,2,103,,
6672,13dbccdf-ab84-42ee-ba1c-40cb158b8733,8.65811,#C C inspects a switch part,Carpentry,Search,Visual inspection involves head movement and minimal hand activity.,4,r002,inspects switch part,4,no,,no,0,0,0.0,Gold,1104,2,104,,
1530,13dbccdf-ab84-42ee-ba1c-40cb158b8733,95.69057,#C C stares at the switch,Carpentry,Stationary,"Low body/hand motion, focusing visually.",4,r002,stares at switch,10,no,,no,0,0,0.0,Bad,1105,2,105,Search,
